,Time Gameplayed Utc,participantTaskId,Participant Id,Finish Status,Times Finished Game,Session Type,OS Version,Screen Height,Screen Width,Client Time Zone,Graphics Device Name,Processor Frequency,Runtime Platform,I18n,Processor Count,System Memory Size,Build,Device DPI,Device Model,Device Type,Response Window,Response Time,Inter Time Interval,Trial Number,FPS Mean,FPS Variance,Condition,Correct Button,Late Response,Time Sent Utc,Detail,Finger Used
0,2024-10-23T00:03:36.8410000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964je1750738,Successful,0,StartingWindow,Windows 10,880,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x0000164C) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,383,900,0,120.917625,71.4952545,LEFT,1,0,2024-10-23T00:03:36.8410000Z,N/A,N/A
1,2024-10-23T00:03:36.8410000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964je1750738,Successful,0,StartingWindow,Windows 10,880,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x0000164C) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,267,1000,1,120.551262,65.904274,LEFT,1,0,2024-10-23T00:03:36.8410000Z,N/A,N/A
2,2024-10-23T00:03:36.8410000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964je1750738,Successful,0,StartingWindow,Windows 10,880,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x0000164C) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,250,800,2,120.334991,47.8597374,LEFT,1,0,2024-10-23T00:03:36.8410000Z,N/A,N/A
3,2024-10-23T00:03:36.8410000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964je1750738,Successful,0,StartingWindow,Windows 10,880,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x0000164C) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,266,1100,3,119.497139,69.30342,LEFT,1,0,2024-10-23T00:03:36.8410000Z,N/A,N/A
4,2024-10-23T00:03:36.8410000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964je1750738,Successful,0,StartingWindow,Windows 10,880,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x0000164C) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,250,1200,4,122.437393,40.6289558,LEFT,1,0,2024-10-23T00:03:36.8410000Z,N/A,N/A
5,2024-10-23T00:03:36.8410000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964je1750738,Successful,0,StartingWindow,Windows 10,880,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x0000164C) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,250,900,5,122.836479,49.1515579,RIGHT,1,0,2024-10-23T00:03:36.8410000Z,N/A,N/A
6,2024-10-23T00:03:36.8410000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964je1750738,Successful,0,StartingWindow,Windows 10,880,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x0000164C) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,234,1200,6,120.587326,48.7307129,RIGHT,1,0,2024-10-23T00:03:36.8410000Z,N/A,N/A
7,2024-10-23T00:03:36.8410000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964je1750738,Successful,0,StartingWindow,Windows 10,880,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x0000164C) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,234,1100,7,120.219215,55.7188721,RIGHT,1,0,2024-10-23T00:03:36.8410000Z,N/A,N/A
8,2024-10-23T00:03:36.8410000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964je1750738,Successful,0,StartingWindow,Windows 10,880,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x0000164C) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,217,1000,8,120.468773,48.7634239,RIGHT,1,0,2024-10-23T00:03:36.8410000Z,N/A,N/A
9,2024-10-23T00:03:36.8410000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964je1750738,Successful,0,StartingWindow,Windows 10,880,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon(TM) Graphics (0x0000164C) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,283,800,9,120.849426,94.65489,RIGHT,1,0,2024-10-23T00:03:36.8410000Z,N/A,N/A
