,Time Gameplayed Utc,participantTaskId,Participant Id,Finish Status,Times Finished Game,Session Type,OS Version,Screen Height,Screen Width,Client Time Zone,Graphics Device Name,Processor Frequency,Runtime Platform,I18n,Processor Count,System Memory Size,Build,Device DPI,Device Model,Device Type,Response Window,Response Time,Trial Type,Trial Number,FPS Mean,FPS Variance,Condition,Correct Button,Color Word Shown,Color Ink Shown,Color Pressed,Late Response,Time Sent Utc,Detail,Finger Used
0,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,833,OnlyColor,0,122.124977,69.85013000000001,ONLYCOLOR,1,Pink,Pink,Pink,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
1,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,850,OnlyColor,1,113.645752,356.471283,ONLYCOLOR,1,White,White,White,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
2,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,800,OnlyColor,2,121.111534,65.791626,ONLYCOLOR,1,Green,Green,Green,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
3,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,650,OnlyColor,3,112.883133,491.153442,ONLYCOLOR,1,Orange,Orange,Orange,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
4,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,634,OnlyColor,4,117.679123,168.67717,ONLYCOLOR,1,Orange,Orange,Orange,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
5,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,600,OnlyColor,5,114.216927,400.087646,ONLYCOLOR,1,Pink,Pink,Pink,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
6,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,966,OnlyColor,6,116.595863,211.7496,ONLYCOLOR,1,Green,Green,Green,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
7,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,633,OnlyColor,7,111.23777,473.716,ONLYCOLOR,1,White,White,White,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
8,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,483,OnlyColor,8,116.355774,337.7861,ONLYCOLOR,1,Orange,Orange,Orange,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
9,2024-10-23T01:29:44.3120000Z,851710fe-0e1d-4a72-aedf-f34f032442c1,WPI6_172964653ia1639,Successful,0,Initial,Windows 10,869,1498,Eastern Standard Time,"ANGLE (AMD, AMD Radeon (TM) Graphics (0x000015E7) Direct3D11 vs_5_0 ps_5_0, D3D11)",0,17,10,1,128,1.22.33,0,Chrome 129,3,-1,634,OnlyColor,9,122.390137,61.41977,ONLYCOLOR,1,Green,Green,Green,0,2024-10-23T01:29:44.3120000Z,N/A,N/A
