pid,date,Condition,OS,MA_EM_1,MA_EM_2,MA_EM_3,MA_EM_4,MA_WO_1,MA_WO_2,MA_WO_3,MA_WO_4,MA_EV_1,MA_EV_2,MA_EV_3,age,gender,race_ethnicity
WPI6_172964653ia1639,2024-10-22_21h41.59.271,Incongruent,Win32,1,1,2,3,1,1,2,1,3,2,1,18,3,1
WPI6_172964je1750738,2024-10-22_20h17.08.555,Congruent,Win32,1,1,2,1,2,1,2,1,3,2,2,20,4,6
WPI6_172995d42826h37,2024-10-26_11h09.35.640,Congruent,Win32,2,1,3,1,4,1,2,1,3,4,3,20,2,1
WPI6_17299937o1947y5,2024-10-26_22h10.05.672,Congruent,MacIntel,1,3,2,3,2,1,2,3,1,2,3,20,2,1
WPI6_172z971436g3640,2024-10-23_16h28.16.242,Congruent,MacIntel,2,2,1,1,1,1,1,1,3,2,1,18,2,5
WPI6_17302246zq87473,2024-10-29_14h16.44.531,Congruent,Win32,1,1,1,1,2,1,1,2,3,3,3,18,1,1
WPI6_173038474v3d659,2024-10-31_11h00.50.829,Congruent,MacIntel,2,2,2,2,3,2,2,3,3,2,3,20,1,5
WPI6_17305q196215x98,2024-11-02_00h08.26.474,Congruent,Win32,1,1,1,1,1,1,1,1,1,1,2,18,1,5
WPI6_173084465wg9125,2024-11-05_17h33.37.523,Congruent,Win32,2,2,2,2,2,2,2,2,2,2,2,19,2,1
WPI6_173102fk4950044,2024-11-07_19h33.11.265,Incongruent,MacIntel,2,2,4,2,5,5,5,3,2,4,3,19,2,6
WPI6_173152o923x6087,2024-11-13_15h47.21.515,Incongruent,Win32,2,2,2,2,2,2,2,2,2,2,2,21,2,2
WPI6_1731p98h6309774,2024-11-18_22h35.11.496,Congruent,Win32,3,4,5,4,5,3,5,4,5,3,5,21,2,1
WPI6_1731u428574p274,2024-11-12_11h44.53.378,Incongruent,Win32,1,1,1,1,1,1,1,1,1,1,1,20,1,1
WPI6_1731yu427650316,2024-11-12_11h23.42.966,Incongruent,Win32,3,2,3,2,3,2,2,2,4,2,2,19,2,5
WPI6_17321252q35c400,2024-11-20_13h09.39.978,Incongruent,MacIntel,2,2,2,2,4,3,3,3,5,5,5,20,2,1
WPI6_17321k3341129z9,2024-11-20_15h25.17.465,Congruent,Win32,2,1,3,2,3,3,3,3,4,4,4,21,3,1
WPI6_1732e040001i696,2024-11-19_13h30.07.684,Incongruent,Win32,2,2,2,1,3,1,1,2,2,2,1,18,1,1
WPI6_1732f06186998p5,2024-11-19_19h34.20.379,Incongruent,MacIntel,3,3,4,3,5,4,4,3,4,4,5,19,2,1
WPI6_1732n11706z1483,2024-11-20_11h18.11.132,Congruent,MacIntel,2,2,4,3,4,2,4,2,4,5,3,19,2,2
WPI6_1732n2e95074607,2024-11-22_12h25.39.044,Incongruent,Win32,1,1,1,1,1,1,1,1,1,1,1,19,2,1
