Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,18,2,110,0,10,9,86,56,7,27,1562,18,38,4,9,1,53,0,6,5,39,34,3,17,149,9,22,2,385,200
IC10.png,Right,3,27,3,27,4,9,60,32,18,15,706,7,6,11,1,14,2,14,2,6,29,14,11,8,88,4,4,7,222,116
IC11.png,Right,0,30,12,22,1,5,61,53,28,38,1066,4,12,14,0,20,4,10,1,3,30,23,17,19,104,2,4,7,280,140
IC12.png,Right,17,28,13,7,5,8,89,23,1,17,1145,17,22,4,9,15,6,3,4,5,35,10,1,7,91,8,12,2,251,117
IC2.png,Left,27,12,90,15,33,8,98,71,44,47,2643,33,53,3,14,5,41,8,19,4,43,43,25,28,230,17,24,2,534,273
IC3.png,Left,3,30,35,23,39,20,59,31,42,19,1207,2,7,12,1,17,18,10,19,14,25,15,22,13,133,1,4,5,322,164
IC4.png,Left,8,5,43,0,2,2,67,17,17,39,730,18,24,0,4,3,19,0,2,1,27,10,9,14,89,9,12,0,242,110
IC5.png,Left,15,12,70,0,4,13,105,5,0,2,905,37,41,0,8,7,32,0,2,5,34,5,0,1,98,15,18,0,304,127
IC6.png,Left,15,14,79,10,28,20,79,56,20,22,1938,16,42,2,9,7,39,5,12,12,34,25,9,10,164,9,23,1,403,195
IC7.png,Right,0,14,0,18,2,4,91,79,46,44,1232,4,3,8,0,6,0,9,1,3,43,40,25,24,132,2,2,4,313,159
IC8.png,Right,20,52,14,29,14,27,99,32,15,41,2029,53,23,17,12,27,8,18,7,11,45,17,8,22,166,29,13,12,436,229
IC9.png,Right,34,116,92,53,33,60,202,29,2,28,3137,53,80,30,19,57,50,29,20,31,90,14,2,17,318,30,43,17,812,419
P1.png,Left,14,4,32,0,9,7,63,27,29,36,818,8,23,0,7,2,16,0,6,3,22,17,15,20,93,5,11,0,252,124
P10.png,Right,25,80,60,41,34,47,118,24,8,23,2027,10,46,34,14,42,28,25,18,24,50,12,4,14,212,6,23,15,550,275
P11.png,Right,19,27,25,30,28,11,44,5,11,10,1317,4,20,18,9,12,12,13,14,8,19,3,6,6,106,3,12,9,252,126
P12.png,Right,13,57,23,37,28,26,57,9,6,5,1631,20,29,14,7,27,11,20,17,15,25,5,3,2,136,12,13,10,324,167
P2.png,Left,17,10,37,30,16,26,71,39,45,33,2044,13,19,10,10,7,17,13,8,13,35,18,22,17,161,8,12,6,366,186
P3.png,Left,43,10,77,2,36,22,66,61,21,51,2209,40,30,18,22,5,39,1,17,13,36,32,12,23,198,21,16,9,477,246
P4.png,Left,15,9,39,2,18,11,37,25,14,22,1333,15,34,6,10,5,21,1,10,6,20,14,8,12,101,7,17,4,247,135
P5.png,Left,22,8,77,7,28,20,60,64,30,44,1457,8,36,5,12,4,41,4,15,12,21,31,15,24,148,3,18,3,409,203
P6.png,Left,22,24,91,7,51,26,89,35,27,30,2100,9,21,14,11,11,41,4,24,14,40,16,14,17,163,6,11,5,446,214
P7.png,Right,10,59,21,49,14,46,68,60,35,37,2058,13,21,21,4,32,10,28,9,23,28,32,17,21,184,7,11,11,454,233
P8.png,Right,14,29,29,8,23,26,32,9,0,7,1400,11,14,3,9,16,15,6,13,15,13,5,0,4,94,6,10,2,205,114
P9.png,Right,4,60,25,49,28,36,77,21,26,30,1468,28,29,12,2,31,14,25,13,19,36,14,15,16,163,16,15,8,425,224
