Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,0,2,0,9,0,0,0,2,0,0,1232,0,0,2,0,1,0,4,0,0,0,1,0,0,8,0,0,1,15,7
CC10.png,Right,0,0,0,0,0,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CC11.png,Right,10,19,8,4,2,6,10,16,14,0,1320,0,6,0,5,9,4,2,1,3,4,5,6,0,34,0,3,0,95,42
CC12.png,Right,0,0,0,6,0,0,2,0,4,2,1339,0,0,2,0,0,0,3,0,0,1,0,2,1,9,0,0,1,16,8
CC2.png,Left,2,0,0,2,2,0,0,0,0,0,2655,0,4,0,1,0,0,1,1,0,0,0,0,0,5,0,2,0,10,5
CC3.png,Left,0,0,0,0,0,0,0,0,0,0,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CC4.png,Left,0,16,2,15,8,4,4,12,3,12,668,0,0,6,0,6,1,6,4,2,2,4,1,5,26,0,0,1,82,32
CC5.png,Left,2,36,18,12,0,10,18,6,4,8,1316,8,0,4,1,12,8,5,0,4,5,3,1,3,38,2,0,1,126,45
CC6.png,Left,0,7,0,26,2,4,0,0,0,0,1154,0,0,0,0,4,0,11,1,2,0,0,0,0,16,0,0,0,39,18
CC7.png,Right,0,0,0,0,0,0,0,8,0,0,778,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,8,3
CC8.png,Right,0,2,0,0,0,0,0,0,2,0,2851,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,4,2
CC9.png,Right,0,0,0,0,0,0,0,0,0,0,1834,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P1.png,Left,0,12,2,16,12,6,4,2,0,0,1106,0,0,0,0,4,1,7,5,3,2,1,0,0,21,0,0,0,54,23
P10.png,Right,0,0,0,0,0,0,0,10,3,0,955,0,0,0,0,0,0,0,0,0,0,3,1,0,5,0,0,0,13,4
P11.png,Right,2,94,31,217,52,44,38,43,104,63,2141,11,15,100,1,40,11,80,21,17,15,13,42,26,236,3,5,37,814,311
P12.png,Right,0,4,0,2,8,2,2,8,6,10,3211,0,2,0,0,2,0,1,3,1,1,4,3,4,16,0,1,0,44,20
P2.png,Left,2,63,31,159,171,106,28,20,60,46,2915,4,6,38,1,24,13,52,59,36,10,8,19,20,213,2,3,15,734,262
P3.png,Left,0,82,38,163,83,76,13,14,13,18,3725,0,12,22,0,34,16,62,27,28,5,7,6,9,166,0,4,7,534,205
P4.png,Left,6,15,12,58,8,4,31,0,8,2,800,4,10,8,3,5,3,19,4,2,9,0,3,1,46,2,3,1,166,55
P5.png,Left,0,24,27,54,58,22,6,31,16,22,811,0,4,34,0,8,10,21,21,10,2,13,7,10,97,0,2,13,298,117
P6.png,Left,0,0,0,0,0,0,0,0,0,0,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P7.png,Right,6,2,8,0,4,0,8,10,16,6,3588,2,6,0,2,1,2,0,2,0,4,4,7,3,26,1,3,0,68,29
P8.png,Right,2,8,8,22,16,0,20,20,20,8,1620,2,6,10,1,3,3,8,7,0,7,9,8,4,50,1,3,3,142,57
P9.png,Right,0,5,4,2,0,0,8,6,9,0,2630,0,0,0,0,2,1,1,0,0,2,3,4,0,14,0,0,0,34,13
