Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,26,22,42,0,22,4,106,12,18,16,923,18,44,0,13,10,18,0,11,2,32,6,8,8,102,7,16,0,330,131
CC10.png,Right,4,89,18,32,8,17,152,36,26,40,850,14,58,0,2,38,8,15,4,8,57,18,12,19,149,6,24,0,494,211
CC11.png,Right,22,89,16,30,6,28,108,48,34,46,946,24,54,4,11,40,8,14,3,13,43,22,14,21,155,11,25,2,509,227
CC12.png,Right,24,76,14,18,0,12,220,66,14,40,1293,28,56,0,11,34,7,8,0,6,84,33,7,19,186,14,25,0,568,248
CC2.png,Left,38,76,237,32,52,50,323,72,38,52,2494,46,100,2,18,34,101,14,23,25,126,31,18,24,378,22,47,1,1118,484
CC3.png,Left,90,18,76,2,14,26,180,118,36,44,3016,65,76,6,38,8,35,1,7,11,62,46,16,19,259,29,33,3,751,308
CC4.png,Left,20,9,58,0,6,6,83,22,0,12,702,20,24,0,9,4,25,0,3,3,30,9,0,5,81,10,11,0,260,109
CC5.png,Left,14,50,66,20,18,40,114,38,2,28,868,24,24,4,7,23,30,7,8,19,47,14,1,13,149,11,12,2,442,194
CC6.png,Left,20,54,78,21,54,57,122,22,10,26,1076,20,64,10,10,27,29,10,19,23,48,11,5,10,169,9,28,5,558,234
CC7.png,Right,20,112,22,40,0,30,94,60,18,46,989,16,56,6,8,44,11,19,0,14,42,23,9,22,174,8,26,2,520,228
CC8.png,Right,50,252,52,68,16,62,486,158,76,118,3889,66,120,6,23,105,22,32,7,28,186,74,32,55,501,32,57,3,1530,656
CC9.png,Right,122,136,30,60,8,32,384,168,74,108,3138,52,66,20,46,55,13,21,4,14,141,64,34,46,410,25,31,10,1260,504
P1.png,Left,0,48,82,24,42,48,40,14,4,8,625,2,12,4,0,20,33,11,16,24,15,7,2,4,102,1,6,2,328,141
P10.png,Right,0,18,6,20,12,6,38,20,44,28,730,8,6,8,0,9,3,9,6,2,16,10,21,14,82,3,3,4,214,100
P11.png,Right,10,110,14,34,2,16,124,81,40,52,1331,6,46,2,4,49,7,17,1,7,47,37,17,25,168,3,22,1,537,237
P12.png,Right,16,213,28,58,12,42,149,132,130,120,2358,20,42,14,8,93,14,27,6,19,58,60,53,52,320,10,17,7,976,424
P2.png,Left,72,334,510,182,330,299,614,121,100,166,6616,88,240,54,30,120,199,72,115,117,196,47,40,67,877,39,99,21,3110,1162
P3.png,Left,24,148,279,74,140,104,166,54,50,92,2912,34,54,16,11,69,125,33,61,49,69,24,23,43,409,17,27,8,1235,559
P4.png,Left,8,92,160,80,90,126,209,26,22,40,2628,16,40,8,4,32,60,26,34,47,62,10,11,15,245,8,17,3,917,329
P5.png,Left,4,92,126,38,54,71,40,34,20,38,1195,0,20,16,2,39,52,19,24,33,20,15,10,17,185,0,10,6,553,247
P6.png,Left,4,30,129,12,46,60,50,22,8,20,933,10,22,2,2,14,52,6,21,29,18,9,4,10,138,5,10,1,415,181
P7.png,Right,14,122,22,108,33,50,232,182,84,72,2179,20,48,20,6,54,10,47,15,23,89,74,40,32,322,10,22,9,1007,431
P8.png,Right,10,70,28,52,16,48,56,30,86,36,1597,12,36,26,5,34,12,25,7,23,22,14,38,16,180,6,18,13,506,233
P9.png,Right,20,304,64,90,26,76,212,172,78,111,3018,16,64,4,10,127,29,39,13,36,81,76,34,54,396,8,31,2,1237,540
