Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,4,12,10,4,15,6,41,21,48,16,1536,6,4,22,2,5,4,2,7,3,17,11,19,7,77,2,1,8,209,88
CC10.png,Right,0,14,18,28,26,18,62,51,72,23,1298,10,4,22,0,7,8,11,8,9,19,21,24,10,117,3,2,9,348,131
CC11.png,Right,2,8,2,10,20,4,60,8,12,4,2028,8,8,14,1,4,1,5,9,2,21,4,5,2,55,4,4,5,160,67
CC12.png,Right,4,0,0,6,0,0,43,12,2,2,1097,4,4,0,2,0,0,1,0,0,18,6,1,1,27,2,2,0,77,33
CC2.png,Left,4,28,14,34,20,14,44,6,4,4,1122,6,12,4,2,14,7,12,8,7,17,3,2,2,67,3,6,2,194,85
CC3.png,Left,2,24,12,30,21,20,86,17,55,25,1697,6,16,16,1,9,6,13,9,9,31,8,21,10,107,3,8,7,330,135
CC4.png,Left,0,26,12,20,4,12,81,0,4,2,1203,4,0,0,0,12,6,8,2,6,37,0,1,1,59,2,0,0,165,75
CC5.png,Left,4,10,0,42,9,6,29,12,0,0,1015,2,0,6,2,5,0,16,5,3,9,4,0,0,48,1,0,3,120,48
CC6.png,Left,23,12,38,13,22,8,54,33,34,22,1346,12,4,10,10,5,11,5,10,4,20,13,14,9,95,5,2,4,285,112
CC7.png,Right,0,20,13,49,17,14,54,20,13,8,1332,6,20,14,0,8,5,16,9,6,18,9,7,4,78,3,8,6,248,99
CC8.png,Right,0,2,18,12,14,6,60,8,10,10,1507,2,2,8,0,1,6,6,7,3,21,4,4,5,59,1,1,4,152,63
CC9.png,Right,14,6,0,8,6,4,76,48,14,10,1767,2,8,0,7,3,0,4,3,2,33,21,5,4,75,1,4,0,196,87
P1.png,Left,35,43,48,15,34,16,83,62,13,25,1483,4,24,4,15,20,22,8,14,8,29,24,6,13,139,2,12,1,406,174
P10.png,Right,22,50,14,16,2,16,112,68,28,34,1654,24,51,2,11,22,7,4,1,7,38,27,12,16,139,10,21,1,439,177
P11.png,Right,3,8,38,4,12,12,36,11,5,2,951,0,2,0,2,1,16,2,6,5,15,5,3,1,48,0,1,0,133,57
P12.png,Right,8,30,30,4,22,16,46,34,18,14,1888,10,7,2,4,13,12,2,10,7,18,17,8,7,87,5,4,1,241,108
P2.png,Left,8,51,75,70,66,32,125,31,22,15,2673,8,6,16,4,22,28,28,26,14,47,15,8,7,184,4,3,8,525,214
P3.png,Left,3,24,39,22,47,15,6,17,31,12,1102,4,0,28,2,12,18,11,23,8,3,8,15,6,98,2,0,13,248,121
P4.png,Left,27,20,30,24,24,14,33,77,28,42,1464,2,12,4,13,9,12,11,12,6,15,32,11,19,117,1,6,1,337,148
P5.png,Left,0,29,20,16,10,8,96,10,0,6,2406,2,7,12,0,14,8,7,5,4,33,4,0,3,79,1,3,5,216,87
P6.png,Left,6,10,30,10,73,16,50,26,30,36,1163,8,12,30,3,4,12,5,25,8,20,12,12,17,116,4,5,15,337,142
P7.png,Right,0,28,10,17,18,14,115,53,20,30,1402,4,10,2,0,14,5,9,7,7,39,24,9,13,108,2,5,1,321,135
P8.png,Right,10,102,60,104,68,55,205,110,74,98,3443,30,45,15,5,43,24,44,27,22,83,47,30,44,332,12,22,8,976,411
P9.png,Right,12,42,61,32,40,30,26,50,12,12,2251,0,6,8,6,12,22,11,16,12,10,21,6,6,105,0,3,3,331,128
