Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,17,1,16,4,6,5,6,6,5,5,409,2,7,2,14,1,15,3,5,4,5,6,4,5,65,2,7,2,82,73
CC10.png,Right,2,1,2,1,0,1,5,0,0,0,383,2,2,0,2,1,1,1,0,1,4,0,0,0,13,2,2,0,16,14
CC11.png,Right,2,7,1,3,0,0,29,6,5,2,424,2,1,0,2,7,1,2,0,0,25,6,5,2,43,2,1,0,58,53
CC12.png,Right,0,0,0,0,0,0,1,0,0,0,502,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1
CC2.png,Left,0,2,0,0,0,0,32,0,0,0,339,0,3,0,0,2,0,0,0,0,24,0,0,0,29,0,3,0,37,29
CC3.png,Left,5,4,4,3,6,4,14,3,9,1,400,2,5,5,5,3,4,3,6,3,10,3,6,1,44,2,5,5,65,56
CC4.png,Left,0,0,0,0,0,0,32,0,0,0,395,0,1,0,0,0,0,0,0,0,25,0,0,0,26,0,1,0,33,26
CC5.png,Left,29,5,12,1,7,1,50,24,3,7,603,22,13,7,24,5,11,1,5,1,28,16,3,5,113,20,11,7,181,137
CC6.png,Left,1,3,0,0,0,0,66,0,0,0,546,4,1,0,1,3,0,0,0,0,46,0,0,0,52,3,1,0,75,54
CC7.png,Right,8,5,17,3,29,9,3,0,0,1,849,0,5,8,8,4,15,3,25,9,3,0,0,1,71,0,5,8,88,81
CC8.png,Right,4,0,4,0,2,2,25,0,0,0,725,1,1,0,4,0,4,0,2,2,22,0,0,0,35,1,1,0,39,36
CC9.png,Right,6,0,5,3,2,1,0,0,0,3,342,0,2,2,6,0,4,2,2,1,0,0,0,3,20,0,2,2,24,22
P1.png,Left,2,9,11,2,1,3,27,2,1,2,487,2,2,2,2,9,9,2,1,3,19,2,1,2,52,2,2,2,66,56
P10.png,Right,0,6,0,2,2,0,15,10,5,5,290,1,1,0,0,5,0,2,2,0,10,8,5,5,33,1,1,0,47,39
P11.png,Right,0,11,9,15,12,11,32,14,5,11,723,3,4,5,0,10,9,13,12,11,22,10,5,9,88,3,3,4,132,111
P12.png,Right,0,18,6,9,15,12,17,5,4,6,677,0,4,4,0,15,6,9,10,10,14,4,4,5,71,0,3,3,100,83
P2.png,Left,0,20,17,20,20,11,40,4,10,13,1034,7,10,9,0,17,17,14,18,11,29,4,10,9,126,5,10,7,181,151
P3.png,Left,4,5,3,2,3,1,10,1,1,0,401,0,1,1,4,5,3,1,2,1,10,1,1,0,28,0,1,1,32,30
P4.png,Left,12,3,5,0,2,3,16,6,0,0,414,3,2,1,9,3,5,0,2,2,14,6,0,0,36,3,2,1,53,47
P5.png,Left,0,0,1,1,4,0,0,1,4,2,538,0,1,1,0,0,1,1,4,0,0,1,3,2,13,0,1,1,15,14
P6.png,Left,0,26,16,2,7,10,22,5,17,7,488,3,4,0,0,23,15,2,4,10,20,4,14,7,75,3,4,0,119,106
P7.png,Right,12,9,9,7,4,4,48,23,14,8,750,15,11,2,11,8,8,7,4,3,37,20,13,7,118,14,11,2,166,145
P8.png,Right,3,10,4,0,0,1,35,23,2,3,578,7,3,0,3,9,4,0,0,1,28,15,2,3,58,7,3,0,91,75
P9.png,Right,0,20,17,15,43,12,7,4,4,4,571,0,1,13,0,14,10,12,36,12,2,3,4,4,91,0,1,10,140,108
