Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,12,24,36,20,32,20,56,8,18,4,719,14,10,14,5,10,12,9,15,8,21,4,8,2,84,7,4,7,268,112
CC10.png,Right,12,19,0,12,22,18,22,6,8,6,430,2,14,4,5,9,0,5,10,8,10,2,4,3,52,1,7,2,145,66
CC11.png,Right,2,49,12,50,18,30,28,42,50,52,892,6,12,18,1,21,6,21,9,13,12,19,22,24,124,3,5,7,369,163
CC12.png,Right,12,44,18,36,18,12,34,18,13,12,1070,14,14,16,6,20,8,14,9,6,13,8,5,5,95,6,7,6,261,113
CC2.png,Left,32,16,38,30,38,11,32,24,20,24,1412,32,4,28,14,8,17,12,18,5,13,12,9,11,110,13,2,11,329,145
CC3.png,Left,2,24,58,42,56,14,2,10,24,32,1333,0,26,20,1,12,24,16,24,7,1,3,11,16,98,0,12,10,310,137
CC4.png,Left,12,0,20,12,32,6,8,12,12,14,564,0,6,16,5,0,7,6,13,3,2,5,4,7,45,0,3,7,150,62
CC5.png,Left,18,36,45,40,66,67,64,22,17,28,874,12,6,8,6,15,17,19,28,25,17,9,7,14,126,6,3,4,429,170
CC6.png,Left,24,61,107,38,83,50,128,56,70,60,1882,8,56,20,10,26,46,16,36,22,49,24,25,29,249,4,25,9,761,321
CC7.png,Right,30,24,10,14,2,6,6,14,34,16,630,14,10,10,11,11,5,7,1,2,3,6,15,7,67,3,5,4,190,80
CC8.png,Right,8,120,14,152,56,34,120,84,95,68,3076,16,22,127,4,48,7,65,25,15,45,38,40,31,309,8,10,51,916,387
CC9.png,Right,24,38,4,56,26,16,42,29,16,26,1242,22,10,56,9,16,2,24,13,8,16,13,8,11,129,8,5,24,365,157
P1.png,Left,8,34,30,48,54,32,18,6,8,14,1025,0,0,26,3,11,12,21,20,13,8,3,3,7,97,0,0,12,278,113
P10.png,Right,12,26,12,56,6,8,30,20,54,14,756,8,4,26,5,13,6,23,3,4,11,10,20,6,93,3,2,11,276,117
P11.png,Right,17,48,8,75,28,18,27,20,64,34,1294,12,18,32,6,22,4,30,13,9,11,10,28,16,139,5,7,16,401,177
P12.png,Right,8,82,38,58,76,63,57,38,40,36,1582,22,18,39,4,31,16,24,26,27,20,13,16,14,166,8,9,15,575,223
P2.png,Left,26,14,86,20,74,24,36,68,38,40,1400,34,40,26,11,7,36,10,30,11,15,27,15,18,170,17,19,12,526,228
P3.png,Left,10,18,37,34,32,26,56,54,14,24,793,23,0,4,5,8,13,14,11,9,23,19,7,11,109,10,0,2,332,132
P4.png,Left,16,22,24,38,34,21,45,18,42,28,963,16,14,8,7,8,9,16,12,10,12,5,15,11,99,6,7,4,326,122
P5.png,Left,0,2,12,8,26,6,6,30,22,20,1165,0,0,26,0,1,5,4,13,2,3,12,10,8,61,0,0,11,158,69
P6.png,Left,44,90,100,88,85,62,220,38,32,36,2644,41,63,48,19,42,45,36,32,26,77,18,14,18,301,20,29,20,947,396
P7.png,Right,29,104,30,54,20,38,68,44,67,80,1575,14,33,28,13,40,11,24,7,16,27,19,25,36,196,7,14,12,609,251
P8.png,Right,14,21,8,34,28,20,20,10,14,10,682,6,12,16,6,8,4,14,11,7,7,4,5,5,64,3,5,8,213,87
P9.png,Right,28,76,36,92,30,55,78,22,36,42,2373,38,40,48,12,35,16,40,15,26,33,11,17,18,205,18,18,23,621,282
