Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,6,8,26,4,4,2,26,8,0,4,402,6,10,0,3,4,11,1,1,1,11,4,0,2,38,2,5,0,104,45
CC10.png,Right,2,22,16,20,2,14,11,8,0,6,396,0,6,0,1,11,6,8,1,6,5,3,0,3,40,0,3,0,107,47
CC11.png,Right,0,21,8,0,2,0,10,21,4,2,274,0,2,2,0,5,3,0,1,0,4,8,1,1,20,0,1,1,72,25
CC12.png,Right,8,22,10,6,7,11,30,31,0,12,472,8,22,0,4,7,5,2,3,4,13,11,0,5,47,3,7,0,167,64
CC2.png,Left,6,10,8,2,4,2,38,10,2,9,475,14,12,0,2,4,4,1,2,1,13,5,1,4,40,6,6,0,117,49
CC3.png,Left,2,6,23,0,0,2,8,18,2,4,413,5,2,0,1,1,10,0,0,1,4,6,1,2,21,1,1,0,72,28
CC4.png,Left,30,32,23,8,18,12,24,62,12,38,722,14,6,0,12,10,11,3,7,6,10,24,5,14,91,5,3,0,279,110
CC5.png,Left,2,10,18,6,6,14,4,16,0,8,363,2,4,0,1,5,8,3,3,5,1,4,0,4,30,1,2,0,90,37
CC6.png,Left,12,4,11,2,8,0,18,9,4,2,446,10,14,0,6,1,4,1,4,0,8,4,2,1,32,3,7,0,94,41
CC7.png,Right,4,28,16,2,0,2,10,28,2,8,461,2,4,0,2,14,8,1,0,1,3,10,1,4,43,1,2,0,106,47
CC8.png,Right,6,14,8,6,2,4,16,10,2,4,318,3,8,0,3,5,3,1,1,2,7,5,1,2,27,1,4,0,83,35
CC9.png,Right,0,6,5,8,2,6,12,10,2,0,333,6,4,0,0,3,2,3,1,3,5,3,1,0,22,3,2,0,61,26
P1.png,Left,4,10,10,4,2,2,6,14,0,6,256,14,8,0,2,4,4,2,1,1,3,5,0,3,25,5,4,0,80,34
P10.png,Right,20,10,30,0,4,6,11,4,4,2,374,2,4,0,7,5,7,0,2,3,5,2,1,1,33,1,2,0,97,36
P11.png,Right,15,29,16,2,2,0,24,24,10,0,632,6,6,0,6,11,7,1,1,0,9,10,3,0,50,2,3,0,134,53
P12.png,Right,48,18,22,4,0,6,26,38,6,12,939,36,40,0,20,7,9,2,0,3,10,14,3,6,89,15,14,0,256,103
P2.png,Left,21,20,34,6,0,20,14,54,4,4,641,4,4,2,8,9,10,3,0,7,5,16,2,2,57,2,2,1,187,67
P3.png,Left,12,18,22,2,2,4,14,12,0,0,500,4,16,0,4,6,9,1,1,2,5,5,0,0,32,2,7,0,106,42
P4.png,Left,7,2,10,2,2,6,8,10,2,2,363,0,2,0,3,1,5,1,1,3,3,5,1,1,23,0,1,0,53,25
P5.png,Left,17,6,28,4,24,14,76,42,0,32,697,11,16,2,6,3,10,2,11,7,14,17,0,14,81,5,6,1,272,96
P6.png,Left,8,40,22,8,18,32,22,34,4,10,803,4,4,0,4,17,7,2,7,10,8,15,1,4,74,2,2,0,206,79
P7.png,Right,6,46,32,14,6,16,19,30,4,12,476,4,2,0,3,13,10,5,2,6,9,13,2,5,57,2,1,0,191,71
P8.png,Right,9,29,12,10,0,2,14,12,0,6,347,2,5,0,4,12,5,4,0,1,6,6,0,2,37,1,2,0,101,43
P9.png,Right,14,98,22,16,6,36,12,18,4,32,776,14,24,0,6,34,8,7,3,15,5,6,2,14,88,7,8,0,296,115
