Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,0,29,30,5,16,18,26,7,0,4,382,2,20,0,0,10,10,2,7,7,8,3,0,1,38,1,6,0,157,55
CC10.png,Right,7,15,12,4,2,3,35,16,11,15,269,11,2,2,2,7,3,1,1,1,12,6,5,3,34,4,1,1,135,47
CC11.png,Right,2,4,8,4,6,4,8,5,0,0,605,0,4,2,1,2,4,2,3,2,2,1,0,0,17,0,2,1,47,20
CC12.png,Right,6,10,0,8,0,0,54,24,4,15,898,17,24,4,3,4,0,1,0,0,15,11,1,3,46,7,7,1,166,53
CC2.png,Left,11,9,19,12,8,11,19,8,14,8,2231,5,6,0,4,2,6,3,3,4,6,4,6,3,41,2,3,0,130,46
CC3.png,Left,6,2,4,4,4,6,21,6,12,10,641,7,0,4,2,1,2,2,2,2,5,2,3,3,26,3,0,2,86,29
CC4.png,Left,9,6,4,0,0,6,15,6,4,0,358,0,2,3,2,3,1,0,0,3,6,2,2,0,20,0,1,1,55,21
CC5.png,Left,0,3,2,0,10,0,0,0,8,4,734,0,0,0,0,1,1,0,4,0,0,0,2,2,8,0,0,0,27,10
CC6.png,Left,4,11,36,2,31,11,4,43,49,18,1123,4,6,13,2,4,13,1,11,4,2,16,12,8,66,1,3,6,232,83
CC7.png,Right,4,9,0,14,0,3,35,24,9,6,356,4,12,2,2,4,0,3,0,1,10,7,4,3,37,2,6,1,122,43
CC8.png,Right,6,14,14,6,26,13,35,4,2,0,1952,4,9,4,3,5,5,2,7,5,11,2,1,0,44,2,4,1,137,48
CC9.png,Right,2,0,0,0,0,0,0,0,0,0,1036,0,2,6,1,0,0,0,0,0,0,0,0,0,6,0,1,3,10,5
P1.png,Left,2,4,35,0,8,14,10,24,28,30,700,4,4,10,1,2,9,0,2,5,5,9,8,10,52,2,2,3,173,58
P10.png,Right,11,9,4,3,2,9,2,2,6,4,952,6,0,0,4,2,2,1,1,2,1,1,1,1,17,1,0,0,58,17
P11.png,Right,15,12,16,6,8,10,18,11,9,4,908,10,11,0,4,5,6,2,4,5,7,3,3,2,37,4,3,0,130,48
P12.png,Right,24,24,40,21,45,20,28,28,8,4,694,2,10,2,6,9,11,5,10,5,6,6,2,2,53,1,5,1,256,69
P2.png,Left,20,38,20,35,27,28,113,37,34,17,1699,18,24,2,6,9,7,7,6,7,27,10,10,4,87,7,8,1,413,109
P3.png,Left,26,25,27,6,2,6,131,4,7,4,980,24,35,0,8,6,9,1,1,3,36,1,1,1,67,8,11,0,297,86
P4.png,Left,14,16,33,8,18,18,100,4,0,8,668,19,35,7,3,7,9,3,5,6,19,1,0,2,53,6,8,1,280,70
P5.png,Left,0,2,11,10,0,8,15,7,7,11,804,8,23,0,0,1,3,4,0,4,6,1,3,3,27,2,7,0,102,34
P6.png,Left,4,14,36,2,10,4,93,23,0,4,766,14,6,0,1,6,10,1,4,2,24,4,0,2,50,6,1,0,210,61
P7.png,Right,23,8,7,4,0,2,66,7,0,5,921,17,26,2,8,4,2,2,0,1,21,3,0,2,45,7,6,1,167,57
P8.png,Right,24,159,79,62,70,63,113,42,17,48,2438,12,63,40,10,43,23,24,22,16,29,12,5,17,189,6,21,11,792,239
P9.png,Right,0,7,0,11,0,0,68,18,6,2,787,14,5,0,0,3,0,2,0,0,18,8,3,1,35,5,1,0,131,41
