Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,14,5,47,29,25,43,10,44,18,34,821,4,14,5,6,2,16,9,10,15,5,18,7,15,91,2,7,2,292,114
CC10.png,Right,12,26,6,27,7,25,0,0,4,2,277,2,0,18,2,10,2,12,3,8,0,0,2,1,40,1,0,4,129,45
CC11.png,Right,0,22,18,16,12,22,6,0,8,23,415,0,6,15,0,7,7,6,4,9,3,0,4,8,44,0,1,7,148,56
CC12.png,Right,16,34,8,37,9,16,9,12,44,31,645,11,6,12,7,12,2,15,4,6,4,6,12,12,78,3,3,3,245,89
CC2.png,Left,24,31,85,6,63,21,26,56,32,87,1018,4,28,5,9,12,33,3,23,10,5,19,11,37,137,2,11,2,468,177
CC3.png,Left,10,4,37,0,66,6,32,111,69,53,1022,5,2,10,5,2,14,0,21,3,7,39,27,22,118,2,1,5,405,148
CC4.png,Left,14,2,15,2,10,0,27,26,20,25,623,6,16,2,5,1,5,1,5,0,8,10,8,11,50,3,7,1,165,65
CC5.png,Left,25,4,39,0,31,8,2,37,21,44,628,2,9,6,9,1,14,0,10,4,1,13,8,19,72,1,4,3,228,87
CC6.png,Left,19,2,16,4,26,11,0,54,23,36,650,2,6,0,9,1,7,2,10,5,0,21,9,10,65,1,3,0,199,78
CC7.png,Right,12,72,92,25,31,57,21,13,4,23,990,11,28,4,4,28,35,10,14,24,8,5,1,9,123,4,10,2,393,154
CC8.png,Right,28,112,60,31,36,56,33,6,12,34,956,9,31,12,8,41,19,13,13,23,11,2,5,10,139,4,11,5,460,165
CC9.png,Right,7,55,34,37,2,27,8,6,29,37,904,2,14,11,2,20,13,12,1,12,3,3,9,12,83,1,6,3,269,97
P1.png,Left,2,6,39,4,56,28,6,8,16,31,410,12,17,4,1,2,14,2,18,9,3,4,6,13,60,4,5,2,229,83
P10.png,Right,12,48,22,56,50,36,67,29,28,43,849,8,8,20,3,17,9,19,16,16,18,12,12,14,122,4,3,6,427,149
P11.png,Right,0,36,62,18,46,46,58,0,0,4,673,8,10,0,0,15,23,8,18,17,11,0,0,2,84,3,5,0,288,102
P12.png,Right,0,50,30,24,31,45,58,44,8,21,609,0,20,6,0,19,11,11,12,20,15,10,4,8,89,0,7,3,337,120
P2.png,Left,34,34,111,33,89,37,121,57,50,65,1431,6,32,10,9,10,38,13,31,15,29,24,17,29,190,3,11,4,679,233
P3.png,Left,4,66,48,56,59,48,40,24,84,38,1434,64,14,10,2,22,21,17,24,18,16,10,29,17,165,17,6,4,555,203
P4.png,Left,0,0,9,0,10,0,0,18,12,8,333,3,0,0,0,0,4,0,4,0,0,9,6,3,23,1,0,0,60,27
P5.png,Left,4,6,19,12,36,20,8,32,64,26,528,0,6,4,2,3,7,6,16,8,3,14,22,11,81,0,3,1,237,96
P6.png,Left,13,0,12,0,26,2,2,77,34,20,816,0,4,6,5,0,5,0,9,1,1,29,12,8,62,0,2,3,196,75
P7.png,Right,0,19,24,41,10,12,50,13,0,8,588,22,16,10,0,7,10,13,4,6,17,4,0,4,75,9,7,5,225,86
P8.png,Right,10,94,26,61,52,32,19,4,2,16,700,6,10,14,5,28,9,22,18,13,6,2,1,7,95,2,3,6,346,122
P9.png,Right,26,72,77,83,53,92,53,0,16,22,1352,8,25,18,10,31,28,27,23,35,16,0,4,11,161,3,10,8,545,206
