Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,22,22,48,16,22,42,110,8,0,14,909,18,22,8,10,9,17,6,10,17,35,3,0,6,106,7,11,3,352,134
IC10.png,Right,10,39,20,23,4,15,61,21,10,24,630,6,49,2,5,18,9,11,2,8,24,9,4,11,96,3,19,1,284,124
IC11.png,Right,20,148,33,58,0,60,129,47,72,84,1901,9,36,4,7,62,17,28,0,24,51,21,31,39,238,5,17,2,700,304
IC12.png,Right,10,40,30,22,0,8,104,26,10,36,834,16,38,0,5,20,12,9,0,3,36,11,5,16,109,8,18,0,340,143
IC2.png,Left,25,41,88,16,23,19,156,16,4,12,1311,42,41,4,11,19,43,7,9,10,65,6,2,6,171,21,19,2,487,220
IC3.png,Left,8,34,49,2,17,24,142,10,0,0,1298,46,28,0,4,15,23,1,9,12,56,5,0,0,129,20,14,0,360,159
IC4.png,Left,14,14,73,8,91,23,61,26,12,72,1105,8,42,2,6,7,33,4,38,11,23,11,5,33,144,4,16,1,446,192
IC5.png,Left,12,27,96,31,27,39,86,6,2,11,835,6,26,2,7,11,44,15,10,18,31,3,1,6,122,3,10,1,371,160
IC6.png,Left,0,43,114,24,70,51,86,12,0,33,874,4,32,12,0,18,51,11,31,24,22,6,0,16,143,1,15,6,481,201
IC7.png,Right,2,4,0,0,0,0,110,40,16,7,1026,10,8,0,1,2,0,0,0,0,40,17,8,4,72,5,4,0,197,81
IC8.png,Right,15,156,26,94,20,64,140,25,14,45,1494,8,51,10,7,60,13,35,10,28,44,12,7,18,200,4,20,4,668,262
IC9.png,Right,17,38,8,19,2,4,171,24,8,28,964,12,20,0,9,16,4,10,1,2,48,12,4,12,108,6,10,0,351,134
P1.png,Left,28,27,58,6,30,36,38,18,4,7,1041,20,14,8,13,12,28,3,14,16,19,8,2,4,106,9,7,4,294,139
P10.png,Right,12,61,28,65,11,23,38,20,7,32,1699,24,19,4,6,31,12,21,6,11,18,10,4,16,119,10,10,2,344,157
P11.png,Right,40,157,74,98,29,50,222,147,40,87,3085,24,49,8,20,73,35,45,14,25,88,68,18,43,366,11,24,4,1025,468
P12.png,Right,2,119,2,69,2,22,39,45,24,66,969,2,26,3,1,38,1,34,1,12,17,21,10,30,131,1,11,2,421,179
P2.png,Left,20,22,63,11,61,38,45,8,2,16,787,14,32,8,10,12,27,5,25,19,19,4,1,6,113,5,15,4,340,152
P3.png,Left,16,24,102,14,49,79,60,53,14,26,1374,26,59,4,8,12,43,7,20,28,26,21,6,11,165,10,25,2,526,219
P4.png,Left,30,29,77,20,48,53,123,22,2,24,1267,17,34,0,13,12,34,8,21,23,46,10,1,11,152,9,16,0,479,204
P5.png,Left,50,166,388,126,506,202,340,100,105,260,4816,56,123,79,21,66,163,56,193,85,105,41,49,107,761,25,56,37,2501,1004
P6.png,Left,16,17,46,12,10,0,89,22,0,9,1056,9,18,0,8,9,18,6,5,0,34,11,0,5,93,5,8,0,248,109
P7.png,Right,37,104,8,42,6,18,193,79,28,62,2453,38,39,6,16,40,4,16,2,9,75,39,12,29,221,17,19,2,660,280
P8.png,Right,17,80,15,34,4,20,48,6,12,23,1371,8,15,2,9,33,7,14,2,10,18,3,6,12,97,3,8,1,284,126
P9.png,Right,18,24,12,18,8,20,97,24,4,14,1877,14,4,2,7,10,6,8,4,8,38,11,2,4,88,7,2,1,259,108
