Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,25,4,18,0,8,2,69,6,2,3,591,36,16,4,11,2,8,0,4,1,32,2,1,1,62,16,8,2,193,88
IC10.png,Right,7,7,0,4,2,2,79,16,0,4,429,12,8,0,3,2,0,1,1,1,32,8,0,2,49,6,3,0,141,59
IC11.png,Right,27,16,8,0,0,2,87,2,0,0,702,41,24,0,13,8,4,0,0,1,31,1,0,0,68,17,11,0,207,86
IC12.png,Right,10,23,2,2,0,0,116,16,2,0,639,24,35,0,5,10,1,1,0,0,44,7,1,0,76,9,13,0,230,91
IC2.png,Left,2,4,2,0,0,0,76,0,0,0,946,12,14,0,1,2,1,0,0,0,26,0,0,0,41,6,6,0,110,42
IC3.png,Left,28,2,2,0,0,0,56,6,0,2,1005,59,18,0,14,1,1,0,0,0,25,3,0,1,64,28,6,0,173,79
IC4.png,Left,11,12,12,0,8,0,90,6,2,0,540,24,27,0,4,4,6,0,3,0,40,3,1,0,65,11,13,0,192,85
IC5.png,Left,20,10,8,0,0,8,63,0,0,2,610,10,16,0,7,5,4,0,0,3,29,0,0,1,43,5,8,0,137,62
IC6.png,Left,26,4,14,0,0,0,58,2,0,4,761,31,26,0,12,2,7,0,0,0,26,1,0,2,62,15,12,0,165,77
IC7.png,Right,6,6,0,2,0,0,63,6,0,0,790,14,22,0,3,3,0,1,0,0,25,3,0,0,40,7,9,0,119,51
IC8.png,Right,10,8,0,2,0,0,68,8,2,0,712,14,18,0,4,4,0,1,0,0,29,4,1,0,50,6,9,0,130,58
IC9.png,Right,12,6,6,2,0,4,141,12,4,2,849,18,16,0,6,3,3,1,0,2,58,6,2,1,85,9,8,0,223,99
P1.png,Left,4,0,2,0,0,0,21,0,0,0,1051,6,4,0,2,0,1,0,0,0,9,0,0,0,15,3,2,0,37,17
P10.png,Right,18,98,42,76,40,72,160,18,2,24,1336,44,43,4,8,47,19,33,20,32,58,9,1,12,197,19,21,2,641,281
P11.png,Right,70,159,52,48,44,78,195,46,20,38,3067,70,90,8,32,70,25,23,20,38,84,22,9,19,299,33,45,4,918,424
P12.png,Right,2,6,0,0,0,2,29,4,0,0,737,8,0,0,1,3,0,0,0,1,14,2,0,0,23,4,0,0,51,25
P2.png,Left,110,60,184,20,44,32,540,34,8,26,3709,160,251,10,51,26,83,9,20,16,208,16,4,13,486,76,115,5,1479,642
P3.png,Left,30,86,92,26,46,52,295,6,6,18,2232,46,70,2,15,40,44,12,21,24,110,3,2,9,257,23,30,1,775,334
P4.png,Left,40,56,158,32,78,46,189,20,14,30,1935,46,62,20,20,26,72,16,36,22,81,10,7,14,267,22,28,10,791,364
P5.png,Left,4,4,10,0,0,0,40,2,0,2,1036,10,8,0,2,2,5,0,0,0,18,1,0,1,34,5,4,0,80,38
P6.png,Left,30,20,110,0,36,32,172,28,8,18,1236,38,56,2,15,10,47,0,18,16,70,14,4,9,192,18,26,1,550,248
P7.png,Right,12,4,0,0,0,4,60,2,0,0,1331,8,14,0,6,2,0,0,0,1,26,1,0,0,44,4,7,0,104,47
P8.png,Right,2,12,2,2,2,2,50,4,0,0,917,14,8,0,1,6,1,1,1,1,22,2,0,0,41,7,4,0,98,46
P9.png,Right,6,0,0,0,0,0,14,0,0,0,1083,12,2,0,3,0,0,0,0,0,7,0,0,0,16,6,1,0,34,17
