Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,41,20,34,38,53,22,92,26,0,10,2489,15,4,36,16,10,15,17,24,11,37,11,0,4,147,7,2,14,391,168
CC10.png,Right,34,15,2,0,2,2,28,10,10,12,1152,6,2,0,15,5,1,0,1,1,12,4,5,5,48,3,1,0,123,53
CC11.png,Right,16,20,0,50,10,8,5,20,14,2,567,10,2,20,8,8,0,20,4,4,3,10,6,1,73,5,1,10,177,80
CC12.png,Right,20,67,22,142,46,42,114,23,56,52,2192,26,28,86,8,25,10,59,20,18,41,10,25,24,245,12,12,35,724,299
CC2.png,Left,21,4,18,4,22,16,16,8,10,18,677,14,8,6,8,2,8,2,11,8,8,4,5,6,54,6,3,3,165,74
CC3.png,Left,25,22,30,26,28,18,6,16,36,24,686,6,14,10,8,10,14,11,14,9,3,8,13,9,83,3,7,5,261,114
CC4.png,Left,4,40,2,80,12,16,27,0,2,4,3648,0,0,8,2,16,1,33,6,8,13,0,1,2,76,0,0,4,195,86
CC5.png,Left,34,28,89,2,6,28,112,17,6,10,1252,18,62,2,15,11,40,1,3,12,43,8,3,5,132,9,28,1,414,179
CC6.png,Left,16,2,8,2,0,0,15,0,0,4,427,12,4,0,8,1,3,1,0,0,6,0,0,2,19,6,2,0,63,29
CC7.png,Right,56,144,44,242,26,58,158,108,98,94,7211,20,50,78,26,62,21,99,12,27,62,50,43,42,417,10,21,34,1176,509
CC8.png,Right,10,38,5,42,24,16,53,32,28,38,991,14,2,10,3,16,2,18,10,7,23,15,11,15,100,6,1,5,312,132
CC9.png,Right,4,18,0,4,0,4,22,4,2,0,1156,4,6,2,2,7,0,2,0,2,10,2,1,0,30,2,3,1,70,32
P1.png,Left,44,30,107,76,117,65,78,66,4,28,3289,24,48,96,18,13,43,29,49,29,30,29,2,12,265,11,21,41,783,327
P10.png,Right,79,0,10,0,0,2,20,4,0,0,1007,62,28,0,32,0,3,0,0,1,9,2,0,0,67,21,13,0,205,81
P11.png,Right,0,8,0,10,0,0,29,58,8,12,589,0,0,2,0,4,0,4,0,0,11,22,4,6,48,0,0,1,127,52
P12.png,Right,64,38,2,0,0,0,211,8,0,0,1194,58,108,0,27,18,1,0,0,0,61,4,0,0,139,27,50,0,489,188
P2.png,Left,2,44,74,8,4,36,43,2,0,10,651,6,8,8,1,18,30,3,2,14,18,1,0,5,81,2,4,3,245,101
P3.png,Left,50,0,55,0,0,0,68,10,0,4,957,37,60,0,21,0,25,0,0,0,24,4,0,2,98,17,27,0,284,120
P4.png,Left,14,12,10,0,0,0,298,56,0,2,1054,56,75,0,7,6,5,0,0,0,92,16,0,1,142,25,32,0,523,184
P5.png,Left,6,4,60,12,30,12,12,30,0,22,556,11,21,4,3,2,22,5,12,5,5,10,0,9,73,5,9,2,224,89
P6.png,Left,2,18,20,0,0,4,52,0,0,2,408,26,32,0,1,6,10,0,0,2,21,0,0,1,44,11,16,0,156,68
P7.png,Right,52,6,114,0,8,6,149,20,4,8,1798,87,49,0,22,3,39,0,4,3,52,6,2,4,167,41,24,0,503,200
P8.png,Right,32,46,36,8,2,22,23,10,0,12,1051,18,30,2,14,19,16,4,1,9,11,5,0,6,90,9,10,1,241,105
P9.png,Right,28,114,66,62,8,65,167,60,30,39,2804,12,60,8,13,44,25,27,4,28,57,26,15,18,239,6,27,4,719,294
