Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,0,108,26,32,20,14,89,26,6,14,1518,6,10,24,0,42,11,12,8,6,24,12,2,4,122,3,5,9,375,138
IC10.png,Right,2,20,0,16,6,8,12,4,0,10,672,18,20,14,1,9,0,7,3,4,5,2,0,4,44,8,9,6,130,58
IC11.png,Right,4,28,0,26,11,4,11,18,30,29,750,12,30,5,2,14,0,12,4,2,5,6,10,11,69,5,10,2,208,83
IC12.png,Right,0,61,26,14,0,14,181,23,0,18,894,9,15,0,0,21,7,6,0,5,42,10,0,7,93,3,7,0,361,108
IC2.png,Left,20,26,52,61,54,41,4,28,38,27,1581,9,12,22,10,13,22,23,25,19,2,13,15,13,136,3,5,8,394,171
IC3.png,Left,12,79,56,13,2,12,311,44,4,8,1904,28,51,12,6,33,23,6,1,6,95,18,2,4,191,12,22,4,632,232
IC4.png,Left,8,51,34,26,8,24,98,0,0,4,577,12,20,2,3,23,14,8,4,11,35,0,0,2,85,6,10,1,287,117
IC5.png,Left,0,41,35,14,17,4,68,12,2,20,668,7,4,0,0,14,9,5,7,2,15,5,1,9,57,3,2,0,224,72
IC6.png,Left,14,18,58,45,77,51,22,14,6,16,1242,12,22,32,5,8,24,19,26,20,9,5,3,7,125,6,10,15,387,157
IC7.png,Right,9,12,2,10,2,6,20,0,16,30,466,4,0,10,3,6,1,5,1,3,7,0,8,11,41,2,0,4,121,51
IC8.png,Right,2,36,8,32,11,4,8,8,6,14,1517,12,8,38,1,10,4,12,4,2,4,4,2,7,57,6,4,13,187,73
IC9.png,Right,10,57,10,60,27,12,16,16,24,37,1925,6,18,80,3,23,5,25,12,6,7,7,10,16,122,3,9,28,373,154
P1.png,Left,6,109,21,10,0,4,164,0,0,0,1827,12,24,2,2,45,9,4,0,2,52,0,0,0,107,5,10,1,352,130
P10.png,Right,31,30,17,2,12,18,18,12,16,20,777,39,28,0,14,13,8,1,5,8,9,5,6,8,75,15,12,0,243,104
P11.png,Right,12,36,14,14,22,6,40,2,18,10,1038,26,37,6,5,16,5,7,8,3,15,1,7,4,80,11,16,3,243,101
P12.png,Right,8,75,28,63,45,30,15,10,16,48,1119,2,8,8,4,31,11,26,18,14,5,5,6,20,102,1,4,4,356,149
P2.png,Left,6,68,58,30,14,18,155,6,10,28,1489,2,38,2,3,30,23,12,6,9,62,3,4,13,144,1,14,1,435,181
P3.png,Left,40,45,102,46,32,63,137,4,6,5,1510,26,61,4,17,20,37,22,15,29,45,2,3,2,159,10,26,2,571,230
P4.png,Left,11,24,28,0,4,17,63,4,0,0,548,22,28,2,6,11,10,0,2,6,23,1,0,0,68,11,12,1,203,83
P5.png,Left,12,20,21,4,2,10,38,14,10,12,672,24,22,0,6,10,9,2,1,4,18,5,5,5,67,10,10,0,189,85
P6.png,Left,24,40,53,12,14,14,116,34,8,10,1484,28,47,2,11,16,22,3,6,6,43,15,4,5,124,14,21,1,402,167
P7.png,Right,8,33,15,8,8,6,148,89,26,22,1269,19,43,0,4,15,6,3,3,3,50,36,12,11,140,7,18,0,425,168
P8.png,Right,37,97,44,40,21,58,137,136,163,132,1763,52,48,6,16,40,18,15,7,21,43,52,62,59,279,22,21,3,971,379
P9.png,Right,8,69,37,20,37,34,119,34,20,29,2010,18,48,14,4,31,15,9,16,16,49,13,6,13,164,9,24,5,487,210
