Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,8,7,17,7,28,23,3,11,15,10,954,0,1,11,5,6,9,6,15,10,2,7,5,5,65,0,1,8,141,79
IC10.png,Right,24,8,14,9,23,13,4,0,4,2,724,0,0,2,11,3,3,5,9,4,2,0,2,1,39,0,0,1,103,41
IC11.png,Right,11,21,6,7,23,4,9,8,8,7,907,3,9,9,3,9,3,4,6,2,6,4,4,5,52,2,5,4,125,57
IC12.png,Right,1,10,9,19,18,14,10,5,4,5,1080,4,0,6,1,5,7,10,10,7,5,3,3,4,51,3,0,2,105,60
IC2.png,Left,8,41,34,77,35,60,59,22,25,32,3324,9,12,6,7,22,18,34,20,31,22,14,8,17,166,5,8,4,420,210
IC3.png,Left,6,4,22,14,40,24,12,6,13,9,1289,0,2,17,4,3,12,10,20,12,6,2,5,6,62,0,2,10,169,92
IC4.png,Left,1,29,12,5,8,13,1,7,25,10,721,0,0,7,1,10,4,4,4,7,1,4,14,6,47,0,0,4,118,59
IC5.png,Left,5,4,16,5,25,11,4,40,25,35,1021,3,2,23,4,3,12,3,13,5,2,17,11,18,73,1,1,7,198,97
IC6.png,Left,1,3,11,11,13,7,1,22,16,19,1145,1,3,7,1,2,5,5,8,5,1,9,6,8,48,1,1,5,115,57
IC7.png,Right,6,14,11,21,13,10,3,7,7,12,892,0,2,11,4,10,7,9,6,6,2,3,5,8,57,0,1,5,117,66
IC8.png,Right,120,22,7,32,3,5,3,2,1,0,1282,3,5,3,51,11,5,14,2,3,3,1,1,0,88,3,3,2,206,99
IC9.png,Right,7,15,21,13,15,12,5,9,14,15,1715,1,0,6,3,9,9,10,11,7,3,6,8,6,62,1,0,4,133,77
P1.png,Left,9,8,9,5,13,7,11,10,4,5,831,0,1,13,3,6,5,3,8,4,4,6,3,4,47,0,1,7,95,54
P10.png,Right,3,26,6,11,15,28,6,18,7,5,831,3,4,7,2,13,3,5,8,13,5,8,4,3,62,2,2,4,139,72
P11.png,Right,11,36,21,64,28,24,45,25,34,67,3556,18,10,22,7,18,10,29,13,12,13,6,10,26,133,8,5,10,405,167
P12.png,Right,0,48,79,35,52,50,74,25,3,17,1323,1,23,20,0,24,33,16,25,21,30,14,2,8,152,1,12,9,427,195
P2.png,Left,5,40,116,4,102,37,66,33,80,74,1283,3,23,14,1,18,42,1,41,18,20,15,27,35,174,2,13,6,597,239
P3.png,Left,113,6,47,0,8,2,20,28,13,18,1403,22,8,7,45,4,24,0,5,1,11,15,10,9,125,6,5,5,292,140
P4.png,Left,3,11,20,6,8,5,7,23,9,7,661,0,1,16,2,7,9,3,5,4,4,8,6,4,45,0,1,6,116,59
P5.png,Left,72,9,22,4,6,5,3,30,10,17,1615,1,8,10,33,8,9,3,3,4,2,16,7,8,90,1,4,4,197,102
P6.png,Left,2,13,24,9,22,16,2,33,14,39,1392,0,1,5,2,8,11,4,9,9,2,16,9,18,73,0,1,3,180,92
P7.png,Right,2,36,7,15,4,18,20,5,2,11,1428,0,19,8,1,21,5,8,3,10,10,3,2,5,69,0,9,6,147,83
P8.png,Right,2,24,9,2,9,11,11,6,9,11,1123,2,0,19,1,9,5,1,5,6,5,4,5,6,45,1,0,9,115,57
P9.png,Right,3,29,15,31,41,30,16,11,5,12,1608,5,10,11,2,19,9,17,16,16,8,6,2,8,101,4,6,5,219,118
