Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,3,86,111,60,63,98,228,6,34,40,1574,17,55,16,3,50,67,38,39,55,89,4,14,25,331,11,32,11,817,438
IC10.png,Right,8,101,15,64,7,46,243,21,18,39,1753,30,47,0,5,57,8,31,5,27,111,15,10,24,275,21,32,0,639,346
IC11.png,Right,7,104,35,44,4,24,78,13,9,24,850,10,43,2,3,50,21,26,3,17,29,9,5,18,175,7,28,2,397,218
IC12.png,Right,31,51,33,19,29,21,104,27,1,5,1903,31,39,4,22,29,24,14,18,14,53,19,1,4,202,21,26,2,395,247
IC2.png,Left,145,49,176,63,79,69,243,18,10,72,3679,79,87,15,85,28,98,35,43,47,120,14,8,40,496,47,55,7,1105,627
IC3.png,Left,6,29,58,60,78,61,56,5,3,15,1107,8,16,14,4,16,34,38,43,35,29,4,2,9,193,8,11,8,409,241
IC4.png,Left,10,28,184,27,33,37,44,9,11,33,1226,23,29,35,7,15,99,11,21,23,26,5,6,19,228,14,19,20,503,285
IC5.png,Left,4,21,21,2,23,3,73,8,7,13,2092,11,19,3,2,13,16,1,11,2,36,6,5,8,95,7,14,2,208,123
IC6.png,Left,9,41,154,46,68,43,364,26,34,39,1560,35,87,5,7,28,73,28,39,26,126,16,9,19,341,26,51,4,951,452
IC7.png,Right,6,79,8,53,1,19,29,20,8,22,614,16,19,10,4,34,4,19,1,9,17,4,4,10,105,10,11,5,290,132
IC8.png,Right,7,72,14,43,3,36,235,43,13,54,1438,21,46,13,4,39,9,24,3,22,97,25,10,34,238,14,27,3,600,311
IC9.png,Right,1,2,0,0,0,0,45,20,9,2,1322,0,0,0,1,1,0,0,0,0,31,8,5,2,44,0,0,0,79,48
P1.png,Left,3,89,45,72,33,62,72,8,4,12,996,9,7,16,2,49,26,44,18,35,30,4,4,8,191,7,5,12,432,244
P10.png,Right,14,6,0,3,0,0,240,25,3,8,2145,31,17,0,11,3,0,1,0,0,101,12,3,7,139,18,11,0,347,167
P11.png,Right,15,33,10,7,7,7,105,25,12,13,1664,23,18,5,10,21,7,3,4,5,60,19,10,10,144,13,14,3,280,179
P12.png,Right,25,125,22,76,8,25,327,95,97,73,2383,71,110,15,16,61,12,43,4,15,129,46,51,47,424,45,65,8,1069,542
P2.png,Left,11,77,234,57,82,74,229,84,26,84,2938,56,89,5,9,42,134,31,49,48,100,45,14,48,465,34,50,3,1108,607
P3.png,Left,3,18,31,19,43,42,22,0,5,1,757,12,18,18,3,12,15,13,19,23,11,0,3,1,107,8,10,10,232,128
P4.png,Left,11,41,108,15,16,77,55,4,0,40,793,41,38,0,3,25,54,9,11,37,32,4,0,14,187,27,27,0,446,243
P5.png,Left,4,95,40,58,39,87,83,13,20,26,2207,11,19,23,4,52,28,30,24,42,33,11,11,18,221,8,11,14,518,286
P6.png,Left,7,6,26,12,9,12,6,2,8,12,868,1,14,4,5,6,16,7,8,8,5,2,5,9,66,1,7,2,119,81
P7.png,Right,8,101,1,54,49,16,41,26,35,39,1946,26,16,36,8,48,1,28,23,9,23,18,22,21,200,17,12,23,448,253
P8.png,Right,7,101,7,36,3,26,72,56,14,71,1971,14,32,15,7,54,5,19,3,17,33,32,11,40,215,8,19,10,454,258
P9.png,Right,5,55,0,10,0,8,363,127,50,27,2561,6,11,0,2,29,0,6,0,2,175,73,28,19,296,3,7,0,662,344
