Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,4,71,73,71,79,51,115,8,41,31,2612,13,35,16,1,23,22,23,27,12,29,4,11,11,135,5,12,5,608,185
CC10.png,Right,0,37,26,68,36,40,11,8,27,12,810,0,4,22,0,13,9,18,10,14,4,2,8,6,76,0,2,9,291,95
CC11.png,Right,2,55,23,105,69,41,129,55,66,88,5200,12,42,29,1,16,10,34,22,14,38,16,20,28,171,6,11,10,716,226
CC12.png,Right,6,55,10,58,14,11,59,82,60,53,3186,2,9,27,3,20,5,18,4,2,18,24,19,18,120,1,4,10,446,146
CC2.png,Left,44,148,101,93,88,49,191,61,48,62,6113,9,39,26,17,49,34,33,28,19,61,20,15,20,269,4,16,9,959,325
CC3.png,Left,4,49,46,47,69,14,39,41,73,30,3335,0,4,53,2,15,13,13,26,7,11,12,22,13,135,0,2,18,469,154
CC4.png,Left,2,60,59,52,48,54,92,12,8,29,2092,4,14,20,1,23,16,24,18,19,21,5,4,8,135,2,5,8,454,154
CC5.png,Left,8,50,88,16,20,20,99,27,6,13,2302,25,18,2,3,14,25,5,7,7,26,8,3,5,97,6,7,1,392,117
CC6.png,Left,2,109,47,27,49,34,141,14,9,22,3432,0,13,10,1,31,17,10,16,13,43,5,3,8,117,0,3,5,477,155
CC7.png,Right,4,50,15,43,16,27,39,74,46,48,1371,8,11,27,2,12,5,15,6,11,12,19,16,15,89,1,4,4,408,122
CC8.png,Right,0,108,18,37,10,27,96,133,68,79,2465,6,22,11,0,29,7,14,3,9,25,43,21,27,143,2,8,4,615,192
CC9.png,Right,0,102,26,61,15,27,100,146,117,51,7042,9,21,67,0,31,8,23,6,9,34,49,36,17,195,1,6,16,742,236
P1.png,Left,0,6,9,32,32,22,80,2,10,6,1102,6,20,26,0,3,4,10,13,5,16,1,2,3,59,3,7,8,251,75
P10.png,Right,0,31,0,57,32,14,92,50,31,30,2436,0,6,26,0,11,0,21,8,5,26,19,12,8,102,0,2,12,369,124
P11.png,Right,8,94,46,154,30,98,176,177,261,94,6605,38,39,66,2,29,15,42,10,29,45,43,63,28,281,11,12,22,1281,351
P12.png,Right,0,51,18,94,54,52,44,71,167,78,5061,0,8,48,0,16,7,29,19,19,15,24,58,23,178,0,2,17,685,229
P2.png,Left,0,104,72,111,106,45,99,30,50,75,4347,10,14,108,0,35,29,32,37,21,32,14,15,26,227,3,7,36,824,287
P3.png,Left,6,111,34,198,119,45,113,39,26,52,4315,4,8,32,3,34,10,56,41,18,30,10,9,15,204,2,3,13,787,244
P4.png,Left,0,64,44,71,76,43,14,6,57,34,2043,0,4,27,0,21,13,20,24,14,7,1,18,13,116,0,2,12,440,145
P5.png,Left,0,46,22,46,14,32,35,11,36,17,2378,0,2,10,0,19,9,13,6,9,14,5,14,7,86,0,1,3,271,100
P6.png,Left,0,28,67,120,119,74,16,10,59,39,3046,0,6,65,0,11,19,36,35,19,5,5,14,15,147,0,3,19,603,181
P7.png,Right,16,18,12,37,38,25,44,81,101,20,4443,12,22,31,5,4,5,12,13,10,14,28,28,8,127,5,6,11,457,149
P8.png,Right,8,93,23,83,28,55,174,203,85,92,2691,20,24,6,2,34,6,30,10,18,53,62,27,34,230,7,8,3,894,294
P9.png,Right,3,25,22,42,26,22,133,80,56,35,3333,2,18,48,1,10,7,15,10,9,24,25,21,12,132,1,8,16,512,159
