Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,8,0,71,16,52,18,12,42,14,66,980,5,23,5,5,0,36,8,26,10,8,22,8,34,136,2,11,3,332,173
IC10.png,Right,7,155,23,63,12,17,32,47,25,68,1745,15,54,25,4,74,12,33,6,9,17,22,15,33,210,8,25,14,543,272
IC11.png,Right,9,49,21,23,14,55,10,0,2,3,979,3,7,14,6,23,10,10,6,23,5,0,1,2,89,2,4,6,210,98
IC12.png,Right,8,51,14,26,14,12,14,13,10,25,711,8,21,12,4,25,8,12,7,7,6,7,5,14,84,4,11,4,228,114
IC2.png,Left,40,206,259,107,210,324,77,151,78,131,8763,22,28,31,18,104,122,59,89,86,40,85,36,69,576,10,17,15,1664,750
IC3.png,Left,14,25,129,41,75,21,27,27,15,16,2076,2,16,7,7,12,63,18,35,12,12,11,9,9,169,1,9,3,415,201
IC4.png,Left,7,20,120,1,32,11,39,107,51,64,1756,4,28,3,4,11,57,1,19,7,20,50,27,36,208,2,17,2,487,253
IC5.png,Left,26,5,75,15,26,15,45,25,6,33,1152,11,36,10,14,3,32,5,13,7,22,13,3,15,122,7,20,4,328,158
IC6.png,Left,5,4,59,5,77,16,14,36,36,48,1203,0,5,48,3,1,27,3,38,7,7,19,18,19,133,0,3,24,353,169
IC7.png,Right,2,100,27,64,23,43,9,2,5,7,1089,4,24,20,1,51,14,34,10,24,6,1,3,4,135,2,14,10,330,174
IC8.png,Right,10,26,26,52,37,37,10,0,8,7,1387,4,8,66,6,14,13,24,16,18,5,0,4,4,111,2,4,28,291,138
IC9.png,Right,1,37,18,134,17,58,12,6,41,28,1721,2,8,20,1,23,8,52,9,30,5,3,22,14,134,1,4,13,382,185
P1.png,Left,143,26,142,16,68,22,82,126,76,100,3659,44,70,2,60,13,63,6,28,10,34,55,30,44,330,21,35,1,917,400
P10.png,Right,34,74,72,74,36,58,34,6,16,18,1573,2,24,26,14,31,32,28,13,25,15,3,6,8,164,1,12,11,474,199
P11.png,Right,16,392,102,404,146,312,603,80,51,80,6090,72,335,46,8,169,44,169,53,131,212,36,21,36,808,35,149,22,2639,1085
P12.png,Right,180,254,68,343,110,86,116,38,110,154,5518,96,137,36,76,104,33,133,39,41,51,19,45,70,570,40,60,14,1728,725
P2.png,Left,93,324,603,52,102,146,737,232,48,88,8862,98,502,8,42,117,246,23,41,65,246,100,23,38,995,45,226,4,3033,1216
P3.png,Left,74,36,229,14,124,59,97,56,24,92,2783,34,88,20,31,14,90,6,47,24,39,27,11,38,304,15,40,9,947,391
P4.png,Left,56,2,86,32,120,18,30,96,24,84,2247,12,22,4,27,1,40,15,48,9,15,43,11,33,209,6,10,2,586,260
P5.png,Left,96,26,194,24,54,24,76,50,44,30,3053,46,102,22,37,12,74,10,23,12,32,23,18,13,274,21,43,10,788,328
P6.png,Left,107,1,97,30,86,55,86,57,23,57,2399,85,113,0,54,1,44,14,37,24,43,25,11,25,296,48,54,0,797,380
P7.png,Right,36,888,243,668,66,370,523,145,116,294,9321,40,336,88,15,365,98,277,32,160,210,64,54,126,1212,19,147,44,3813,1611
P8.png,Right,54,110,138,100,76,160,97,6,8,8,3374,22,100,24,22,53,62,42,33,65,32,3,4,4,307,11,38,11,903,380
P9.png,Right,47,227,70,102,70,52,358,28,44,42,4630,40,382,32,21,99,34,43,30,23,125,12,22,18,474,19,158,14,1494,618
