Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,12,6,100,2,45,18,122,14,24,40,945,8,59,4,6,3,43,1,19,7,48,6,12,17,140,4,27,2,454,195
IC10.png,Right,12,41,0,14,0,6,129,20,9,12,534,12,40,0,5,17,0,6,0,3,45,10,5,6,94,6,18,0,295,121
IC11.png,Right,34,142,26,37,14,28,69,42,34,57,1349,11,86,4,14,63,12,18,6,12,27,19,13,21,203,6,40,2,584,253
IC12.png,Right,2,53,2,35,4,10,102,63,65,52,960,4,8,6,1,24,1,17,2,4,40,27,27,25,131,2,4,2,406,176
IC2.png,Left,22,24,148,4,33,18,170,28,57,49,1363,40,80,4,10,11,59,2,17,9,65,12,17,22,209,20,39,2,677,285
IC3.png,Left,20,90,273,24,103,114,246,46,38,105,2258,22,97,16,9,33,114,10,44,49,87,18,18,43,355,11,44,7,1194,487
IC4.png,Left,2,48,68,12,4,20,137,2,2,10,619,22,24,0,1,20,25,4,2,10,55,1,1,4,103,9,10,0,351,142
IC5.png,Left,0,31,77,2,32,68,84,0,12,10,630,4,12,2,0,13,34,1,15,27,32,0,5,4,103,2,6,1,334,140
IC6.png,Left,28,14,100,4,18,22,140,12,16,31,924,49,78,0,12,5,40,2,7,9,57,5,7,16,161,23,38,0,512,221
IC7.png,Right,0,49,0,10,0,4,44,36,6,46,461,2,14,4,0,20,0,5,0,2,19,17,3,18,68,1,6,2,215,93
IC8.png,Right,18,180,16,47,0,24,245,110,39,84,1745,21,70,16,8,82,8,23,0,11,102,49,19,38,290,11,34,6,870,391
IC9.png,Right,36,70,18,24,4,36,117,66,25,65,1184,39,73,2,15,30,8,10,2,15,43,31,9,23,182,17,33,1,575,237
P1.png,Left,14,3,17,10,26,18,18,8,8,4,878,8,6,2,6,2,8,3,12,8,7,4,4,2,55,4,2,1,142,63
P10.png,Right,12,105,10,80,4,34,105,52,16,53,1264,20,30,6,5,46,5,34,2,16,42,24,8,25,172,9,15,3,527,234
P11.png,Right,2,77,17,51,2,26,64,16,51,29,852,2,16,37,1,34,8,22,1,13,23,7,19,15,124,1,7,16,390,167
P12.png,Right,2,63,2,66,13,28,56,52,31,29,2312,2,14,18,1,29,1,26,7,13,23,25,15,15,144,1,7,9,376,172
P2.png,Left,16,87,343,67,215,78,173,30,73,160,3259,20,64,22,8,40,132,29,88,35,64,14,28,67,408,9,31,10,1348,555
P3.png,Left,26,14,96,8,51,16,60,55,30,33,1365,14,47,0,11,6,43,4,20,8,22,24,13,14,151,7,24,0,450,196
P4.png,Left,4,18,17,30,25,14,22,8,16,14,502,8,8,8,2,5,8,15,12,5,9,3,4,6,64,4,4,2,192,79
P5.png,Left,3,9,49,29,54,26,30,26,29,49,1108,2,18,39,2,4,22,13,26,12,10,13,13,23,127,1,8,14,363,161
P6.png,Left,0,22,38,22,43,24,42,18,26,38,850,4,6,5,0,11,17,10,17,10,14,8,12,15,97,2,3,3,288,122
P7.png,Right,15,52,36,24,9,41,55,20,24,23,841,14,25,2,7,27,16,10,6,16,22,9,10,11,113,7,12,1,340,154
P8.png,Right,6,59,6,39,0,17,141,19,6,22,629,26,44,5,3,19,3,18,0,8,42,9,2,9,109,12,18,1,390,144
P9.png,Right,58,210,128,44,40,74,97,66,16,52,2759,42,121,14,29,91,55,21,17,33,42,23,6,20,348,20,56,7,962,420
