Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,10,154,76,50,22,78,108,6,2,8,1196,6,24,0,3,53,28,13,9,29,37,2,1,3,145,3,9,0,544,190
CC10.png,Right,10,102,8,48,6,24,58,74,50,42,2288,6,22,8,5,40,4,16,3,10,22,28,21,18,155,3,10,4,458,184
CC11.png,Right,22,42,18,22,18,28,32,24,26,18,1252,4,10,6,10,17,7,10,7,12,15,9,10,9,94,2,5,3,270,116
CC12.png,Right,2,22,6,6,0,6,42,46,48,24,1370,10,10,0,1,11,3,3,0,3,19,20,19,12,83,5,4,0,222,100
CC2.png,Left,60,56,106,18,58,28,142,64,32,50,2482,46,85,34,27,25,45,6,27,14,60,27,15,24,258,18,38,15,779,341
CC3.png,Left,28,32,34,8,6,20,28,10,4,6,925,6,12,2,13,13,16,4,2,9,12,4,2,2,73,3,6,1,196,87
CC4.png,Left,18,70,58,50,4,34,98,20,2,10,1757,18,18,2,6,32,27,24,2,15,40,9,1,5,141,8,9,1,402,179
CC5.png,Left,28,50,60,26,2,56,120,0,0,4,853,6,24,2,11,23,27,10,1,26,45,0,0,2,125,3,12,1,378,161
CC6.png,Left,14,82,40,44,42,80,56,16,10,12,1918,14,21,0,7,38,18,19,15,28,23,7,5,5,148,6,9,0,431,180
CC7.png,Right,14,28,18,22,30,12,170,114,18,14,1539,8,18,8,6,13,8,10,10,6,49,34,9,7,138,4,7,2,474,165
CC8.png,Right,52,70,32,28,8,18,52,50,36,26,1936,36,52,8,24,26,10,12,4,7,22,21,13,11,149,16,18,3,468,187
CC9.png,Right,34,64,36,26,16,22,336,104,20,56,3397,40,58,10,16,31,15,13,6,8,100,41,10,25,259,16,25,5,822,311
P1.png,Left,0,86,68,62,66,126,34,10,0,8,1112,8,4,8,0,26,23,22,24,38,15,5,0,4,134,2,2,2,480,163
P10.png,Right,42,280,44,92,2,48,202,138,130,204,3574,48,84,18,16,93,18,37,1,20,68,49,48,72,385,22,38,8,1332,490
P11.png,Right,28,134,6,12,0,12,68,26,8,16,1049,18,26,4,14,35,3,5,0,6,24,9,4,4,100,9,12,2,358,127
P12.png,Right,72,182,48,136,28,36,178,172,86,106,4296,52,76,10,29,62,14,45,10,15,64,59,28,46,328,20,33,4,1182,429
P2.png,Left,54,74,224,10,82,42,446,30,18,44,3413,48,128,38,23,31,81,5,26,16,103,12,7,16,318,18,49,12,1238,399
P3.png,Left,18,76,116,12,46,54,138,36,52,40,1655,36,16,16,7,26,34,5,14,21,46,11,17,15,175,13,7,5,656,221
P4.png,Left,8,72,104,48,32,60,112,8,2,6,1814,8,48,38,4,28,37,21,11,26,32,2,1,3,170,3,18,14,546,200
P5.png,Left,0,76,98,34,38,84,40,50,4,10,1232,0,36,2,0,29,32,14,14,27,17,15,2,5,141,0,15,1,472,171
P6.png,Left,22,106,80,100,78,74,612,38,10,22,3202,50,48,10,6,28,35,27,27,23,132,7,5,8,269,20,20,4,1250,342
P7.png,Right,14,146,54,154,54,106,215,204,186,102,3584,38,62,26,6,42,20,58,18,43,73,68,67,39,361,13,24,10,1361,481
P8.png,Right,110,86,16,18,6,2,178,108,40,94,2105,64,114,4,37,34,8,7,3,1,66,39,14,35,238,24,40,2,840,310
P9.png,Right,74,274,42,66,4,36,134,52,24,56,2199,44,126,10,24,93,18,27,2,16,41,23,10,24,268,17,39,5,942,339
