Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,0,20,13,4,12,19,2,0,0,8,227,0,0,0,0,8,6,2,6,7,1,0,0,4,25,0,0,0,78,34
IC10.png,Right,2,0,0,10,0,0,9,4,23,13,157,0,0,0,1,0,0,5,0,0,3,2,7,5,19,0,0,0,61,23
IC11.png,Right,2,6,2,14,0,0,23,19,16,2,323,5,9,3,1,3,1,5,0,0,6,5,6,1,30,2,4,1,101,35
IC12.png,Right,0,16,4,7,11,2,4,10,22,12,294,0,5,5,0,5,2,3,5,1,2,3,7,6,32,0,2,3,98,39
IC2.png,Left,2,17,10,12,10,8,50,14,4,8,479,6,10,4,1,8,5,6,2,4,17,5,2,4,48,3,4,1,155,62
IC3.png,Left,6,17,17,8,17,27,21,4,4,8,368,0,7,2,2,7,8,4,8,13,6,2,2,4,45,0,3,1,138,60
IC4.png,Left,4,14,12,4,2,0,4,0,0,2,171,0,4,4,2,4,5,2,1,0,2,0,0,1,18,0,2,2,50,21
IC5.png,Left,0,28,7,0,2,4,24,6,0,2,255,2,2,0,0,9,3,0,1,2,9,2,0,1,25,1,1,0,77,29
IC6.png,Left,2,16,23,29,10,21,46,10,2,6,336,8,6,0,1,8,7,12,4,8,12,3,1,1,47,4,3,0,179,64
IC7.png,Right,2,4,8,2,2,2,13,19,12,2,208,8,4,0,1,2,2,1,1,1,3,6,6,1,27,4,2,0,78,30
IC8.png,Right,0,6,0,2,0,2,6,35,22,13,362,0,0,0,0,3,0,1,0,1,1,11,7,4,23,0,0,0,86,28
IC9.png,Right,4,22,10,16,4,9,50,22,34,21,548,8,19,2,2,10,5,7,2,4,12,7,13,10,63,4,7,1,221,84
P1.png,Left,13,11,16,20,5,12,6,12,2,6,335,4,2,4,3,5,7,9,1,6,3,4,1,1,38,2,1,2,113,45
P10.png,Right,5,0,0,0,0,0,56,2,8,2,195,2,0,0,2,0,0,0,0,0,11,1,3,1,15,1,0,0,75,19
P11.png,Right,0,25,0,16,2,6,16,14,16,14,328,0,2,0,0,10,0,8,1,3,5,5,5,7,36,0,1,0,111,45
P12.png,Right,0,12,0,4,0,2,21,13,12,18,367,2,2,0,0,4,0,2,0,1,7,5,4,7,27,1,1,0,86,32
P2.png,Left,0,23,13,21,8,10,15,0,2,0,363,0,2,0,0,10,6,6,3,5,5,0,1,0,34,0,1,0,94,37
P3.png,Left,4,10,19,28,20,16,38,10,4,2,618,17,4,6,2,5,8,12,8,8,15,5,2,1,55,5,2,3,178,76
P4.png,Left,2,11,2,0,4,6,26,0,4,6,135,8,8,0,1,5,1,0,2,2,8,0,2,3,22,3,3,0,77,30
P5.png,Left,2,6,21,4,18,6,4,4,5,8,370,2,0,0,1,3,7,2,6,2,2,2,2,3,24,1,0,0,80,31
P6.png,Left,0,12,26,23,12,23,11,15,2,9,305,2,6,2,0,5,11,5,5,11,3,6,1,4,45,1,2,1,143,55
P7.png,Right,0,10,0,8,0,0,8,8,8,14,317,0,8,0,0,4,0,4,0,0,4,4,3,5,24,0,2,0,64,26
P8.png,Right,2,15,0,10,0,2,6,30,18,20,360,2,2,10,1,7,0,5,0,1,3,11,8,9,42,1,1,4,117,51
P9.png,Right,4,8,0,6,0,4,58,25,32,6,633,4,2,2,1,4,0,3,0,2,17,11,13,3,50,2,1,1,151,58
