Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,0,0,0,0,0,0,0,3,0,0,104,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,1
IC10.png,Right,8,2,4,2,2,0,6,0,0,0,70,0,0,0,3,1,1,1,1,0,1,0,0,0,6,0,0,0,24,8
IC11.png,Right,0,4,0,0,0,2,4,0,0,0,101,2,2,0,0,1,0,0,0,1,2,0,0,0,5,1,1,0,14,6
IC12.png,Right,0,57,54,81,6,44,16,21,2,16,661,4,3,11,0,18,15,29,3,17,4,8,1,6,85,2,1,4,315,108
IC2.png,Left,18,0,5,0,0,0,4,0,0,0,114,13,4,0,4,0,2,0,0,0,2,0,0,0,11,2,2,0,44,12
IC3.png,Left,10,28,109,11,59,30,79,50,54,53,1185,5,36,4,2,7,36,4,16,10,18,17,18,19,121,2,8,2,528,159
IC4.png,Left,3,0,5,0,0,0,0,2,0,0,132,2,0,0,1,0,2,0,0,0,0,1,0,0,6,1,0,0,12,5
IC5.png,Left,0,0,21,0,2,0,0,0,5,8,107,0,4,0,0,0,6,0,1,0,0,0,1,4,10,0,1,0,40,13
IC6.png,Left,8,4,27,0,10,0,2,21,34,13,375,0,8,4,3,1,8,0,5,0,1,8,8,4,33,0,2,2,131,42
IC7.png,Right,13,0,0,0,0,0,0,0,0,0,105,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,13,4
IC8.png,Right,2,0,0,0,0,0,0,0,0,0,107,0,9,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,11,3
IC9.png,Right,0,0,3,0,0,0,0,0,0,0,105,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,1
P1.png,Left,0,18,54,15,51,26,18,8,49,36,675,0,2,13,0,7,17,5,18,9,6,4,12,12,76,0,1,4,290,95
P10.png,Right,11,17,30,21,19,16,49,11,8,20,1027,12,18,23,4,8,11,9,8,6,12,5,4,7,75,3,7,11,255,95
P11.png,Right,0,0,0,0,0,0,4,0,0,0,35,17,12,0,0,0,0,0,0,0,2,0,0,0,5,4,3,0,33,9
P12.png,Right,4,14,2,0,0,0,23,10,0,10,154,15,16,0,1,3,1,0,0,0,6,4,0,2,21,4,4,0,94,25
P2.png,Left,28,30,69,75,66,64,58,44,29,40,1152,14,46,19,6,9,19,23,18,22,14,15,7,15,124,5,12,6,582,171
P3.png,Left,11,10,73,25,75,28,49,46,50,41,1157,2,13,21,4,3,20,6,20,11,15,14,18,14,106,1,6,7,444,139
P4.png,Left,17,14,33,8,12,6,30,30,4,13,433,4,14,0,6,6,15,2,3,3,11,10,2,4,59,2,4,0,185,68
P5.png,Left,0,7,11,8,26,6,0,21,25,35,360,0,0,6,0,2,4,3,6,2,0,5,10,9,37,0,0,1,145,42
P6.png,Left,22,31,80,50,39,18,88,34,24,23,2353,6,21,13,7,13,22,15,13,8,25,13,9,10,122,2,7,3,449,147
P7.png,Right,24,70,34,35,67,53,106,38,17,13,1646,7,17,13,6,24,12,11,19,17,25,9,6,5,122,3,7,5,494,149
P8.png,Right,6,61,60,43,52,59,23,6,9,8,949,4,19,7,2,21,17,12,15,23,6,2,4,4,92,2,5,3,357,116
P9.png,Right,4,0,0,0,0,0,10,0,0,0,68,5,0,0,2,0,0,0,0,0,2,0,0,0,4,2,0,0,19,6
