Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,28,45,98,44,109,40,119,77,82,61,2658,11,26,61,11,14,32,15,38,13,31,24,32,21,214,4,8,18,801,261
IC10.png,Right,59,178,173,117,48,126,82,41,7,59,2415,7,74,20,20,59,57,40,16,43,26,12,3,21,257,2,24,6,991,329
IC11.png,Right,52,408,97,166,21,100,279,261,123,178,4236,57,122,14,17,126,30,53,7,35,82,86,41,63,462,23,43,4,1878,610
IC12.png,Right,13,249,98,269,55,128,238,127,156,146,4075,47,92,68,6,87,35,78,19,46,70,44,51,57,444,15,33,24,1686,565
IC2.png,Left,26,210,744,103,305,303,492,131,38,176,6079,41,188,25,8,70,218,35,96,98,118,38,15,58,659,14,61,10,2782,839
IC3.png,Left,52,151,350,93,206,137,570,204,145,159,5628,106,124,35,19,48,110,27,67,45,151,70,45,54,565,35,44,12,2332,727
IC4.png,Left,6,32,59,29,41,20,95,39,10,16,1199,12,7,4,2,10,22,10,12,7,29,13,4,7,99,6,2,2,370,126
IC5.png,Left,214,179,587,81,471,715,170,921,294,433,16352,52,121,59,63,53,184,24,134,91,52,276,88,138,949,19,49,15,4297,1186
IC6.png,Left,8,75,149,40,112,92,61,177,71,129,2400,11,44,6,3,27,50,10,39,31,15,57,21,41,239,3,13,2,975,312
IC7.png,Right,8,88,19,29,8,20,266,85,43,43,1529,32,36,0,2,28,8,10,3,7,59,32,16,17,160,10,11,0,677,203
IC8.png,Right,43,152,69,71,42,31,337,143,52,84,2950,67,81,16,15,49,18,23,8,8,90,41,15,25,259,21,25,4,1188,342
IC9.png,Right,85,332,251,297,139,237,165,200,325,179,6737,26,140,53,27,116,78,91,48,79,50,59,95,64,609,9,44,18,2429,778
P1.png,Left,9,107,120,33,46,49,123,56,18,41,1784,21,26,8,4,37,36,12,13,18,36,19,6,15,173,7,11,3,657,217
P10.png,Right,71,365,49,377,20,110,223,198,286,363,5512,34,83,57,16,108,20,118,9,41,58,61,92,118,534,14,25,15,2236,695
P11.png,Right,33,239,33,97,4,78,528,455,163,232,6738,86,92,12,10,77,9,27,2,23,153,150,60,71,499,26,31,5,2052,644
P12.png,Right,41,102,76,183,37,140,202,133,176,108,4429,36,37,44,12,32,22,49,13,43,54,42,43,40,297,14,14,7,1315,385
P2.png,Left,15,444,595,245,499,455,525,130,90,290,7429,32,118,99,6,142,187,75,161,147,141,48,33,93,855,11,41,33,3537,1118
P3.png,Left,9,78,229,47,182,70,107,143,182,120,3789,20,38,52,3,22,68,13,53,22,28,38,43,40,281,7,11,16,1277,364
P4.png,Left,4,110,80,35,27,74,255,109,43,63,1724,27,29,29,1,36,24,11,11,21,62,33,13,25,206,11,13,4,885,265
P5.png,Left,0,6,24,2,22,18,19,6,15,20,2816,0,0,10,0,2,8,1,7,6,3,1,5,9,37,0,0,3,142,45
P6.png,Left,49,203,644,110,316,174,428,284,126,358,6013,51,177,48,17,63,199,31,103,57,112,81,40,119,711,20,62,16,2968,920
P7.png,Right,0,175,33,91,10,50,137,221,96,123,2490,4,15,31,0,52,11,29,2,16,38,70,26,42,237,2,4,8,986,300
P8.png,Right,6,180,126,242,61,142,202,54,120,122,3411,20,30,109,3,55,37,66,23,43,51,18,36,44,339,7,12,32,1414,427
P9.png,Right,22,130,66,245,133,196,91,26,21,63,6030,21,27,107,8,43,23,58,39,60,26,8,7,18,262,8,10,10,1148,318
