Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,8,4,8,0,0,12,12,8,6,0,546,2,0,0,4,2,4,0,0,3,6,3,1,0,22,1,0,0,60,24
IC10.png,Right,4,12,6,6,0,0,4,4,0,0,557,0,10,0,2,4,3,2,0,0,2,2,0,0,18,0,5,0,46,20
IC11.png,Right,4,4,8,10,6,2,6,0,0,0,831,0,0,6,2,2,2,2,1,1,3,0,0,0,12,0,0,2,46,15
IC12.png,Right,14,4,10,0,8,2,14,4,0,10,1145,2,10,2,6,2,5,0,4,1,5,2,0,3,28,1,5,1,80,35
IC2.png,Left,12,6,36,10,24,12,30,14,16,14,3407,10,10,14,6,2,14,4,9,6,14,6,8,5,76,5,4,5,208,88
IC3.png,Left,12,10,26,8,6,8,34,24,16,10,1173,4,13,8,5,4,11,4,3,3,13,7,7,4,62,1,5,4,179,71
IC4.png,Left,8,4,2,6,0,2,8,22,10,4,644,2,0,4,2,2,1,3,0,1,4,7,5,2,28,1,0,2,72,30
IC5.png,Left,10,6,10,0,10,6,10,12,34,10,849,2,8,0,4,2,4,0,3,2,4,4,11,5,35,1,2,0,118,42
IC6.png,Left,14,0,6,0,14,4,0,10,10,2,759,0,0,2,6,0,3,0,4,1,0,4,4,1,20,0,0,1,62,24
IC7.png,Right,9,2,10,10,8,2,0,4,2,4,540,2,2,2,4,1,4,4,2,1,0,1,1,2,19,1,1,1,57,23
IC8.png,Right,6,4,2,4,4,6,6,0,2,0,510,4,2,0,3,2,1,2,2,2,1,0,1,0,14,2,1,0,40,17
IC9.png,Right,12,2,20,8,2,10,16,2,6,8,1205,2,6,2,4,1,7,3,1,4,7,1,2,4,33,1,3,1,96,39
P1.png,Left,0,2,0,0,0,2,0,4,4,0,751,0,0,4,0,1,0,0,0,1,0,2,2,0,8,0,0,1,16,7
P10.png,Right,14,4,14,10,2,0,18,2,2,0,1364,8,4,0,6,2,6,5,1,0,8,1,1,0,29,3,2,0,78,35
P11.png,Right,10,32,25,52,36,12,30,2,4,8,2266,14,10,10,5,11,10,19,17,6,8,1,2,4,81,5,3,4,245,95
P12.png,Right,2,12,6,4,4,10,2,8,2,2,1261,4,0,0,1,5,3,2,2,4,1,4,1,1,24,2,0,0,56,26
P2.png,Left,2,6,22,4,14,2,13,15,16,12,1288,6,0,0,1,3,8,2,6,1,4,7,7,5,35,2,0,0,112,46
P3.png,Left,2,4,14,8,12,6,8,12,34,24,1124,2,9,2,1,2,6,3,5,2,3,5,13,10,42,1,4,1,137,56
P4.png,Left,4,6,24,2,18,2,3,5,22,14,1302,2,4,2,2,2,8,1,8,1,1,3,7,4,34,1,2,1,108,41
P5.png,Left,6,2,14,12,22,2,6,22,22,16,1180,4,2,12,2,1,6,4,10,1,3,8,8,5,50,2,1,4,142,55
P6.png,Left,4,8,24,6,19,8,22,18,38,16,1777,14,2,12,2,3,10,3,7,3,9,6,14,8,63,5,1,6,191,77
P7.png,Right,2,22,10,10,6,19,6,4,0,16,650,0,4,6,1,9,4,4,3,8,2,1,0,6,32,0,2,3,105,43
P8.png,Right,6,14,16,24,26,28,30,10,6,22,2333,6,6,6,2,7,7,7,12,8,10,5,2,5,55,3,2,3,200,73
P9.png,Right,12,10,8,38,30,16,4,8,2,6,1209,2,0,6,5,4,3,12,9,6,2,4,1,3,46,1,0,2,142,52
