Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,12,20,62,29,54,21,66,20,14,41,981,12,16,0,6,9,24,9,17,9,22,9,6,13,109,6,6,0,367,136
CC10.png,Right,14,38,19,12,22,28,102,8,16,10,891,10,25,0,6,15,8,5,9,10,27,4,4,4,85,4,11,0,304,107
CC11.png,Right,6,23,9,10,17,6,97,39,15,22,1121,33,14,2,3,9,4,4,7,3,32,16,5,7,84,13,4,1,293,108
CC12.png,Right,62,68,24,26,23,16,152,30,8,22,1498,37,31,0,28,28,11,11,7,7,44,12,4,9,151,14,14,0,499,189
CC2.png,Left,27,22,119,18,90,29,149,34,33,43,1978,16,48,4,11,8,38,7,32,13,46,13,12,16,179,6,20,2,632,224
CC3.png,Left,12,16,28,20,54,26,164,16,32,23,1409,36,25,10,6,8,13,7,20,13,48,7,12,8,137,13,12,5,462,172
CC4.png,Left,34,11,40,38,24,16,79,18,15,12,925,31,22,0,14,5,18,13,10,7,27,8,7,5,103,12,9,0,340,135
CC5.png,Left,66,2,51,18,25,2,145,52,22,22,1771,52,42,0,22,1,21,4,9,1,47,21,9,8,146,17,18,0,499,178
CC6.png,Left,52,0,26,13,36,12,103,35,31,31,1582,38,32,6,20,0,12,5,14,5,34,16,10,13,134,17,16,3,415,165
CC7.png,Right,38,39,22,25,13,11,129,22,8,18,1407,42,15,0,15,16,10,8,6,5,46,10,4,8,124,17,6,0,382,151
CC8.png,Right,27,38,12,38,0,7,144,13,4,13,1231,41,30,0,11,13,5,13,0,3,42,6,2,5,100,16,13,0,367,129
CC9.png,Right,21,72,44,25,26,30,108,27,31,18,1875,32,46,13,10,28,21,10,11,12,34,12,12,9,156,14,17,6,493,196
P1.png,Left,34,23,110,10,72,56,419,86,40,50,2398,36,42,0,15,9,41,3,28,23,110,30,11,22,260,15,18,0,978,325
P10.png,Right,14,23,30,29,26,27,159,34,36,22,1700,27,20,6,6,10,15,10,10,9,55,12,13,11,139,12,9,2,453,174
P11.png,Right,38,23,21,33,43,11,236,43,53,29,1947,66,14,2,16,9,8,9,13,4,65,17,20,11,174,28,5,1,612,206
P12.png,Right,6,47,16,16,25,14,259,23,40,18,1727,53,18,0,3,21,7,8,11,5,66,10,14,9,154,20,7,0,535,181
P2.png,Left,15,39,85,28,74,56,158,34,34,37,1291,17,29,6,6,16,31,10,24,21,51,12,14,16,169,8,9,3,612,221
P3.png,Left,18,24,53,43,108,46,186,18,17,38,1527,36,22,26,8,12,23,15,40,20,58,7,5,14,184,13,11,8,635,234
P4.png,Left,4,14,35,22,49,36,177,22,25,29,1159,14,11,18,2,7,16,9,20,13,47,9,8,13,125,6,5,7,456,162
P5.png,Left,32,24,54,18,16,11,185,49,26,26,1578,33,34,4,14,11,20,7,6,5,58,15,7,11,144,15,16,2,512,187
P6.png,Left,49,40,146,7,47,57,464,69,43,89,3124,92,101,63,21,12,44,3,15,23,130,24,15,30,326,34,39,12,1267,402
P7.png,Right,30,56,41,19,26,17,226,31,16,23,1397,53,51,0,12,27,19,7,12,5,74,13,8,7,185,21,20,0,589,225
P8.png,Right,8,31,41,22,24,27,163,21,17,12,1932,37,12,0,4,13,13,9,11,12,50,9,6,5,130,16,6,0,415,154
P9.png,Right,14,60,34,53,39,35,217,46,50,28,2835,62,27,23,7,23,15,21,17,15,74,19,16,12,222,26,13,6,688,264
