Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,10,2,8,0,0,0,52,0,0,0,477,24,16,0,7,2,4,0,0,0,34,0,0,0,62,18,10,0,112,75
CC10.png,Right,2,0,0,0,0,0,3,0,0,0,520,2,1,0,2,0,0,0,0,0,2,0,0,0,8,2,1,0,8,7
CC11.png,Right,13,0,0,0,0,0,23,2,0,0,569,28,5,0,9,0,0,0,0,0,15,1,0,0,36,15,3,0,71,43
CC12.png,Right,6,4,0,0,0,0,42,1,0,1,651,16,10,0,3,3,0,0,0,0,25,1,0,1,35,9,6,0,80,48
CC2.png,Left,1,2,18,0,2,0,41,0,0,2,537,9,13,0,1,2,9,0,2,0,23,0,0,1,45,9,9,0,88,56
CC3.png,Left,6,12,8,2,2,3,104,0,0,2,658,19,18,0,6,9,6,2,1,3,51,0,0,1,77,18,12,0,176,109
CC4.png,Left,11,2,0,0,0,0,34,0,0,0,381,23,23,0,8,1,0,0,0,0,14,0,0,0,36,11,14,0,93,48
CC5.png,Left,6,0,0,0,0,0,6,0,0,0,381,2,1,0,5,0,0,0,0,0,5,0,0,0,13,2,1,0,15,13
CC6.png,Left,5,0,0,0,0,0,29,0,0,0,603,5,13,0,5,0,0,0,0,0,17,0,0,0,23,4,6,0,52,32
CC7.png,Right,1,1,0,0,0,0,19,0,0,0,472,6,2,0,1,1,0,0,0,0,14,0,0,0,18,4,1,0,29,21
CC8.png,Right,3,0,0,0,0,0,52,8,0,1,743,12,4,0,1,0,0,0,0,0,32,6,0,1,49,11,4,0,80,55
CC9.png,Right,3,2,4,0,1,0,14,0,0,0,581,4,1,0,2,2,4,0,1,0,11,0,0,0,23,3,1,0,29,24
P1.png,Left,10,1,14,0,11,1,31,6,2,4,421,13,7,1,10,1,12,0,8,1,17,5,2,4,63,11,5,1,101,77
P10.png,Right,3,10,0,0,0,1,25,3,1,1,406,12,12,0,3,7,0,0,0,1,14,3,1,1,36,8,9,0,68,47
P11.png,Right,7,17,4,5,0,5,47,32,3,11,532,6,14,0,6,15,2,4,0,2,30,17,2,8,79,4,10,0,151,100
P12.png,Right,8,77,18,26,2,23,71,33,24,50,1036,17,19,1,8,47,9,16,2,16,41,17,18,33,179,11,13,1,369,232
P2.png,Left,4,11,3,9,0,3,28,0,0,3,465,3,6,0,3,7,3,4,0,3,17,0,0,1,36,3,5,0,70,46
P3.png,Left,0,1,13,0,0,0,55,0,0,0,399,13,7,0,0,1,7,0,0,0,26,0,0,0,39,8,7,0,89,49
P4.png,Left,19,0,2,0,0,0,5,5,0,0,414,7,9,0,11,0,2,0,0,0,3,3,0,0,28,7,6,0,47,32
P5.png,Left,21,0,2,0,0,1,5,3,0,0,509,12,11,0,11,0,2,0,0,1,3,2,0,0,32,11,8,0,55,38
P6.png,Left,10,5,1,1,0,1,43,1,0,0,732,22,13,0,9,3,1,1,0,1,27,1,0,0,60,16,9,0,97,68
P7.png,Right,9,2,0,0,0,2,20,0,1,0,594,11,6,0,7,2,0,0,0,1,12,0,1,0,33,9,4,0,51,36
P8.png,Right,19,7,1,0,0,1,21,0,0,1,919,9,7,0,13,5,1,0,0,1,15,0,0,1,37,7,7,0,66,50
P9.png,Right,39,26,6,0,1,0,73,32,14,10,1255,36,17,0,31,18,4,0,1,0,45,23,9,7,146,26,13,0,254,177
