Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,0,47,26,50,24,20,18,6,32,16,870,0,0,20,0,17,11,21,11,9,6,3,16,8,93,0,0,9,259,111
CC10.png,Right,0,30,6,47,24,20,8,10,35,28,747,0,4,10,0,12,3,20,10,7,3,4,17,11,66,0,2,4,222,93
CC11.png,Right,0,16,4,24,4,2,6,12,54,8,780,0,2,19,0,7,2,11,1,1,3,6,20,4,49,0,1,9,151,65
CC12.png,Right,2,13,14,16,16,28,72,70,19,10,1022,12,2,10,1,5,7,7,8,13,28,25,9,5,97,6,1,4,284,119
CC2.png,Left,6,100,43,22,28,28,146,18,54,30,1283,20,44,0,3,41,17,8,11,12,58,8,21,14,174,9,18,0,539,220
CC3.png,Left,2,26,60,18,48,36,38,18,40,28,726,4,10,6,1,12,27,7,23,16,17,8,15,13,105,1,5,3,334,148
CC4.png,Left,0,16,32,42,36,22,10,2,0,2,481,0,2,8,0,8,14,17,11,11,3,1,0,1,56,0,1,4,172,71
CC5.png,Left,0,6,4,10,2,2,16,0,0,2,834,6,6,0,0,3,2,5,1,1,7,0,0,1,17,2,3,0,54,25
CC6.png,Left,2,14,12,2,16,6,36,8,10,4,716,4,6,2,1,7,6,1,8,3,16,3,4,2,44,2,3,1,122,57
CC7.png,Right,6,26,4,8,4,4,60,38,14,10,599,0,12,2,2,11,2,4,1,2,21,17,5,5,63,0,6,1,188,77
CC8.png,Right,0,2,0,12,2,4,0,6,16,10,1290,0,0,10,0,1,0,6,1,2,0,3,8,4,27,0,0,5,62,30
CC9.png,Right,2,86,34,52,26,30,74,86,55,44,2274,10,4,4,1,33,16,19,11,14,27,37,24,19,158,5,2,2,507,210
P1.png,Left,42,0,34,0,18,0,2,80,28,18,905,8,6,4,13,0,13,0,8,0,1,32,11,8,72,3,3,2,240,94
P10.png,Right,22,21,60,18,33,26,16,0,0,0,1508,14,8,2,10,8,22,9,16,11,7,0,0,0,79,6,4,1,220,94
P11.png,Right,0,8,26,2,38,4,0,0,0,2,1120,0,2,2,0,4,13,1,15,2,0,0,0,1,33,0,1,1,84,38
P12.png,Right,2,12,4,2,10,0,6,14,2,12,1908,0,10,4,1,5,2,1,4,0,2,6,1,4,28,0,5,2,78,33
P2.png,Left,16,12,54,10,36,22,16,44,80,22,3561,8,12,32,8,5,27,5,14,9,7,17,35,10,135,4,6,14,364,161
P3.png,Left,6,6,16,4,20,2,4,22,50,26,2812,2,12,10,3,2,6,1,10,1,2,10,22,10,60,1,5,4,180,77
P4.png,Left,4,0,0,0,24,4,0,8,32,10,1469,0,0,18,2,0,0,0,11,2,0,3,15,4,43,0,0,8,100,45
P5.png,Left,16,0,10,2,30,2,10,66,104,35,1930,14,11,6,8,0,3,1,10,1,4,29,47,18,105,7,5,3,306,136
P6.png,Left,10,0,6,0,0,2,2,67,22,8,1888,6,2,0,5,0,3,0,0,1,1,30,11,4,52,3,1,0,125,59
P7.png,Right,8,4,23,0,10,10,0,0,0,0,2415,0,2,0,4,2,6,0,4,3,0,0,0,0,18,0,1,0,57,20
P8.png,Right,4,2,16,0,0,0,2,0,0,0,813,2,4,0,2,1,8,0,0,0,1,0,0,0,15,1,2,0,30,15
P9.png,Right,16,2,54,2,74,14,4,0,0,0,2793,4,8,0,8,1,25,1,29,6,2,0,0,0,69,2,3,0,178,77
