Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,4,6,60,14,58,26,24,4,12,30,1388,6,22,30,2,3,24,6,26,12,10,2,6,15,95,3,10,12,296,131
IC10.png,Right,10,18,4,6,14,6,11,4,0,3,247,13,10,0,3,5,2,3,4,3,6,2,0,1,34,6,5,0,99,40
IC11.png,Right,16,37,32,34,12,30,6,8,6,8,431,4,14,8,4,16,10,14,6,13,3,4,2,4,71,2,6,4,215,88
IC12.png,Right,2,12,2,38,4,12,32,2,2,10,418,16,16,18,1,4,1,16,2,6,12,1,1,3,50,7,8,6,166,68
IC2.png,Left,14,6,18,2,16,12,22,30,29,14,835,6,12,8,5,3,9,1,8,5,9,11,11,7,69,2,6,4,189,81
IC3.png,Left,2,4,28,2,42,6,10,9,2,6,364,4,6,20,1,2,13,1,16,2,5,3,1,3,40,2,3,7,141,59
IC4.png,Left,8,4,10,6,46,4,28,26,18,26,821,20,10,36,4,2,5,2,19,2,11,11,9,11,81,7,5,13,242,101
IC5.png,Left,10,0,8,4,20,4,10,4,6,10,280,10,6,20,5,0,4,1,7,2,5,2,3,5,39,4,3,8,112,49
IC6.png,Left,10,2,50,7,29,12,42,20,20,22,754,2,32,6,5,1,21,4,13,5,12,10,10,10,79,1,14,3,254,109
IC7.png,Right,12,14,35,14,36,18,14,4,0,6,685,6,2,8,6,7,16,6,13,8,5,2,0,3,60,3,1,4,169,74
IC8.png,Right,16,14,12,22,16,14,2,0,8,2,656,8,10,32,7,6,5,8,8,7,1,0,4,1,63,4,5,15,156,71
IC9.png,Right,12,18,9,16,8,8,10,2,2,3,516,14,4,8,5,7,4,6,3,4,4,1,1,2,35,4,2,4,114,47
P1.png,Left,6,8,42,8,38,28,12,10,22,24,604,5,15,2,3,4,21,4,18,11,4,5,10,10,75,3,7,1,220,101
P10.png,Right,2,63,40,53,66,54,72,24,16,27,1121,8,26,14,1,29,18,23,25,22,25,10,6,14,155,4,13,7,465,197
P11.png,Right,0,46,10,28,12,12,74,58,32,42,851,4,9,8,0,22,5,12,6,6,32,29,14,20,116,2,4,4,335,156
P12.png,Right,24,139,18,62,17,28,274,134,38,76,2280,44,84,24,11,57,8,24,8,14,98,58,18,36,301,22,37,12,962,403
P2.png,Left,18,52,98,34,78,20,116,33,14,33,2078,12,30,16,8,21,37,12,31,10,44,16,7,16,169,6,15,7,554,230
P3.png,Left,0,40,24,8,36,36,38,10,6,16,1991,4,6,19,0,16,11,4,14,15,12,2,2,6,77,2,3,9,243,96
P4.png,Left,14,70,140,34,93,60,98,80,52,96,2116,12,42,34,7,29,56,15,43,28,32,30,24,45,260,6,18,14,825,347
P5.png,Left,2,0,12,0,2,0,32,0,2,6,115,6,15,0,1,0,6,0,1,0,9,0,1,2,20,2,7,0,77,29
P6.png,Left,0,24,48,22,26,12,50,4,4,4,520,2,8,8,0,11,20,9,10,6,20,2,2,2,71,1,4,4,212,91
P7.png,Right,2,26,6,34,14,14,52,14,12,10,579,4,12,4,1,9,3,16,7,7,17,7,5,5,67,2,5,2,204,86
P8.png,Right,0,32,2,14,0,2,54,55,24,20,618,2,8,6,0,11,1,6,0,1,20,24,12,10,74,1,4,3,219,93
P9.png,Right,24,128,38,90,66,38,257,76,30,68,2003,28,64,32,11,53,17,36,26,17,94,37,13,31,299,14,31,15,939,395
