Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,0,0,13,2,20,8,60,0,4,20,305,4,0,4,0,0,3,1,8,4,15,0,2,9,35,2,0,2,135,46
IC10.png,Right,3,13,12,17,12,10,47,16,11,6,261,6,6,2,1,5,5,8,4,4,9,6,4,3,41,3,3,1,161,56
IC11.png,Right,22,41,20,18,0,4,125,17,15,12,897,35,29,0,8,14,9,7,0,2,40,6,6,6,103,16,12,0,338,126
IC12.png,Right,7,68,9,17,6,12,100,14,21,15,873,12,47,0,2,29,4,7,3,6,26,7,7,6,98,5,19,0,328,121
IC2.png,Left,8,109,143,49,46,104,178,48,2,27,1900,23,49,0,3,43,55,17,18,45,61,18,1,11,232,8,22,0,786,302
IC3.png,Left,2,30,19,70,39,18,87,0,2,8,1009,11,4,20,1,13,7,24,15,7,24,0,1,4,97,4,2,7,310,109
IC4.png,Left,6,10,11,15,2,6,63,9,0,6,439,19,12,0,2,4,5,6,1,3,22,4,0,3,50,8,4,0,159,62
IC5.png,Left,12,45,27,26,26,38,57,0,9,7,761,10,12,0,4,15,10,9,10,15,20,0,4,3,78,5,5,0,269,100
IC6.png,Left,14,4,23,20,0,2,34,2,0,6,906,6,18,0,6,2,10,5,0,1,13,1,0,3,39,3,6,0,129,50
IC7.png,Right,0,25,6,20,14,11,45,28,6,33,575,11,10,0,0,10,3,7,6,5,16,11,2,11,61,5,4,0,209,80
IC8.png,Right,10,42,8,11,4,2,153,86,23,23,1157,28,15,0,4,14,3,4,2,1,51,31,11,10,114,12,6,0,405,149
IC9.png,Right,9,37,14,23,6,17,149,37,10,18,832,4,12,2,3,14,4,8,3,7,44,16,4,7,99,2,5,1,338,118
P1.png,Left,6,4,2,0,12,4,18,2,4,2,345,4,0,9,2,1,1,0,4,2,6,1,2,1,20,1,0,4,67,25
P10.png,Right,8,8,26,8,3,6,84,22,4,6,643,22,12,0,4,3,7,4,1,3,21,9,2,2,55,8,5,0,209,69
P11.png,Right,8,32,9,32,20,0,63,26,33,26,904,18,23,4,3,14,2,13,9,0,23,11,9,12,94,8,11,2,294,117
P12.png,Right,65,50,18,10,14,12,175,31,0,6,1577,42,44,0,26,19,6,4,6,5,60,10,0,3,144,16,17,0,467,172
P2.png,Left,9,10,30,4,21,7,67,16,3,6,628,22,10,4,3,5,13,2,6,3,19,8,1,3,63,10,4,2,209,79
P3.png,Left,6,51,25,47,36,62,72,17,20,15,1346,26,21,3,3,20,11,17,16,25,23,5,8,7,124,11,9,1,401,156
P4.png,Left,0,17,21,7,8,20,86,0,6,0,414,29,7,0,0,8,8,3,3,8,24,0,2,0,50,10,3,0,201,69
P5.png,Left,16,14,28,19,14,10,39,27,4,21,658,14,12,4,5,5,11,8,7,5,10,9,2,9,67,5,6,2,222,84
P6.png,Left,9,34,37,10,6,12,102,4,7,4,702,32,20,0,4,14,14,5,3,5,31,1,3,2,85,16,7,0,277,105
P7.png,Right,20,49,23,18,0,19,112,53,9,32,883,24,32,0,9,21,6,8,0,7,35,19,3,12,119,10,15,0,391,145
P8.png,Right,0,19,4,26,12,13,199,24,4,17,929,6,4,12,0,8,2,12,6,6,43,10,2,7,82,3,2,6,340,107
P9.png,Right,35,27,6,6,2,18,101,14,13,12,1155,48,28,0,16,10,3,3,1,7,32,7,6,5,95,17,14,0,310,121
