Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,0,38,76,74,402,98,134,0,8,41,5857,0,3,302,0,13,28,28,116,31,30,0,3,15,322,0,1,105,1176,370
IC10.png,Right,4,36,47,60,64,37,55,21,32,6,1196,12,20,25,1,15,10,16,17,9,13,3,10,2,99,4,7,9,419,116
IC11.png,Right,16,26,4,26,36,38,11,0,2,27,748,10,14,16,4,9,2,6,11,10,4,0,1,9,61,3,6,7,226,72
IC12.png,Right,13,75,148,202,404,253,68,22,64,29,5050,29,33,55,6,23,42,49,106,66,24,5,16,9,328,8,10,15,1395,379
IC2.png,Left,0,38,228,82,585,104,80,19,84,149,6384,2,22,259,0,14,79,28,183,35,19,8,29,54,446,1,8,83,1652,541
IC3.png,Left,122,28,175,42,203,46,33,220,108,128,4268,38,78,95,32,8,51,9,41,15,12,58,30,44,309,13,26,25,1316,364
IC4.png,Left,8,0,8,0,28,2,55,27,21,23,865,0,0,15,3,0,3,0,6,1,11,9,7,7,50,0,0,5,187,52
IC5.png,Left,31,6,136,0,114,50,80,46,90,57,2619,37,38,123,11,3,36,0,29,12,23,16,16,16,173,12,12,32,808,218
IC6.png,Left,16,35,239,23,270,36,125,72,41,121,4432,19,39,143,5,15,72,11,94,14,32,21,15,43,323,6,13,51,1179,392
IC7.png,Right,12,34,440,4,47,34,22,3,6,10,3414,9,23,0,5,13,109,2,19,9,9,1,2,4,172,4,7,0,644,184
IC8.png,Right,35,86,232,86,198,130,50,30,43,36,3776,20,21,2,13,26,60,26,51,32,13,7,8,10,221,6,8,1,969,261
IC9.png,Right,10,85,79,171,62,94,103,28,20,18,3065,18,30,63,2,24,19,43,17,24,29,11,9,6,181,6,9,22,781,221
P1.png,Left,0,8,56,17,87,40,41,0,20,7,1500,2,52,70,0,3,19,8,27,13,12,0,7,3,108,1,16,21,400,130
P10.png,Right,0,231,37,175,165,78,49,7,13,50,2118,3,19,49,0,72,13,48,52,28,15,3,4,14,230,1,7,17,876,274
P11.png,Right,10,159,25,232,154,99,286,25,37,50,3485,12,46,193,4,50,9,64,43,33,67,10,12,19,333,5,17,65,1328,398
P12.png,Right,9,545,30,775,60,228,245,102,156,222,9505,35,158,318,4,162,11,219,22,76,69,35,57,77,714,12,47,103,2883,894
P2.png,Left,63,62,296,100,233,111,62,107,48,163,4279,31,46,94,17,19,84,30,71,40,23,35,20,51,345,11,18,32,1416,451
P3.png,Left,3,75,921,90,3014,593,137,62,203,412,15647,9,83,1233,1,27,294,31,851,191,42,19,64,151,1645,3,23,381,6835,2078
P4.png,Left,25,8,75,24,162,30,17,0,14,60,985,0,2,9,7,4,23,8,45,12,7,0,7,20,120,0,1,4,426,138
P5.png,Left,0,14,420,3,617,97,155,52,470,288,4560,22,45,79,0,6,128,1,162,34,38,19,113,101,521,7,16,26,2262,651
P6.png,Left,21,6,87,7,300,15,56,168,90,193,2880,15,35,121,9,3,35,3,102,5,16,48,30,65,286,7,10,36,1114,369
P7.png,Right,7,80,4,221,77,35,42,20,25,23,1884,9,74,82,3,25,2,71,25,14,15,6,8,10,191,4,22,29,699,234
P8.png,Right,4,40,5,263,61,15,56,45,38,69,4154,9,15,252,2,12,2,87,21,7,16,17,13,22,250,4,3,84,872,290
P9.png,Right,2,219,10,479,62,119,102,40,89,99,4144,8,60,192,1,59,4,140,21,43,32,15,32,31,372,3,17,63,1481,461
