Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,8,52,50,30,6,32,74,8,4,10,1585,20,34,8,3,20,18,12,1,12,27,2,2,4,91,8,12,3,336,124
CC10.png,Right,4,24,0,10,2,6,50,40,10,16,704,2,12,10,1,10,0,4,1,3,18,16,5,6,57,1,4,5,186,74
CC11.png,Right,13,26,8,18,20,16,102,44,20,30,2196,26,30,8,5,11,4,8,6,6,32,17,9,14,112,9,12,3,361,136
CC12.png,Right,22,28,12,8,10,6,38,10,0,16,1132,12,12,8,11,12,6,4,5,3,16,3,0,7,65,5,5,4,182,81
CC2.png,Left,26,116,62,69,36,40,104,28,0,18,4343,16,22,2,11,41,26,27,15,14,28,8,0,6,159,7,7,1,539,191
CC3.png,Left,10,88,34,46,22,8,107,14,7,8,3048,18,12,8,5,33,11,18,9,4,38,4,3,3,123,7,5,4,382,144
CC4.png,Left,15,40,28,4,10,12,82,12,10,6,1781,18,22,10,8,16,14,2,4,5,32,6,5,3,94,7,10,3,269,115
CC5.png,Left,6,18,12,24,2,17,54,2,0,0,880,2,6,0,2,9,6,9,1,5,21,1,0,0,47,1,2,0,143,57
CC6.png,Left,2,44,46,19,22,20,92,26,8,10,1156,10,12,4,1,16,17,10,8,6,25,7,3,4,85,4,6,2,315,109
CC7.png,Right,0,14,6,8,2,7,32,36,30,14,1829,2,4,4,0,4,2,2,1,4,11,13,11,7,53,1,2,2,159,60
CC8.png,Right,8,74,18,48,32,22,116,62,58,32,3161,8,24,8,3,23,7,19,10,10,32,23,22,13,150,4,12,4,510,182
CC9.png,Right,10,36,2,10,0,0,92,48,32,30,1576,12,16,2,5,13,1,5,0,0,29,17,12,9,83,6,7,1,290,105
P1.png,Left,0,42,10,42,2,8,12,4,16,4,1759,0,8,4,0,19,5,16,1,4,5,2,8,2,58,0,3,2,152,67
P10.png,Right,6,70,14,58,10,22,98,70,54,24,2427,14,16,22,3,24,6,23,4,10,37,23,25,11,155,5,7,9,478,187
P11.png,Right,4,12,4,18,0,2,86,44,34,24,1781,16,12,2,2,5,2,4,0,1,24,14,13,12,72,6,5,1,258,89
P12.png,Right,0,48,16,16,4,12,74,42,26,19,2503,0,10,0,0,18,7,6,2,5,17,17,9,6,71,0,5,0,267,92
P2.png,Left,76,24,32,14,10,10,164,84,14,16,3265,73,46,0,24,8,14,6,4,5,56,27,6,5,167,25,19,0,563,199
P3.png,Left,86,82,244,106,70,57,319,142,38,104,5262,36,102,29,26,34,68,35,31,24,80,38,15,35,347,12,38,12,1415,448
P4.png,Left,14,78,115,10,10,48,154,28,8,20,1528,14,38,2,6,29,30,4,5,17,46,7,2,6,143,6,16,1,539,175
P5.png,Left,16,89,147,22,96,74,42,30,16,34,1428,4,10,10,7,26,41,11,29,26,17,9,7,14,153,2,4,5,590,198
P6.png,Left,80,84,261,42,54,49,179,144,30,74,3588,34,60,4,26,24,77,11,16,21,58,45,13,31,301,15,25,2,1095,364
P7.png,Right,4,32,20,48,16,10,40,77,65,40,1994,2,18,8,2,12,5,18,4,5,14,30,22,17,114,1,7,3,380,140
P8.png,Right,26,72,14,45,22,20,134,90,40,50,2429,28,34,6,12,28,6,20,9,7,57,32,17,20,192,11,13,3,581,235
P9.png,Right,48,59,32,44,26,42,62,64,42,32,4171,4,12,26,17,23,13,15,10,13,27,21,14,13,156,1,6,11,493,184
