Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,0,14,0,12,4,6,6,0,0,0,614,0,0,0,0,7,0,5,2,3,3,0,0,0,17,0,0,0,42,20
CC10.png,Right,0,0,0,0,0,0,6,0,0,0,435,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,6,2
CC11.png,Right,0,0,0,0,0,0,0,0,4,0,752,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,4,2
CC12.png,Right,0,0,0,0,0,0,0,2,0,0,518,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,1
CC2.png,Left,3,32,22,18,18,14,41,2,2,2,1181,6,6,26,1,16,11,9,9,7,16,1,1,1,72,3,3,11,192,89
CC3.png,Left,2,20,20,18,10,14,51,2,0,2,1034,0,4,4,1,9,10,8,5,7,19,1,0,1,54,0,2,2,147,65
CC4.png,Left,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CC5.png,Left,0,4,2,6,0,4,9,0,0,0,655,2,2,0,0,2,1,2,0,2,4,0,0,0,11,1,1,0,29,13
CC6.png,Left,0,4,0,0,0,2,6,0,0,0,666,0,0,0,0,2,0,0,0,1,3,0,0,0,7,0,0,0,12,6
CC7.png,Right,0,8,12,10,12,2,12,10,26,16,949,0,2,8,0,4,5,4,6,1,5,4,12,7,40,0,1,4,118,53
CC8.png,Right,2,2,2,2,0,0,4,2,2,2,888,0,0,0,1,1,1,1,0,0,2,1,1,1,10,0,0,0,18,9
CC9.png,Right,0,6,0,0,0,0,6,14,10,4,790,0,4,4,0,2,0,0,0,0,3,6,4,2,19,0,2,2,48,21
P1.png,Left,0,4,4,9,4,2,17,0,0,0,528,6,0,4,0,1,2,4,2,1,8,0,0,0,18,2,0,2,50,22
P10.png,Right,0,0,0,6,0,2,36,26,8,4,545,0,4,2,0,0,0,3,0,1,17,12,4,2,38,0,2,1,88,42
P11.png,Right,0,18,2,10,0,2,22,12,12,2,587,8,12,2,0,9,1,5,0,1,8,5,4,1,36,3,6,1,102,44
P12.png,Right,2,14,4,6,2,8,26,12,12,14,779,4,4,0,1,6,2,3,1,4,10,6,6,7,42,2,2,0,108,50
P2.png,Left,2,28,12,24,2,12,34,0,2,2,1634,10,2,4,1,12,5,12,1,5,14,0,1,1,49,4,1,2,134,59
P3.png,Left,2,12,4,19,0,6,22,2,0,2,708,6,0,4,1,6,1,6,0,3,9,1,0,1,29,3,0,1,79,32
P4.png,Left,0,16,6,14,4,6,10,0,8,0,338,0,2,0,0,5,3,6,2,2,5,0,1,0,19,0,1,0,66,25
P5.png,Left,0,16,0,28,2,8,13,0,0,0,951,0,4,0,0,8,0,12,1,3,6,0,0,0,28,0,2,0,71,32
P6.png,Left,0,16,14,14,6,8,31,0,10,4,854,2,4,2,0,8,6,7,3,4,13,0,5,2,38,1,2,1,111,52
P7.png,Right,0,0,0,2,0,0,16,16,8,2,944,6,2,0,0,0,0,1,0,0,8,8,4,1,21,3,1,0,52,26
P8.png,Right,2,6,0,4,0,0,36,18,26,18,1074,8,4,0,1,3,0,2,0,0,14,9,12,8,44,4,2,0,122,55
P9.png,Right,4,14,0,8,0,2,29,12,18,4,780,4,0,0,2,7,0,3,0,1,13,5,6,2,32,2,0,0,95,41
