Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,6,7,38,7,13,16,14,18,12,8,580,4,11,0,3,3,12,3,6,6,6,8,4,2,50,2,5,0,154,60
IC10.png,Right,0,0,3,0,10,0,0,0,0,0,312,0,0,0,0,0,1,0,4,0,0,0,0,0,5,0,0,0,13,5
IC11.png,Right,0,0,2,7,2,0,0,0,0,0,533,0,0,0,0,0,1,3,1,0,0,0,0,0,6,0,0,0,11,5
IC12.png,Right,31,5,22,2,8,8,28,0,0,0,689,10,17,0,13,2,11,1,4,4,13,0,0,0,51,5,8,0,131,61
IC2.png,Left,15,6,7,8,3,0,63,3,0,6,1098,8,6,8,6,3,3,3,1,0,27,1,0,2,52,4,3,4,133,57
IC3.png,Left,2,0,5,0,2,0,0,0,8,0,1117,0,2,2,1,0,2,0,1,0,0,0,3,0,10,0,1,1,21,9
IC4.png,Left,16,2,4,0,0,0,13,2,2,2,419,2,6,0,7,1,2,0,0,0,6,1,1,1,21,1,3,0,49,23
IC5.png,Left,4,0,2,0,0,0,20,0,0,2,544,10,5,2,2,0,1,0,0,0,6,0,0,1,14,3,2,1,45,16
IC6.png,Left,14,2,10,0,3,0,26,8,8,2,465,6,8,0,6,1,5,0,1,0,11,4,4,1,36,3,4,0,87,40
IC7.png,Right,0,0,0,0,2,0,0,0,0,0,391,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,1
IC8.png,Right,18,10,14,4,6,2,4,16,5,2,967,8,8,0,9,4,6,2,3,1,2,7,2,1,36,4,4,0,97,45
IC9.png,Right,0,0,10,0,12,0,4,0,0,0,602,0,0,2,0,0,4,0,5,0,1,0,0,0,11,0,0,1,28,11
P1.png,Left,0,0,0,0,2,0,0,0,0,0,701,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,1
P10.png,Right,2,0,3,2,2,0,6,0,2,0,682,2,2,6,1,0,1,1,1,0,3,0,1,0,12,1,1,3,27,13
P11.png,Right,6,38,8,27,10,32,75,30,14,25,893,17,11,14,3,19,4,13,4,15,26,13,7,12,99,8,4,6,307,134
P12.png,Right,2,34,12,18,13,8,62,12,4,4,1214,6,10,6,1,17,5,9,6,4,29,6,2,2,67,2,4,3,191,90
P2.png,Left,0,0,0,0,2,0,0,0,0,0,1138,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,1,4,2
P3.png,Left,28,2,10,0,0,0,12,18,8,12,1515,12,12,0,12,1,4,0,0,0,4,8,3,6,39,4,6,0,114,48
P4.png,Left,6,14,2,0,0,4,58,2,0,0,617,9,14,0,3,6,1,0,0,2,26,1,0,0,41,4,7,0,109,50
P5.png,Left,11,2,0,0,3,0,33,5,2,0,447,14,6,0,5,1,0,0,1,0,14,2,1,0,30,7,3,0,76,34
P6.png,Left,22,18,33,6,11,6,65,26,10,6,1521,26,20,8,9,8,13,3,5,3,26,13,5,3,95,13,10,4,257,115
P7.png,Right,8,22,9,16,9,10,18,8,6,4,448,0,12,10,4,11,4,7,3,5,7,4,3,2,50,0,6,4,132,60
P8.png,Right,23,2,13,0,4,2,7,0,0,0,517,4,6,0,9,1,6,0,2,1,3,0,0,0,26,2,3,0,61,27
P9.png,Right,20,10,8,8,0,0,102,23,3,11,758,12,27,0,6,5,4,4,0,0,36,7,1,5,68,6,12,0,224,86
