Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,12,8,19,0,0,0,16,8,2,2,393,2,12,0,6,3,6,0,0,0,7,4,1,1,30,1,6,0,81,35
IC10.png,Right,19,2,2,0,0,0,32,0,0,0,203,6,10,0,8,1,1,0,0,0,10,0,0,0,24,3,5,0,71,28
IC11.png,Right,17,0,4,0,0,0,98,0,0,0,388,4,8,0,7,0,2,0,0,0,34,0,0,0,45,2,4,0,131,49
IC12.png,Right,35,28,23,0,0,12,55,2,0,2,636,2,16,0,15,11,11,0,0,5,18,1,0,1,61,1,8,0,175,71
IC2.png,Left,90,12,32,8,2,4,125,16,2,4,1089,26,26,0,34,6,15,4,1,2,47,7,1,2,119,11,12,0,347,142
IC3.png,Left,47,8,16,0,4,0,48,8,2,4,595,14,8,0,17,3,5,0,2,0,17,4,1,2,53,6,4,0,159,61
IC4.png,Left,14,12,4,0,0,0,70,12,0,0,394,0,7,0,7,4,2,0,0,0,20,4,0,0,37,0,3,0,119,40
IC5.png,Left,70,18,12,0,2,4,36,7,0,0,563,8,18,0,26,6,6,0,1,2,12,3,0,0,60,4,6,0,175,66
IC6.png,Left,62,6,14,0,0,0,60,4,2,0,712,15,12,0,23,3,7,0,0,0,22,2,1,0,64,6,5,0,175,69
IC7.png,Right,48,16,0,0,0,0,18,8,0,0,321,8,18,0,15,6,0,0,0,0,9,3,0,0,34,4,8,0,116,45
IC8.png,Right,27,20,6,0,0,8,50,0,0,0,444,4,6,0,10,8,3,0,0,3,16,0,0,0,42,2,3,0,121,45
IC9.png,Right,36,32,34,3,0,13,102,6,0,4,823,12,37,0,15,16,12,1,0,5,31,3,0,2,89,5,16,0,279,106
P1.png,Left,8,0,2,0,0,0,34,2,0,0,238,2,2,0,4,0,1,0,0,0,14,1,0,0,22,1,1,0,50,22
P10.png,Right,22,2,0,0,0,0,36,0,0,0,298,13,3,0,10,1,0,0,0,0,12,0,0,0,30,5,1,0,76,29
P11.png,Right,67,0,4,0,0,0,60,2,0,0,446,12,2,0,24,0,2,0,0,0,19,1,0,0,48,6,1,0,147,53
P12.png,Right,58,10,12,0,0,4,105,2,0,0,703,19,15,0,24,5,6,0,0,2,34,1,0,0,78,7,7,0,225,86
P2.png,Left,46,2,0,0,0,0,26,4,0,0,441,18,7,0,19,1,0,0,0,0,12,2,0,0,40,8,3,0,103,45
P3.png,Left,35,0,2,0,0,0,27,4,0,0,490,4,11,0,15,0,1,0,0,0,10,2,0,0,33,2,5,0,83,35
P4.png,Left,76,0,2,0,0,0,18,0,0,0,398,12,2,0,31,0,1,0,0,0,8,0,0,0,39,6,1,0,110,47
P5.png,Left,102,0,11,0,0,2,48,8,0,4,759,27,22,0,43,0,5,0,0,1,17,4,0,2,89,12,10,0,224,94
P6.png,Left,54,0,8,0,0,0,90,6,0,0,581,20,17,0,19,0,4,0,0,0,30,3,0,0,58,7,7,0,195,70
P7.png,Right,38,4,16,0,0,0,171,2,0,0,764,30,31,0,16,2,8,0,0,0,56,1,0,0,92,13,14,0,292,110
P8.png,Right,29,0,2,0,0,0,52,2,0,0,345,10,4,0,10,0,1,0,0,0,15,1,0,0,31,5,2,0,99,34
P9.png,Right,53,8,2,0,0,0,124,20,0,0,724,21,14,0,22,4,1,0,0,0,43,9,0,0,83,10,7,0,242,96
