Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,4,6,1,1,2,2,16,5,6,8,571,5,7,2,4,6,1,1,2,2,15,5,6,8,52,4,6,2,65,62
CC10.png,Right,16,7,0,0,0,0,18,2,0,0,345,5,7,0,15,3,0,0,0,0,16,2,0,0,41,5,5,0,55,46
CC11.png,Right,28,7,1,0,2,1,33,2,0,1,596,17,9,0,22,7,1,0,2,1,22,2,0,1,71,16,8,0,101,82
CC12.png,Right,4,4,8,4,7,4,25,6,0,2,731,1,7,1,4,3,7,4,6,4,17,6,0,2,53,1,6,1,73,61
CC2.png,Left,18,2,14,3,3,2,16,8,1,8,691,19,8,1,15,2,12,2,3,2,15,6,1,7,76,16,7,1,103,89
CC3.png,Left,11,3,5,0,5,0,21,8,2,1,595,10,8,2,11,3,5,0,5,0,18,7,2,1,52,9,6,1,76,68
CC4.png,Left,8,4,4,4,10,4,4,4,2,1,339,4,4,3,7,3,4,4,7,3,4,4,2,1,42,4,4,2,56,49
CC5.png,Left,23,9,12,1,1,4,78,3,0,0,1663,23,28,0,22,7,8,1,1,3,61,3,0,0,122,22,25,0,182,153
CC6.png,Left,20,7,10,2,5,5,27,27,9,7,980,16,12,1,17,7,9,2,5,5,22,23,8,7,111,15,12,1,148,133
CC7.png,Right,22,11,1,1,1,2,9,10,0,3,441,10,11,0,19,7,1,1,1,1,8,4,0,1,50,8,11,0,81,62
CC8.png,Right,17,4,1,0,1,3,18,3,0,2,313,7,7,0,15,4,1,0,1,3,13,3,0,2,49,6,6,0,63,54
CC9.png,Right,22,11,6,2,2,1,37,4,3,3,1112,14,14,0,19,9,5,2,2,1,26,3,3,3,81,12,13,0,119,98
P1.png,Left,14,9,15,4,3,6,36,1,1,4,439,7,13,0,11,8,12,4,2,5,28,1,1,4,78,7,12,0,113,95
P10.png,Right,4,42,25,6,11,10,27,6,0,8,397,5,10,0,3,28,20,6,9,10,20,5,0,8,99,5,9,0,154,123
P11.png,Right,11,30,23,4,9,17,75,13,2,8,1373,16,16,0,10,23,20,4,8,15,43,13,2,7,142,13,13,0,224,171
P12.png,Right,18,11,16,4,6,4,59,16,2,7,1304,7,7,0,14,11,11,3,6,4,47,14,2,6,113,7,7,0,157,132
P2.png,Left,41,26,19,12,6,10,179,5,4,6,2005,60,38,3,36,22,19,12,5,10,116,5,3,5,264,51,33,2,409,319
P3.png,Left,7,37,12,12,9,15,30,2,1,2,506,6,4,1,5,26,9,12,9,13,25,1,1,2,85,6,4,1,138,114
P4.png,Left,9,10,7,2,3,4,44,1,0,1,270,8,5,0,6,9,5,2,3,4,30,1,0,1,61,8,5,0,94,74
P5.png,Left,7,12,13,4,2,7,23,7,2,4,743,11,4,0,7,10,13,4,2,5,20,7,2,4,72,11,4,0,96,89
P6.png,Left,4,18,7,1,6,3,56,10,3,3,707,4,2,1,3,15,7,1,4,2,39,10,3,3,81,4,2,1,118,94
P7.png,Right,9,11,7,0,2,1,70,6,0,1,419,18,14,0,8,10,7,0,2,1,33,5,0,1,76,16,13,0,139,96
P8.png,Right,8,34,5,12,1,14,69,47,51,20,1432,21,20,5,8,33,5,12,1,11,54,36,39,19,209,17,19,4,307,258
P9.png,Right,11,36,22,18,53,21,58,9,1,15,772,12,22,1,11,28,20,13,41,21,45,8,1,12,178,12,20,1,279,233
