Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,23,10,21,0,16,18,62,26,40,16,1561,16,15,8,11,4,6,0,7,9,26,10,13,6,89,8,7,3,271,110
CC10.png,Right,8,10,24,16,16,10,46,4,0,4,1221,4,10,6,4,3,11,7,7,5,17,1,0,2,62,2,5,2,158,66
CC11.png,Right,38,53,64,22,22,28,64,25,14,8,1985,12,32,2,15,21,24,10,9,12,23,6,6,4,127,6,14,1,384,151
CC12.png,Right,32,38,28,16,19,36,26,8,2,12,1290,4,2,2,13,13,10,5,8,13,8,3,1,5,73,2,1,1,225,83
CC2.png,Left,35,62,78,34,20,42,118,75,20,41,4469,38,44,16,15,26,30,15,10,18,45,30,10,20,221,17,17,8,623,261
CC3.png,Left,37,12,16,6,12,10,46,34,10,10,1702,35,28,0,15,6,8,3,6,3,18,13,3,4,79,16,14,0,256,109
CC4.png,Left,4,8,18,0,8,0,14,26,28,16,1569,2,8,2,2,4,6,0,4,0,6,11,10,6,44,1,4,1,134,55
CC5.png,Left,20,14,38,6,2,14,60,52,14,14,1396,22,10,0,10,6,16,3,1,7,23,22,6,6,99,11,4,0,266,115
CC6.png,Left,27,8,29,14,28,17,34,54,28,22,2642,2,8,17,11,4,13,4,10,6,11,22,12,9,97,1,4,6,288,113
CC7.png,Right,19,38,46,40,38,16,100,34,16,14,2019,24,27,6,8,16,18,15,16,8,41,14,7,7,139,10,12,2,418,174
CC8.png,Right,42,77,34,42,42,38,132,40,41,38,2479,12,20,16,15,29,13,17,18,16,53,19,15,15,188,6,10,5,574,231
CC9.png,Right,78,40,40,18,12,14,89,32,4,8,2837,22,16,0,31,17,17,7,6,6,24,12,1,4,129,9,8,0,373,142
P1.png,Left,46,6,28,8,16,0,83,28,40,10,1583,19,33,6,19,3,11,3,8,0,35,12,18,5,119,8,16,3,323,141
P10.png,Right,22,8,12,6,10,10,24,6,0,4,1215,20,18,8,10,4,4,3,3,4,9,3,0,2,47,6,8,4,148,60
P11.png,Right,58,48,30,44,20,24,93,22,10,40,1848,42,24,16,25,19,12,19,8,8,37,9,3,13,144,16,11,7,471,187
P12.png,Right,45,22,22,92,64,32,170,34,32,22,2188,51,24,36,18,8,7,34,24,12,49,12,11,10,182,19,9,15,646,228
P2.png,Left,28,60,68,45,59,26,137,64,40,24,2521,28,30,18,13,27,28,20,21,11,51,22,15,11,203,10,13,6,627,248
P3.png,Left,47,4,60,4,12,6,53,54,24,10,1767,26,30,0,16,1,17,2,5,2,20,19,8,5,89,11,10,0,330,116
P4.png,Left,20,12,41,2,12,6,26,28,6,10,882,6,10,2,10,6,12,1,6,2,10,12,3,4,69,3,4,1,181,74
P5.png,Left,27,8,61,16,14,8,93,45,16,23,1813,40,60,0,11,4,19,3,5,3,29,15,4,11,103,16,20,0,411,140
P6.png,Left,84,16,89,4,58,6,125,70,49,58,2383,64,61,7,29,5,28,1,16,3,36,27,17,23,196,27,24,2,691,238
P7.png,Right,65,133,84,54,56,57,99,56,24,39,2812,28,38,18,23,53,32,20,20,21,33,20,9,16,231,10,17,5,751,279
P8.png,Right,79,53,49,26,48,28,196,24,20,12,4200,73,66,0,30,25,20,8,18,12,64,11,6,5,206,27,32,0,674,258
P9.png,Right,35,97,78,22,58,47,62,10,0,4,2070,30,33,6,15,27,26,9,23,19,19,5,0,2,144,13,13,2,482,173
