Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,4,19,18,25,21,19,36,0,6,6,601,2,10,6,2,7,9,7,9,6,12,0,3,3,52,1,4,3,172,66
CC10.png,Right,0,23,6,9,15,6,22,4,0,4,293,16,12,5,0,7,2,3,3,3,6,2,0,2,33,4,4,3,122,39
CC11.png,Right,2,15,17,16,6,14,19,2,11,19,513,2,6,4,1,7,6,8,3,5,6,1,4,8,46,1,2,2,133,54
CC12.png,Right,8,13,7,7,4,2,11,5,15,9,515,2,6,0,2,6,4,2,2,1,3,2,5,4,25,1,2,0,89,34
CC2.png,Left,18,2,17,8,14,0,27,4,8,16,441,3,10,0,8,1,7,3,6,0,9,2,3,6,35,1,5,0,127,51
CC3.png,Left,2,16,20,16,27,14,56,10,0,16,939,17,17,4,1,8,10,6,11,6,22,5,0,6,69,6,7,2,215,90
CC4.png,Left,0,17,8,10,19,7,20,0,6,0,493,0,0,4,0,7,4,5,7,3,7,0,2,0,32,0,0,2,91,37
CC5.png,Left,7,18,4,10,12,4,27,6,4,11,584,6,17,12,3,8,2,5,5,2,11,3,2,4,47,3,8,6,138,62
CC6.png,Left,14,8,2,4,5,8,31,0,0,2,762,4,8,10,5,4,1,1,2,4,10,0,0,1,30,2,3,4,96,37
CC7.png,Right,13,2,0,0,0,0,4,0,0,2,309,3,5,0,6,1,0,0,0,0,2,0,0,1,11,1,2,0,29,13
CC8.png,Right,0,28,4,15,6,12,37,4,11,10,393,0,11,6,0,13,2,5,3,6,14,2,5,4,49,0,5,3,144,62
CC9.png,Right,6,16,13,17,6,12,53,19,6,11,1735,0,4,2,3,8,4,6,3,6,18,8,3,5,54,0,2,1,165,67
P1.png,Left,0,32,15,22,4,9,24,0,0,2,443,0,0,0,0,11,5,10,2,4,9,0,0,1,36,0,0,0,108,42
P10.png,Right,6,19,8,7,2,16,31,24,12,19,400,4,6,0,2,7,3,3,1,5,11,6,5,6,40,2,2,0,154,53
P11.png,Right,0,23,0,10,0,6,32,20,11,18,393,0,6,0,0,10,0,4,0,3,9,8,4,7,33,0,3,0,126,48
P12.png,Right,3,45,2,36,8,6,38,34,22,35,1092,6,14,14,1,21,1,15,4,3,16,13,9,14,82,3,6,4,263,110
P2.png,Left,0,6,16,19,36,6,27,8,2,11,346,3,0,2,0,3,7,7,11,3,7,3,1,4,31,1,0,1,136,48
P3.png,Left,4,43,44,41,28,24,24,6,6,12,857,2,12,14,2,16,18,15,13,11,10,2,2,6,76,1,5,5,260,106
P4.png,Left,0,6,21,2,6,10,41,0,2,0,295,0,6,6,0,2,10,1,3,4,10,0,1,0,28,0,2,2,100,35
P5.png,Left,10,8,22,7,19,8,27,6,15,9,563,8,11,4,3,4,9,2,7,4,13,3,7,4,45,3,4,2,154,65
P6.png,Left,8,10,40,4,27,22,26,22,14,19,499,0,22,4,4,5,12,2,11,7,10,6,6,7,56,0,10,1,218,81
P7.png,Right,0,30,2,15,10,8,12,15,11,12,387,0,2,4,0,13,1,5,4,4,5,5,5,5,37,0,1,1,121,49
P8.png,Right,5,32,8,18,2,18,21,26,10,27,368,0,5,0,1,13,3,9,1,6,6,10,4,11,41,0,1,0,172,65
P9.png,Right,0,16,2,19,0,8,32,17,11,16,374,0,2,0,0,5,1,7,0,3,11,8,4,7,36,0,1,0,123,47
