Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,2,0,2,0,0,0,0,12,4,4,1089,0,0,0,1,0,1,0,0,0,0,6,2,2,12,0,0,0,24,12
CC10.png,Right,19,34,76,27,40,34,26,23,18,24,1373,2,4,6,9,17,35,13,19,17,10,10,8,10,124,1,2,3,333,154
CC11.png,Right,6,10,63,4,22,18,10,2,0,0,1468,0,2,2,3,4,28,2,8,8,4,1,0,0,59,0,1,1,139,60
CC12.png,Right,5,0,10,0,8,4,0,0,0,0,831,0,0,0,2,0,4,0,3,2,0,0,0,0,12,0,0,0,27,11
CC2.png,Left,56,8,40,6,16,4,36,128,22,29,4523,16,19,0,26,4,17,3,8,2,16,53,11,12,152,8,9,0,380,169
CC3.png,Left,25,16,51,21,45,15,14,96,61,36,1233,0,6,4,10,8,16,8,20,7,7,36,25,17,135,0,3,2,390,159
CC4.png,Left,21,20,46,2,16,12,6,78,28,50,1106,0,6,8,8,9,20,1,8,6,3,31,14,19,104,0,3,4,293,126
CC5.png,Left,10,0,18,2,10,5,4,32,13,17,781,0,0,2,5,0,9,1,4,2,2,14,6,7,41,0,0,1,113,51
CC6.png,Left,8,5,2,2,6,11,2,32,20,10,1852,0,2,0,4,2,1,1,3,5,1,14,6,4,40,0,1,0,100,42
CC7.png,Right,0,8,28,0,4,2,2,2,2,0,595,0,2,0,0,3,13,0,2,1,1,1,1,0,21,0,1,0,50,23
CC8.png,Right,36,173,257,83,126,146,23,24,26,64,3658,12,25,16,14,72,104,35,56,62,10,10,11,28,342,6,10,8,1011,426
CC9.png,Right,12,26,54,22,22,37,23,6,12,8,1945,0,6,10,6,12,22,11,10,18,11,3,6,4,93,0,3,3,238,109
P1.png,Left,4,25,51,45,56,20,37,36,32,24,1222,10,10,11,2,11,22,20,26,10,16,16,13,12,126,4,5,5,361,162
P10.png,Right,0,53,67,54,100,82,29,14,21,22,1699,12,12,4,0,23,28,23,45,35,10,6,9,9,159,5,6,2,470,201
P11.png,Right,24,149,71,218,28,116,54,53,120,67,2934,21,39,81,10,65,33,96,14,54,23,24,49,31,362,8,17,37,1041,461
P12.png,Right,2,68,34,71,10,38,46,24,26,29,1314,8,19,6,1,30,16,30,5,18,19,12,11,13,133,4,8,3,381,170
P2.png,Left,10,12,106,27,167,43,22,114,180,107,1992,2,9,89,5,6,43,12,67,19,8,50,61,45,268,1,4,35,888,356
P3.png,Left,25,47,149,63,161,86,65,145,137,147,3183,8,23,37,11,20,68,29,73,40,23,68,59,63,365,3,11,15,1093,483
P4.png,Left,0,10,41,21,22,32,8,16,14,26,511,2,7,4,0,5,16,10,10,15,3,7,7,12,62,1,3,1,203,90
P5.png,Left,0,39,43,8,41,37,36,13,20,48,727,0,0,4,0,16,19,4,18,15,10,6,10,22,96,0,0,2,289,122
P6.png,Left,27,28,116,26,185,48,9,111,64,93,2152,4,15,37,12,13,51,13,68,22,3,46,27,41,254,2,6,16,763,320
P7.png,Right,12,29,84,32,53,65,23,2,8,23,1040,6,9,2,6,13,35,13,22,28,8,1,4,11,121,2,4,1,348,148
P8.png,Right,14,101,141,89,98,87,37,50,38,60,3244,2,10,31,6,44,57,38,40,40,15,21,18,27,264,1,4,13,758,324
P9.png,Right,8,143,146,116,72,115,11,33,6,36,1624,12,18,0,4,57,59,45,32,50,5,14,3,17,213,3,6,0,716,295
