Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,2,20,38,6,18,26,36,26,12,20,562,0,8,8,1,10,18,3,9,13,15,13,6,10,82,0,3,4,220,105
CC10.png,Right,2,33,16,38,10,16,53,18,20,8,607,4,10,13,1,14,7,18,4,7,22,9,10,4,85,2,5,6,241,109
CC11.png,Right,0,26,8,16,16,14,13,8,30,6,338,0,2,4,0,11,4,7,8,7,6,4,14,3,54,0,1,2,143,67
CC12.png,Right,4,40,24,42,46,21,20,24,12,28,874,2,8,22,1,18,12,21,22,10,8,11,6,14,94,1,4,10,293,138
CC2.png,Left,6,20,46,42,68,20,50,18,28,24,799,0,22,22,3,9,22,21,28,10,17,8,14,12,117,0,11,11,366,166
CC3.png,Left,0,20,34,14,8,12,43,12,6,18,370,2,14,4,0,8,13,6,4,6,20,6,3,9,61,1,6,2,187,84
CC4.png,Left,0,10,47,22,56,30,18,32,40,34,763,2,8,14,0,5,22,10,25,15,6,15,19,16,99,1,4,6,313,144
CC5.png,Left,0,13,17,0,14,2,29,6,2,8,264,0,12,2,0,4,8,0,7,1,9,3,1,4,32,0,6,1,105,44
CC6.png,Left,0,6,42,17,24,28,31,12,18,20,455,0,0,0,0,3,21,8,12,14,13,5,9,9,67,0,0,0,198,94
CC7.png,Right,2,18,14,12,4,14,58,17,14,4,384,0,10,2,1,8,7,5,2,7,20,7,5,2,56,0,5,1,169,70
CC8.png,Right,4,30,44,70,32,47,30,22,44,36,1076,2,4,16,2,15,22,32,14,22,13,11,21,17,144,1,2,7,381,179
CC9.png,Right,2,18,20,22,12,26,58,24,22,22,583,4,14,8,1,7,10,11,6,12,22,10,11,10,82,2,7,4,252,113
P1.png,Left,8,24,18,20,24,22,52,18,6,18,649,6,12,0,2,12,9,10,10,10,20,9,3,8,79,3,6,0,228,102
P10.png,Right,0,26,10,24,0,20,37,24,12,20,496,0,8,8,0,13,5,9,0,9,17,11,6,10,73,0,4,4,189,88
P11.png,Right,2,26,12,10,16,6,56,24,18,16,464,0,8,4,1,11,6,5,7,3,19,9,8,8,64,0,4,2,198,83
P12.png,Right,6,74,28,74,12,30,93,69,43,64,1117,6,8,16,2,32,13,31,6,15,25,31,20,29,159,2,4,7,523,217
P2.png,Left,0,40,44,30,28,26,52,42,18,14,706,0,3,8,0,17,19,15,14,12,22,20,9,6,103,0,1,4,305,139
P3.png,Left,6,35,41,24,62,28,33,38,22,36,1011,4,10,12,3,16,18,12,25,14,15,19,11,14,129,2,5,6,351,160
P4.png,Left,0,12,10,4,4,10,31,0,6,0,313,0,6,0,0,6,5,2,1,5,14,0,3,0,32,0,3,0,83,39
P5.png,Left,4,37,20,20,36,26,52,24,12,20,813,3,12,2,2,17,9,10,18,13,21,12,6,10,95,1,6,1,268,126
P6.png,Left,2,24,38,24,28,22,25,10,8,20,588,2,8,2,1,12,16,10,13,11,10,5,4,9,75,1,4,1,213,97
P7.png,Right,4,80,42,90,50,62,29,27,16,53,1135,0,10,20,2,38,20,43,19,30,12,12,8,26,165,0,4,10,483,224
P8.png,Right,0,4,2,6,4,8,34,26,12,12,401,6,7,2,0,2,1,3,2,4,13,12,6,6,45,3,3,1,123,56
P9.png,Right,0,30,12,20,6,12,64,40,15,32,529,0,8,4,0,14,5,9,3,6,22,19,7,14,80,0,4,2,243,105
