Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,79,388,370,73,117,258,707,33,3,39,5813,91,137,0,21,71,72,16,25,54,127,7,1,8,367,23,28,0,2295,453
CC10.png,Right,16,27,26,14,2,11,85,51,35,40,842,19,30,0,5,7,7,3,1,3,16,10,5,8,62,5,8,0,356,78
CC11.png,Right,36,136,104,20,3,42,529,116,7,32,3787,33,94,0,6,30,20,3,1,8,91,27,1,9,189,8,23,0,1152,227
CC12.png,Right,55,336,105,76,5,93,852,405,91,222,7004,101,258,7,13,74,28,22,1,19,152,88,14,46,432,25,67,3,2606,552
CC2.png,Left,64,208,221,18,53,75,507,41,14,32,3525,78,125,0,17,30,42,4,12,15,93,8,3,9,224,19,29,0,1436,281
CC3.png,Left,36,163,111,13,6,26,483,105,6,15,3266,40,133,0,11,31,21,4,2,7,72,21,2,4,182,10,28,0,1137,213
CC4.png,Left,63,40,75,8,80,61,123,70,9,47,1357,30,45,15,14,9,19,2,16,12,17,12,3,11,108,6,10,4,666,135
CC5.png,Left,36,83,450,0,7,21,303,17,5,35,2678,75,173,0,8,16,49,0,2,6,49,6,2,5,167,11,36,0,1205,190
CC6.png,Left,14,38,225,3,71,47,171,94,3,159,1717,23,83,3,3,7,30,1,11,8,31,19,1,19,129,6,15,1,934,152
CC7.png,Right,53,59,17,6,6,14,168,62,11,22,968,28,44,0,9,15,4,2,1,4,30,13,2,8,77,7,11,0,490,106
CC8.png,Right,9,147,52,123,43,74,147,80,37,33,2036,14,42,0,3,27,11,23,10,17,24,16,6,9,116,4,9,0,801,159
CC9.png,Right,37,423,20,48,8,53,753,313,85,267,5688,47,171,0,11,73,5,12,2,11,138,59,16,44,336,13,42,0,2225,426
P1.png,Left,56,71,84,10,6,19,626,36,3,21,2174,59,202,0,11,17,19,2,2,6,94,11,1,4,176,16,44,0,1193,227
P10.png,Right,24,45,106,0,9,32,198,57,9,10,1322,55,44,0,5,9,13,0,2,4,27,11,2,3,77,11,9,0,589,96
P11.png,Right,3,58,46,15,3,17,238,63,8,20,1361,37,36,3,1,14,10,3,1,4,39,14,3,5,91,10,11,1,547,116
P12.png,Right,53,281,51,30,30,30,379,285,138,69,4265,20,91,0,14,49,13,7,4,7,67,40,18,16,223,5,28,0,1457,268
P2.png,Left,46,116,272,21,13,40,469,87,0,33,2872,87,125,0,9,28,50,4,3,9,68,17,0,7,182,16,29,0,1309,240
P3.png,Left,113,289,330,58,128,116,793,138,46,162,5224,170,256,14,19,52,62,11,27,27,104,32,11,29,362,36,53,4,2613,467
P4.png,Left,32,201,114,3,29,48,365,49,0,52,2084,29,88,7,8,37,29,1,8,12,59,10,0,8,164,8,20,3,1017,203
P5.png,Left,39,135,279,14,5,22,542,126,0,39,3461,95,158,3,11,27,58,4,1,5,103,25,0,10,247,20,35,1,1457,300
P6.png,Left,38,232,175,6,16,27,472,55,6,13,3229,44,143,0,12,48,37,1,4,7,74,13,1,4,202,8,36,0,1227,245
P7.png,Right,15,68,14,5,0,8,112,151,3,35,1653,9,47,0,5,19,3,2,0,2,24,32,1,9,85,3,13,0,467,113
P8.png,Right,13,242,58,7,0,36,373,168,34,101,2647,14,123,0,3,53,14,2,0,8,64,28,7,21,181,6,26,0,1169,232
P9.png,Right,18,191,28,85,46,33,560,273,97,31,3869,51,65,43,6,39,7,19,11,10,83,52,18,8,243,15,16,6,1521,290
