Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,4,8,17,18,28,16,28,79,18,16,736,0,6,17,2,2,7,7,10,7,11,22,8,7,73,0,3,8,255,94
CC10.png,Right,0,34,25,63,37,45,10,10,10,11,698,0,10,6,0,13,10,21,18,19,4,4,3,5,81,0,5,3,261,105
CC11.png,Right,13,116,117,68,42,68,33,10,28,29,1250,2,20,15,5,42,38,24,19,28,13,5,9,14,174,1,10,6,561,214
CC12.png,Right,4,91,39,66,63,77,91,20,26,46,1386,2,25,6,2,33,18,26,24,32,28,7,8,20,174,1,11,3,556,213
CC2.png,Left,0,5,132,24,316,77,49,79,119,92,2155,4,14,88,0,2,41,12,110,30,13,30,48,39,304,2,6,36,999,369
CC3.png,Left,16,12,42,14,35,14,25,110,14,38,1350,8,18,6,7,5,19,6,11,7,9,37,6,14,109,4,8,3,352,136
CC4.png,Left,2,4,93,10,67,23,24,21,21,33,744,4,10,6,1,2,33,4,22,10,7,11,9,16,103,1,5,2,318,123
CC5.png,Left,0,4,17,10,68,15,19,58,28,44,834,2,7,16,0,2,7,5,28,6,8,19,12,19,94,1,3,8,288,118
CC6.png,Left,4,4,55,24,156,39,45,12,71,55,1339,0,7,30,2,2,15,9,52,15,16,3,24,23,146,0,3,13,502,177
CC7.png,Right,7,39,12,24,17,29,64,56,16,20,623,0,16,2,3,16,6,9,7,13,22,19,5,9,96,0,8,1,302,118
CC8.png,Right,4,168,127,263,153,153,112,139,54,90,2918,26,40,42,2,60,45,85,56,62,40,45,23,38,419,10,18,17,1371,501
CC9.png,Right,4,115,40,42,23,40,51,69,31,90,1418,7,22,18,2,42,16,18,9,17,23,23,13,28,169,3,10,8,552,212
P1.png,Left,12,0,27,2,16,2,4,85,30,34,927,5,8,5,4,0,11,1,7,1,2,33,14,16,74,2,3,2,230,96
P10.png,Right,9,62,20,106,19,44,16,24,62,65,1162,6,13,18,2,24,10,43,9,18,6,11,27,29,151,3,6,8,464,196
P11.png,Right,10,89,18,91,32,41,58,22,57,43,1251,31,32,26,5,35,6,36,11,19,23,11,20,14,169,13,11,11,550,215
P12.png,Right,14,100,100,158,97,118,61,16,61,64,2279,22,25,45,7,45,45,63,42,51,23,8,26,25,273,11,11,20,881,377
P2.png,Left,18,2,45,33,136,12,82,133,168,106,3768,26,36,69,8,1,21,14,57,6,26,54,72,46,298,13,14,32,866,364
P3.png,Left,50,15,85,39,159,38,48,206,170,122,3291,22,40,57,21,7,36,15,72,19,18,87,70,55,354,9,16,23,1051,448
P4.png,Left,4,0,14,2,55,0,7,77,97,32,998,4,4,39,2,0,6,1,25,0,3,31,36,16,113,2,2,17,335,141
P5.png,Left,2,0,24,2,42,16,19,49,36,32,955,2,14,16,1,0,12,1,20,6,6,20,16,13,93,1,7,8,254,111
P6.png,Left,2,16,109,42,274,55,16,42,95,115,2368,14,21,46,1,8,43,14,102,24,7,19,36,48,261,6,8,20,847,336
P7.png,Right,16,53,40,62,20,50,26,26,30,22,872,5,4,8,6,25,17,24,7,19,10,13,11,10,117,2,2,4,362,150
P8.png,Right,9,56,90,78,75,61,24,2,12,16,1265,20,24,22,4,25,40,35,29,29,9,1,6,8,172,8,12,11,489,217
P9.png,Right,4,185,76,307,152,200,81,42,222,176,4162,15,12,102,2,78,34,126,67,85,30,19,89,72,516,7,5,44,1574,658
