Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,11,31,90,4,36,18,36,30,20,54,1344,8,14,4,4,12,33,2,13,7,17,11,10,20,112,4,6,2,356,141
IC10.png,Right,13,46,49,30,28,36,20,30,28,28,1341,7,19,4,6,20,15,12,13,15,10,13,11,13,111,3,9,2,338,142
IC11.png,Right,6,38,13,4,12,6,18,8,4,8,1073,0,0,8,3,14,5,2,6,2,7,4,2,3,42,0,0,3,125,51
IC12.png,Right,6,19,32,0,6,8,36,4,0,2,802,16,14,6,3,9,12,0,3,4,13,2,0,1,51,6,6,2,149,61
IC2.png,Left,10,4,13,34,18,20,34,8,8,6,801,6,12,2,5,1,6,13,5,4,9,3,4,3,52,3,5,1,175,62
IC3.png,Left,17,2,40,8,50,8,53,89,24,36,1723,6,13,4,8,1,17,4,14,3,16,34,11,16,109,3,6,1,350,134
IC4.png,Left,30,38,96,0,46,22,80,39,26,67,1681,26,28,29,15,13,31,0,19,8,26,15,11,27,160,11,13,11,527,200
IC5.png,Left,7,20,20,0,12,4,24,20,17,21,705,8,6,2,3,5,6,0,5,2,7,8,8,9,52,2,3,1,161,59
IC6.png,Left,41,4,22,6,6,4,32,18,18,6,1172,4,14,0,10,1,9,3,2,2,10,8,5,3,54,2,7,0,175,62
IC7.png,Right,28,14,8,2,6,4,20,8,8,14,683,12,14,6,10,5,4,1,3,2,8,4,3,6,47,6,7,2,144,61
IC8.png,Right,4,65,26,52,46,36,31,14,28,56,905,0,12,8,2,20,9,17,16,13,12,6,10,19,96,0,4,3,378,131
IC9.png,Right,42,38,38,30,18,23,61,38,22,34,1759,12,20,14,16,14,17,10,6,11,23,15,9,13,118,5,8,4,390,151
P1.png,Left,6,4,42,10,2,0,8,22,6,8,677,0,6,0,2,2,14,2,1,0,3,9,3,4,37,0,3,0,114,43
P10.png,Right,0,26,24,28,12,16,16,14,26,14,837,0,2,6,0,11,10,10,4,8,6,7,9,6,63,0,1,3,184,75
P11.png,Right,6,84,46,12,20,19,83,50,18,44,1328,11,10,2,3,29,16,5,9,7,25,17,5,15,105,5,5,1,405,142
P12.png,Right,50,67,41,30,37,32,111,40,20,35,2050,22,53,10,13,29,18,11,15,15,43,16,9,9,163,9,21,5,548,213
P2.png,Left,18,45,35,16,6,14,73,39,12,32,1642,22,10,6,8,17,16,8,3,7,27,14,5,13,111,8,5,3,328,134
P3.png,Left,6,32,46,26,42,28,45,17,18,8,1280,2,10,6,2,13,17,12,12,13,15,6,6,4,92,1,4,3,286,108
P4.png,Left,10,25,18,17,44,10,27,14,8,10,1009,5,16,4,3,11,6,6,18,5,10,7,3,4,72,2,6,2,208,83
P5.png,Left,4,23,28,18,48,28,74,28,14,12,1393,18,10,12,1,10,11,8,20,12,25,11,5,6,100,8,4,4,317,125
P6.png,Left,35,34,53,12,2,18,122,40,0,10,1288,28,22,2,12,14,21,4,1,7,36,17,0,5,111,11,9,1,378,138
P7.png,Right,54,42,38,40,7,28,90,102,88,90,2976,14,23,14,21,21,13,12,3,11,30,34,32,28,183,7,10,4,630,226
P8.png,Right,4,38,12,33,40,26,76,52,14,26,1385,15,16,26,2,14,6,13,10,12,26,16,5,11,113,7,7,8,378,137
P9.png,Right,26,23,29,9,6,14,28,28,12,20,1390,12,12,4,11,10,11,3,3,6,9,12,4,8,79,5,6,2,223,90
