Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,4,16,38,10,26,26,48,0,0,8,1063,11,18,2,2,8,18,5,12,13,17,0,0,4,75,5,9,1,207,94
IC10.png,Right,56,52,28,41,22,22,112,49,24,24,4000,64,50,20,26,24,13,18,11,11,43,22,12,10,203,31,21,10,564,252
IC11.png,Right,20,50,24,42,10,32,119,40,20,29,1651,30,26,16,10,24,12,19,5,15,55,19,10,13,161,14,13,6,458,215
IC12.png,Right,14,18,6,6,2,2,72,16,5,8,1854,34,30,6,7,9,3,3,1,1,33,8,2,4,78,13,13,3,219,100
IC2.png,Left,122,0,26,10,24,6,16,47,56,39,2248,19,8,24,54,0,11,5,10,3,7,22,23,17,153,9,4,12,397,177
IC3.png,Left,31,66,86,22,66,46,219,34,14,34,2921,44,40,42,15,31,40,11,32,21,91,16,7,16,249,21,20,19,744,340
IC4.png,Left,123,26,106,22,84,34,228,110,75,114,5582,95,40,50,57,13,49,10,38,16,98,50,33,52,407,44,19,22,1107,501
IC5.png,Left,16,16,58,22,32,16,71,16,4,14,1512,22,21,14,8,7,25,10,14,8,25,8,2,7,102,9,9,7,322,139
IC6.png,Left,10,28,60,15,51,30,89,6,8,34,1601,25,24,12,5,13,29,6,23,14,35,3,4,14,135,11,12,6,392,175
IC7.png,Right,30,69,32,41,16,28,68,15,14,22,2471,30,17,20,14,28,16,19,6,11,30,7,7,11,138,13,8,10,402,180
IC8.png,Right,51,18,18,10,0,4,72,12,10,8,2193,32,6,6,23,8,7,5,0,2,34,6,5,4,105,16,3,3,247,116
IC9.png,Right,70,78,39,88,80,68,138,26,16,22,3368,36,52,80,33,38,17,44,38,31,58,10,7,11,284,18,25,35,793,365
P1.png,Left,68,10,52,12,67,23,73,86,48,68,2074,38,28,26,32,5,24,6,30,11,31,39,20,32,203,19,13,12,599,274
P10.png,Right,6,106,56,46,28,67,67,16,16,16,1180,12,14,38,3,44,25,22,13,30,22,8,8,8,159,6,7,17,488,213
P11.png,Right,27,69,28,68,20,58,116,6,10,23,2387,42,52,26,13,31,13,34,9,26,48,3,5,11,186,16,25,12,545,246
P12.png,Right,40,96,82,132,48,88,270,22,20,34,3901,55,56,90,18,42,41,57,21,39,105,11,10,17,350,26,27,40,1033,454
P2.png,Left,148,12,60,2,26,10,135,88,17,30,3306,58,51,8,60,6,27,1,11,5,53,34,8,15,225,27,23,4,645,274
P3.png,Left,57,26,78,46,92,48,192,56,36,54,3483,65,49,64,25,13,37,21,41,23,81,26,18,26,302,30,24,30,863,395
P4.png,Left,81,22,89,28,62,35,228,92,40,46,2897,44,62,28,37,10,41,12,26,15,92,42,20,22,308,21,30,12,857,380
P5.png,Left,34,51,227,20,80,65,176,218,94,110,3415,35,84,0,16,22,100,10,38,30,71,98,43,50,395,15,38,0,1194,531
P6.png,Left,6,21,21,10,54,24,117,28,12,28,1928,26,20,14,3,7,10,4,25,10,45,14,6,14,134,12,10,7,381,167
P7.png,Right,66,85,18,56,22,34,227,34,52,42,4023,59,27,36,30,36,8,28,11,17,92,17,24,21,287,29,13,18,758,344
P8.png,Right,28,93,120,88,180,82,118,14,8,29,3191,36,26,56,12,46,55,43,73,40,44,6,4,14,318,17,13,24,878,391
P9.png,Right,110,92,54,66,18,32,77,22,26,46,2998,33,49,14,49,40,26,30,9,15,31,9,12,22,232,16,24,7,639,290
