Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,0,0,0,1627,0,0,0,0,0,0,1637,0,0,0,0,0,0,787,0,0,0,0,0,0,788,0,0,0,1627,787
CC10.png,Right,0,0,0,0,0,0,0,0,2072,0,2078,0,0,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,2072,1000
CC11.png,Right,0,0,0,0,0,0,0,0,368,0,366,0,0,0,0,0,0,0,0,0,0,0,172,0,173,0,0,0,368,172
CC12.png,Right,0,0,0,0,0,0,0,0,781,0,784,0,0,0,0,0,0,0,0,0,0,0,375,0,375,0,0,0,781,375
CC2.png,Left,0,0,0,3204,0,0,0,0,0,0,3225,0,0,0,0,0,0,1547,0,0,0,0,0,0,1546,0,0,0,3204,1547
CC3.png,Left,0,0,0,517,0,0,0,0,0,0,516,0,0,0,0,0,0,246,0,0,0,0,0,0,246,0,0,0,517,246
CC4.png,Left,0,0,0,341,0,0,0,0,0,0,341,0,0,0,0,0,0,163,0,0,0,0,0,0,163,0,0,0,341,163
CC5.png,Left,0,0,0,621,0,0,0,0,0,0,632,0,0,0,0,0,0,300,0,0,0,0,0,0,301,0,0,0,621,300
CC6.png,Left,0,0,0,1438,0,0,0,0,0,0,1432,0,0,0,0,0,0,691,0,0,0,0,0,0,691,0,0,0,1438,691
CC7.png,Right,0,0,0,0,0,0,0,0,475,0,469,0,0,0,0,0,0,0,0,0,0,0,226,0,226,0,0,0,475,226
CC8.png,Right,0,0,0,0,0,0,0,0,1946,0,1953,0,0,0,0,0,0,0,0,0,0,0,932,0,933,0,0,0,1946,932
CC9.png,Right,0,0,0,0,0,0,0,0,2112,0,2115,0,0,0,0,0,0,0,0,0,0,0,1010,0,1011,0,0,0,2112,1010
P1.png,Left,0,0,0,749,0,0,0,0,0,0,757,0,0,0,0,0,0,361,0,0,0,0,0,0,361,0,0,0,749,361
P10.png,Right,0,0,0,0,0,0,0,0,717,0,724,0,0,0,0,0,0,0,0,0,0,0,346,0,346,0,0,0,717,346
P11.png,Right,0,0,0,0,0,0,0,0,664,0,665,0,0,0,0,0,0,0,0,0,0,0,322,0,322,0,0,0,664,322
P12.png,Right,0,0,0,0,0,0,0,0,1822,0,1819,0,0,0,0,0,0,0,0,0,0,0,874,0,874,0,0,0,1822,874
P2.png,Left,0,0,0,838,0,0,0,0,0,0,831,0,0,0,0,0,0,404,0,0,0,0,0,0,403,0,0,0,838,404
P3.png,Left,0,0,0,1020,0,0,0,0,0,0,1019,0,0,0,0,0,0,491,0,0,0,0,0,0,491,0,0,0,1020,491
P4.png,Left,0,0,0,455,0,0,0,0,0,0,452,0,0,0,0,0,0,218,0,0,0,0,0,0,217,0,0,0,455,218
P5.png,Left,0,0,0,949,0,0,0,0,0,0,955,0,0,0,0,0,0,460,0,0,0,0,0,0,460,0,0,0,949,460
P6.png,Left,0,0,0,1442,0,0,0,0,0,0,1436,0,0,0,0,0,0,694,0,0,0,0,0,0,693,0,0,0,1442,694
P7.png,Right,0,0,0,0,0,0,0,0,788,0,784,0,0,0,0,0,0,0,0,0,0,0,376,0,376,0,0,0,788,376
P8.png,Right,0,0,0,0,0,0,0,0,760,0,757,0,0,0,0,0,0,0,0,0,0,0,364,0,364,0,0,0,760,364
P9.png,Right,0,0,0,0,0,0,0,0,1427,0,1432,0,0,0,0,0,0,0,0,0,0,0,685,0,685,0,0,0,1427,685
