Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,18,8,6,6,2,0,4,48,26,24,841,2,0,0,9,2,3,1,1,0,2,14,11,8,41,1,0,0,144,52
CC10.png,Right,6,0,0,0,2,0,0,0,0,0,514,0,0,0,3,0,0,0,1,0,0,0,0,0,5,0,0,0,8,4
CC11.png,Right,32,92,19,40,34,54,12,4,2,2,1655,10,18,8,13,28,9,18,15,18,5,2,1,1,101,5,7,4,327,126
CC12.png,Right,42,6,54,0,22,4,16,0,0,0,1526,22,25,0,17,3,23,0,11,1,7,0,0,0,71,11,10,0,191,83
CC2.png,Left,8,0,0,0,0,0,4,22,16,0,1026,2,2,4,4,0,0,0,0,0,2,6,6,0,20,1,1,2,58,22
CC3.png,Left,28,0,20,0,14,6,4,26,12,12,525,4,8,0,12,0,5,0,7,3,2,10,5,5,45,1,4,0,134,54
CC4.png,Left,0,0,4,0,4,0,0,2,2,0,679,0,0,2,0,0,1,0,2,0,0,1,1,0,7,0,0,1,14,6
CC5.png,Left,8,0,0,2,8,36,0,30,12,0,791,0,0,2,3,0,0,1,3,3,0,12,4,0,25,0,0,1,98,27
CC6.png,Left,64,2,18,0,20,8,6,50,26,22,1160,20,17,6,24,1,5,0,6,3,1,21,8,10,77,7,5,2,259,93
CC7.png,Right,0,2,10,4,8,2,6,0,2,2,522,0,0,2,0,1,5,2,4,1,3,0,1,1,19,0,0,1,38,19
CC8.png,Right,4,0,12,0,12,6,2,0,0,0,682,0,0,4,2,0,4,0,6,3,1,0,0,0,17,0,0,1,40,17
CC9.png,Right,20,14,48,12,28,20,8,0,0,2,857,4,10,0,9,7,20,6,12,7,3,0,0,1,62,2,4,0,166,71
P1.png,Left,12,0,2,0,2,0,0,22,8,6,747,0,0,2,5,0,1,0,1,0,0,10,4,2,24,0,0,1,54,24
P10.png,Right,2,0,28,0,32,6,0,0,10,0,533,0,0,0,1,0,12,0,10,1,0,0,3,0,22,0,0,0,78,27
P11.png,Right,6,0,6,2,28,4,0,0,0,0,1238,2,6,0,3,0,3,1,7,2,0,0,0,0,20,1,3,0,54,20
P12.png,Right,8,0,67,4,25,10,2,4,0,0,894,2,0,2,4,0,28,2,10,1,1,1,0,0,47,1,0,1,124,49
P2.png,Left,12,8,18,4,8,0,8,14,8,6,903,0,4,0,5,4,6,2,3,0,3,7,4,3,34,0,2,0,90,39
P3.png,Left,20,2,16,0,14,0,14,106,24,4,1260,16,18,8,7,1,7,0,5,0,4,30,12,1,73,7,7,2,242,83
P4.png,Left,0,0,0,0,2,0,2,14,12,4,589,2,0,0,0,0,0,0,1,0,1,7,4,2,16,1,0,0,36,16
P5.png,Left,24,0,4,0,0,0,0,54,20,24,996,0,0,2,10,0,2,0,0,0,0,17,8,10,44,0,0,1,128,48
P6.png,Left,2,0,4,0,2,0,0,28,16,2,1733,2,4,0,1,0,2,0,1,0,0,10,7,1,22,1,2,0,60,25
P7.png,Right,18,45,42,8,25,34,16,4,0,0,974,24,14,2,7,15,15,3,11,11,8,2,0,0,63,4,6,1,232,83
P8.png,Right,24,10,45,0,18,12,0,20,2,10,899,2,2,0,6,2,21,0,8,4,0,4,1,3,44,1,1,0,145,51
P9.png,Right,34,6,40,4,16,4,4,4,6,12,1287,6,4,6,8,3,16,2,8,2,2,2,3,5,54,3,2,3,146,59
