Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,0,2,0,3,2,0,24,0,0,0,391,0,0,0,0,1,0,2,1,0,11,0,0,0,15,0,0,0,31,15
IC10.png,Right,0,0,0,2,0,0,4,0,0,0,511,0,0,0,0,0,0,1,0,0,2,0,0,0,4,0,0,0,6,3
IC11.png,Right,0,0,0,0,0,0,12,0,0,0,608,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,12,6
IC12.png,Right,2,0,0,0,2,0,4,0,0,2,550,0,0,2,1,0,0,0,1,0,2,0,0,1,7,0,0,1,12,6
IC2.png,Left,5,10,0,0,0,0,20,0,0,0,226,5,0,0,2,4,0,0,0,0,8,0,0,0,13,2,0,0,40,16
IC3.png,Left,0,0,0,0,0,0,0,0,0,0,418,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1
IC4.png,Left,0,0,0,0,0,0,4,0,0,0,543,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,4,2
IC5.png,Left,2,4,2,2,4,6,6,0,0,0,315,0,0,0,1,2,1,1,2,3,3,0,0,0,12,0,0,0,26,13
IC6.png,Left,8,6,4,0,8,0,22,0,0,4,1020,6,6,2,4,3,2,0,2,0,9,0,0,2,29,3,3,1,66,29
IC7.png,Right,0,17,2,8,10,6,29,4,7,6,921,2,2,2,0,5,1,4,4,3,13,2,3,3,35,1,1,1,95,41
IC8.png,Right,2,4,0,0,0,0,12,0,0,2,147,2,4,0,1,2,0,0,0,0,4,0,0,1,10,1,2,0,26,11
IC9.png,Right,0,0,0,0,0,0,0,0,0,0,576,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1
P1.png,Left,4,4,4,0,16,0,31,6,8,8,552,12,6,0,2,2,2,0,4,0,15,3,4,4,37,5,3,0,99,44
P10.png,Right,4,16,9,16,22,12,38,20,18,6,656,2,13,5,2,8,4,8,11,6,12,10,7,3,67,1,4,2,181,78
P11.png,Right,0,2,0,2,0,4,0,4,3,0,208,0,2,2,0,1,0,1,0,2,0,2,1,0,8,0,1,1,19,9
P12.png,Right,0,15,4,6,9,13,20,4,4,4,563,10,17,10,0,6,2,2,4,5,9,2,2,2,38,4,7,5,116,50
P2.png,Left,0,0,4,4,2,2,12,8,0,0,638,0,8,0,0,0,2,2,1,1,6,3,0,0,19,0,4,0,40,19
P3.png,Left,6,19,6,4,0,4,41,2,0,0,670,15,12,0,3,7,3,2,0,2,18,1,0,0,42,7,6,0,109,49
P4.png,Left,2,6,6,2,2,0,33,0,0,0,535,2,6,0,1,2,3,1,1,0,11,0,0,0,19,1,3,0,59,23
P5.png,Left,2,14,21,6,4,12,37,0,4,6,364,6,4,6,1,5,9,3,2,6,16,0,2,3,49,3,2,2,122,54
P6.png,Left,13,2,6,0,0,0,37,6,4,6,245,9,13,0,5,1,3,0,0,0,14,3,2,2,32,4,5,0,96,39
P7.png,Right,4,7,4,5,6,4,6,10,6,2,792,8,2,0,2,4,2,2,3,2,2,5,3,1,28,4,1,0,64,31
P8.png,Right,0,2,0,0,0,0,17,2,0,0,279,4,4,0,0,1,0,0,0,0,7,1,0,0,12,2,2,0,29,13
P9.png,Right,9,7,8,4,2,2,20,2,0,0,275,2,2,0,4,3,4,2,1,1,9,1,0,0,21,1,1,0,58,27
