Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,0,6,16,2,2,2,133,0,0,4,497,22,24,0,0,3,7,1,1,1,38,0,0,2,58,9,11,0,211,73
IC10.png,Right,0,23,6,8,2,2,18,6,2,8,411,0,2,0,0,10,3,4,1,1,8,3,1,4,31,0,1,0,77,36
IC11.png,Right,6,83,12,11,2,27,120,32,8,8,1171,22,57,0,3,31,5,5,1,12,46,13,3,4,125,9,25,0,388,157
IC12.png,Right,4,24,12,2,2,2,74,18,13,8,947,14,16,0,2,10,4,1,1,1,25,7,6,4,59,7,6,0,189,74
IC2.png,Left,4,67,102,18,26,52,303,21,16,31,2340,12,66,28,2,32,42,8,12,21,91,8,8,13,218,6,27,11,746,281
IC3.png,Left,2,41,81,12,10,4,178,2,2,6,964,4,24,0,1,19,30,5,4,2,58,1,1,3,111,2,10,0,366,136
IC4.png,Left,1,4,58,4,2,12,47,4,2,4,436,4,28,2,1,2,25,2,1,5,16,2,1,2,58,2,12,1,172,72
IC5.png,Left,4,42,28,18,14,30,117,2,2,4,1044,14,22,4,2,20,10,6,7,15,42,1,1,2,95,7,10,2,301,125
IC6.png,Left,2,8,16,8,10,2,123,7,2,4,747,18,4,2,1,4,7,4,5,1,34,3,1,2,63,7,2,1,206,72
IC7.png,Right,8,36,2,8,0,4,69,22,6,4,510,6,18,0,4,15,1,3,0,2,26,10,3,2,60,2,8,0,183,76
IC8.png,Right,0,113,4,30,2,8,172,78,6,38,1989,20,72,10,0,46,2,13,1,4,58,33,3,19,179,9,31,4,553,223
IC9.png,Right,6,113,6,32,8,22,268,54,8,27,1892,34,70,4,3,40,3,13,4,10,89,23,4,12,186,15,30,2,652,248
P1.png,Left,2,10,26,2,0,2,71,0,0,2,306,8,20,0,1,5,11,1,0,1,29,0,0,1,52,3,9,0,143,61
P10.png,Right,6,19,0,3,0,2,46,6,0,8,418,26,16,0,3,8,0,1,0,1,13,3,0,4,41,9,6,0,132,48
P11.png,Right,9,104,12,38,16,22,211,57,21,47,1652,21,45,18,3,41,6,15,8,11,70,26,8,22,184,10,20,8,621,248
P12.png,Right,23,51,20,14,2,22,131,27,6,23,1014,12,30,0,6,19,8,7,1,9,44,13,3,11,112,6,15,0,361,142
P2.png,Left,19,72,212,44,44,42,199,34,14,54,2604,18,45,4,9,30,81,22,19,19,66,15,7,26,261,8,19,2,801,323
P3.png,Left,12,18,36,6,13,14,183,10,0,18,1047,18,55,13,6,8,17,3,6,7,56,5,0,9,113,8,24,5,396,154
P4.png,Left,27,16,14,0,0,2,70,6,0,0,505,18,25,0,10,7,5,0,0,1,24,3,0,0,52,8,8,0,178,66
P5.png,Left,8,16,11,0,6,18,64,4,0,0,904,4,7,0,3,5,5,0,2,7,24,1,0,0,44,2,3,0,138,52
P6.png,Left,13,29,70,12,40,28,133,6,4,4,1285,12,29,4,6,13,27,5,16,9,48,3,2,2,118,5,12,2,384,150
P7.png,Right,7,134,23,49,19,30,201,28,35,47,2193,26,104,10,3,55,10,19,9,13,73,13,17,20,223,13,39,5,713,289
P8.png,Right,22,99,8,22,10,16,315,47,4,27,2119,59,57,0,10,37,4,9,5,7,112,19,2,11,206,27,27,0,686,270
P9.png,Right,8,23,2,14,0,0,84,18,12,17,736,10,24,0,4,10,1,6,0,0,30,7,6,4,65,5,12,0,212,85
