Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,20,42,40,31,50,42,110,17,13,18,2050,10,18,22,7,18,14,12,20,16,37,7,5,9,121,4,7,9,433,165
IC10.png,Right,14,23,15,38,38,18,56,27,15,19,1538,4,12,41,5,10,7,17,17,9,21,12,7,7,107,2,6,18,320,138
IC11.png,Right,35,36,8,2,2,12,318,24,4,10,3573,73,54,0,15,16,4,1,1,5,110,11,2,5,175,30,23,0,578,223
IC12.png,Right,15,12,55,25,69,22,22,2,4,2,3991,15,11,13,6,5,23,11,27,10,9,1,2,1,93,6,5,6,267,112
IC2.png,Left,34,13,82,16,55,28,35,84,79,62,3998,22,42,24,16,4,32,6,19,10,13,34,31,26,193,10,17,12,576,230
IC3.png,Left,6,0,7,14,14,4,4,21,39,13,2855,2,10,14,1,0,2,6,7,2,2,9,16,6,53,1,4,5,148,61
IC4.png,Left,14,75,68,64,31,42,136,10,9,26,2555,33,33,8,6,30,21,26,11,18,51,4,4,9,167,15,12,4,549,211
IC5.png,Left,2,6,8,27,24,8,8,24,61,25,2872,2,4,10,1,3,3,11,10,4,4,10,24,9,72,1,2,5,209,87
IC6.png,Left,0,10,9,13,11,11,10,19,41,10,3846,0,2,12,0,5,4,4,5,4,5,8,18,5,58,0,1,5,148,64
IC7.png,Right,30,58,22,34,46,28,107,49,12,34,2526,18,43,10,11,20,10,12,15,11,35,22,6,13,157,9,20,5,491,189
IC8.png,Right,34,104,53,38,21,26,246,51,24,36,4017,42,41,24,16,36,22,16,9,13,83,22,12,13,226,18,19,9,740,288
IC9.png,Right,37,57,58,50,51,55,38,15,24,24,5844,2,22,23,16,23,21,22,20,23,17,6,11,7,159,1,10,10,456,187
P1.png,Left,15,15,58,5,8,23,67,36,32,17,2774,2,16,6,4,7,20,2,4,7,27,14,12,6,92,1,7,3,300,114
P10.png,Right,22,73,55,31,22,40,201,102,34,59,1744,44,63,2,11,33,23,14,10,18,78,44,16,27,229,18,31,1,748,324
P11.png,Right,56,145,63,17,38,45,127,97,37,62,2768,36,58,0,27,63,29,8,18,21,51,42,18,29,275,17,28,0,781,351
P12.png,Right,78,131,61,44,35,38,328,87,34,80,3389,84,75,12,27,51,24,17,11,15,109,33,13,29,303,33,29,3,1087,394
P2.png,Left,56,42,113,10,49,30,139,70,46,34,5061,70,54,15,21,14,40,4,21,11,53,26,17,14,216,26,19,6,728,272
P3.png,Left,26,52,64,20,26,24,249,18,6,18,2613,29,51,13,13,25,26,10,13,12,96,8,3,9,211,13,25,5,596,258
P4.png,Left,13,16,20,0,6,8,18,51,36,11,2277,10,12,11,5,6,10,0,3,3,8,21,15,5,76,3,6,5,212,90
P5.png,Left,8,49,59,26,32,19,55,64,30,38,2948,13,17,11,4,10,26,12,12,9,24,24,13,15,134,4,7,5,421,165
P6.png,Left,107,37,137,40,70,50,335,107,119,68,6898,82,94,30,45,16,53,17,27,19,116,40,46,25,378,34,39,13,1276,490
P7.png,Right,101,23,63,69,81,44,181,35,6,19,6994,47,47,35,34,10,26,26,28,17,63,15,2,8,239,16,18,14,751,277
P8.png,Right,17,24,14,12,4,4,52,13,8,4,1129,6,18,4,9,10,6,6,2,2,23,6,4,2,69,3,9,2,180,84
P9.png,Right,155,210,102,160,105,97,820,166,131,131,12771,239,186,89,66,81,42,62,40,34,259,68,54,50,761,88,70,31,2591,945
