Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,22,72,38,24,4,23,144,13,9,6,1106,20,17,6,11,31,15,11,2,11,61,6,4,3,136,9,8,3,398,175
IC10.png,Right,19,59,31,31,8,14,122,62,28,36,1612,8,35,12,9,25,15,15,4,7,49,28,14,16,158,4,16,5,465,207
IC11.png,Right,4,39,2,6,0,0,60,31,6,10,636,14,20,2,2,17,1,3,0,0,21,14,3,5,53,6,9,1,194,82
IC12.png,Right,19,33,23,10,0,13,146,35,14,16,1084,35,28,10,8,15,11,4,0,5,53,13,5,8,118,17,13,4,382,156
IC2.png,Left,12,55,48,38,20,18,120,14,2,6,1247,21,25,15,6,21,21,17,10,8,50,5,1,3,137,9,12,6,394,169
IC3.png,Left,19,51,42,25,18,20,102,30,9,19,1133,28,17,3,8,24,20,11,8,10,40,12,4,8,128,13,8,1,383,167
IC4.png,Left,9,29,13,6,18,4,83,2,2,11,630,19,12,6,4,12,6,3,8,2,31,1,1,4,72,9,6,3,214,90
IC5.png,Left,0,4,18,10,11,0,47,0,0,6,464,4,2,4,0,2,8,5,5,0,22,0,0,3,42,2,1,1,106,49
IC6.png,Left,4,31,29,14,8,6,105,2,0,8,740,7,14,0,2,14,12,7,4,3,36,1,0,4,79,2,7,0,228,92
IC7.png,Right,16,16,2,2,0,2,64,26,8,16,440,15,15,2,7,7,1,1,0,1,21,11,4,8,53,7,7,1,184,76
IC8.png,Right,10,29,17,38,13,7,104,19,18,24,1375,15,22,4,5,10,8,15,6,3,43,9,8,10,109,7,10,2,320,136
IC9.png,Right,7,75,30,32,10,36,99,41,35,27,1407,14,20,9,3,33,12,14,5,17,45,18,16,13,151,7,10,4,435,197
P1.png,Left,10,6,10,11,8,8,35,6,2,9,590,6,12,9,5,3,5,4,4,4,13,3,1,4,48,3,6,4,132,59
P10.png,Right,4,10,2,4,0,2,39,7,11,9,381,22,14,2,2,5,1,2,0,1,18,4,5,3,45,10,7,1,126,59
P11.png,Right,6,34,4,10,3,5,78,37,18,35,1019,18,18,4,3,16,2,5,1,2,31,17,9,14,99,8,9,2,270,119
P12.png,Right,6,34,2,18,4,8,105,53,49,31,1290,28,20,6,3,17,1,8,1,4,40,24,23,13,120,13,8,3,364,158
P2.png,Left,22,62,51,33,29,47,99,12,2,16,1297,34,26,4,9,25,25,16,12,23,41,5,1,7,148,16,12,2,437,194
P3.png,Left,5,56,25,37,8,20,155,8,4,11,1487,10,44,10,2,22,10,16,4,10,58,4,2,5,117,5,16,5,393,159
P4.png,Left,9,12,13,2,8,14,55,2,0,4,389,2,10,2,3,6,5,1,3,7,20,1,0,2,47,1,5,1,133,55
P5.png,Left,14,16,16,6,5,4,36,0,2,4,604,10,11,2,7,8,8,3,2,2,15,0,1,2,47,5,5,1,126,59
P6.png,Left,18,34,22,27,10,25,95,0,2,6,1133,4,8,6,8,16,11,13,4,12,38,0,1,3,97,2,4,3,257,115
P7.png,Right,18,15,7,19,4,9,69,4,20,14,729,18,21,2,9,7,3,6,2,4,26,2,8,7,67,9,8,1,220,92
P8.png,Right,2,61,11,19,0,18,58,33,24,20,920,5,14,7,1,27,5,8,0,5,20,14,10,8,86,2,7,2,272,109
P9.png,Right,2,11,0,6,0,4,72,31,13,19,824,13,22,6,1,5,0,2,0,2,28,15,6,9,74,6,8,3,199,85
