Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,0,80,72,97,63,106,12,14,14,36,1090,0,14,10,0,31,29,30,25,44,4,4,4,14,153,0,5,5,518,195
IC10.png,Right,0,34,87,52,96,88,0,0,2,2,732,0,0,14,0,10,33,19,30,34,0,0,1,1,100,0,0,4,375,132
IC11.png,Right,20,59,100,42,47,58,0,4,14,37,1698,4,10,2,9,23,37,18,16,27,0,2,4,16,136,2,5,1,397,160
IC12.png,Right,0,116,22,287,58,107,0,0,20,49,1278,0,2,18,0,34,6,81,23,37,0,0,8,16,187,0,1,8,679,214
IC2.png,Left,182,68,417,88,328,146,84,325,196,250,8071,60,82,104,73,30,171,37,130,61,34,137,78,110,781,25,36,47,2330,969
IC3.png,Left,12,20,325,82,285,170,10,78,26,95,2371,0,6,34,6,9,100,31,105,66,4,26,12,38,339,0,3,12,1143,412
IC4.png,Left,0,36,82,2,128,34,8,56,82,116,854,0,6,16,0,9,30,1,36,16,4,21,28,45,157,0,3,4,566,197
IC5.png,Left,22,32,72,18,112,20,6,30,64,43,1575,10,14,46,8,11,27,7,38,10,3,12,22,19,154,4,6,18,489,185
IC6.png,Left,2,22,88,28,126,38,18,72,153,92,1622,0,8,34,1,10,34,8,43,17,6,30,57,39,213,0,3,13,681,261
IC7.png,Right,54,138,214,88,80,70,10,43,8,54,1611,2,58,18,23,45,68,34,29,30,3,14,3,22,256,1,22,4,837,298
IC8.png,Right,72,112,36,46,10,26,696,132,40,69,5069,164,154,2,29,45,13,17,4,11,186,55,18,30,415,62,57,1,1559,528
IC9.png,Right,6,84,38,194,54,90,20,14,18,73,1488,2,26,40,3,33,17,72,21,35,8,6,8,32,202,1,11,18,659,265
P1.png,Left,2,6,154,72,140,58,2,26,24,58,1146,0,4,10,1,3,43,26,45,26,1,10,10,24,155,0,2,4,556,195
P10.png,Right,30,52,10,54,4,14,44,38,42,38,3049,10,10,10,12,23,4,22,2,6,18,16,21,19,132,5,5,5,356,158
P11.png,Right,8,125,4,88,2,16,137,367,154,138,2265,2,54,8,3,44,2,31,1,4,49,110,50,53,305,1,18,4,1103,370
P12.png,Right,26,82,122,50,46,127,36,31,46,30,2245,22,30,16,11,33,49,24,17,47,13,6,17,14,218,9,15,6,664,261
P2.png,Left,30,34,113,96,140,41,28,59,46,48,2816,14,23,59,13,16,42,43,59,19,10,25,21,20,253,6,10,27,731,311
P3.png,Left,100,104,258,38,128,66,452,76,140,96,6426,158,166,108,37,43,94,19,52,27,131,30,61,43,558,64,67,45,1890,713
P4.png,Left,0,6,70,8,75,10,8,30,23,80,963,0,6,44,0,3,25,3,28,5,3,12,9,27,112,0,3,20,360,138
P5.png,Left,8,12,306,44,403,114,6,326,96,344,3631,0,12,94,4,6,115,21,145,45,3,120,41,122,540,0,5,33,1765,660
P6.png,Left,2,26,68,72,183,46,8,21,24,66,1709,2,0,44,1,11,27,29,64,21,4,10,10,29,179,1,0,17,562,224
P7.png,Right,0,120,72,196,89,90,0,8,61,108,1846,0,0,88,0,38,26,72,33,41,0,4,25,40,250,0,0,34,832,313
P8.png,Right,28,204,82,324,83,134,20,56,152,144,3636,2,48,128,11,81,36,114,31,55,8,23,60,54,432,1,18,51,1405,543
P9.png,Right,0,266,102,332,59,176,71,62,84,104,2280,0,24,52,0,95,30,106,20,66,24,23,23,46,350,0,9,20,1332,462
