Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,0,8,32,8,86,16,14,6,56,42,646,10,4,41,0,4,11,4,32,7,5,3,25,19,100,4,2,12,323,128
CC10.png,Right,0,14,10,51,46,30,0,0,6,14,437,0,2,6,0,6,5,23,18,14,0,0,3,7,58,0,1,3,179,80
CC11.png,Right,4,41,49,60,66,48,78,20,36,14,2218,8,8,28,2,18,21,25,27,20,23,10,14,7,146,3,4,13,460,187
CC12.png,Right,0,54,16,70,42,28,8,24,10,18,1169,0,14,34,0,17,7,28,21,14,4,12,5,9,108,0,4,15,318,136
CC2.png,Left,4,22,58,38,132,40,61,83,140,80,2797,6,14,53,2,8,23,17,48,18,16,33,54,35,226,3,5,23,731,285
CC3.png,Left,10,38,84,60,148,54,22,69,72,60,2777,0,10,98,4,16,39,24,59,24,9,29,31,25,242,0,5,44,725,309
CC4.png,Left,0,24,28,2,18,10,6,4,16,18,638,0,2,2,0,10,11,1,7,4,3,2,8,7,43,0,1,1,130,55
CC5.png,Left,0,8,62,20,67,26,0,26,58,38,1014,0,2,12,0,3,20,10,28,12,0,10,26,18,100,0,1,6,319,134
CC6.png,Left,10,8,92,10,106,41,38,126,119,106,2422,4,24,34,5,4,41,4,38,18,11,51,47,41,230,2,10,15,718,287
CC7.png,Right,0,16,12,34,17,16,6,6,0,4,850,2,0,16,0,6,4,16,7,7,2,3,0,2,45,1,0,7,129,55
CC8.png,Right,18,59,25,9,45,26,50,10,12,10,1264,12,20,10,9,23,11,4,17,9,18,5,6,5,99,6,8,5,306,126
CC9.png,Right,4,34,62,35,44,36,19,6,22,20,1410,4,12,10,2,12,26,13,19,14,8,3,9,10,99,2,5,5,308,128
P1.png,Left,2,2,32,2,22,8,17,24,30,52,930,2,0,6,1,1,13,1,10,3,5,9,15,17,64,1,0,3,199,79
P10.png,Right,2,38,32,36,42,37,6,12,8,32,811,6,6,28,1,14,13,16,17,14,3,5,4,14,96,3,3,10,285,117
P11.png,Right,0,59,43,120,38,40,6,12,28,34,1708,0,8,77,0,23,15,48,15,16,2,4,13,16,149,0,4,34,465,190
P12.png,Right,18,49,25,61,46,36,12,38,32,41,1975,2,10,62,8,22,10,28,21,17,6,12,12,19,138,1,4,25,432,185
P2.png,Left,0,20,48,28,123,36,9,46,81,51,2291,0,8,73,0,9,23,13,45,16,4,20,35,23,181,0,4,30,523,222
P3.png,Left,4,38,138,38,134,70,155,112,178,122,3251,6,26,47,2,17,49,16,57,28,44,43,74,53,333,3,10,21,1068,417
P4.png,Left,0,10,40,12,54,12,18,50,19,60,856,4,6,8,0,4,16,3,21,5,6,19,8,27,87,2,3,4,293,118
P5.png,Left,2,10,39,12,59,24,12,76,63,30,1718,2,6,40,1,4,17,5,21,10,5,32,26,13,126,1,2,15,375,152
P6.png,Left,8,26,62,21,98,26,88,50,49,60,1987,2,20,36,4,9,24,9,31,12,29,22,19,25,170,1,8,15,546,208
P7.png,Right,4,68,16,58,20,28,144,14,15,35,990,12,28,22,2,31,7,26,8,11,33,7,5,13,118,4,11,9,464,167
P8.png,Right,2,12,28,74,56,42,92,22,67,22,866,12,2,20,1,5,12,27,16,15,26,9,25,11,128,5,1,9,451,162
P9.png,Right,2,86,64,138,114,78,84,45,42,54,3142,6,34,108,1,33,27,56,50,30,24,19,19,21,258,3,14,42,855,339
