Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,0,15,8,10,12,2,26,9,0,2,147,0,4,0,0,6,4,2,5,1,9,3,0,1,25,0,2,0,88,33
CC10.png,Right,5,19,8,6,0,10,2,2,2,2,132,0,2,0,1,8,2,3,0,5,1,1,1,1,19,0,1,0,58,24
CC11.png,Right,0,2,5,9,2,5,0,4,10,8,126,0,2,2,0,1,3,4,1,2,0,2,4,4,15,0,1,1,49,23
CC12.png,Right,2,4,3,2,2,2,20,6,0,0,139,2,0,0,1,2,1,1,1,1,9,2,0,0,17,1,0,0,43,19
CC2.png,Left,4,0,13,0,10,6,13,10,0,8,161,0,0,0,2,0,3,0,5,3,3,5,0,3,21,0,0,0,64,24
CC3.png,Left,5,0,4,2,10,2,9,3,0,3,211,4,0,2,2,0,2,1,3,1,3,1,0,1,12,2,0,1,44,17
CC4.png,Left,0,7,27,6,21,18,22,2,6,12,349,6,0,5,0,4,12,2,9,9,7,1,2,4,44,3,0,2,132,55
CC5.png,Left,0,4,5,4,9,6,4,0,0,0,101,0,4,4,0,2,2,2,3,2,2,0,0,0,12,0,2,2,40,17
CC6.png,Left,0,4,2,1,2,10,5,4,0,4,160,0,6,7,0,2,1,1,1,5,2,2,0,2,16,0,2,3,45,21
CC7.png,Right,5,14,9,0,19,4,14,8,0,0,364,4,4,12,2,5,3,0,7,2,5,3,0,0,31,2,2,4,93,35
CC8.png,Right,0,2,0,6,0,4,9,5,3,0,68,0,0,0,0,1,0,3,0,1,4,2,1,0,10,0,0,0,29,12
CC9.png,Right,0,8,0,7,0,10,8,5,4,19,165,0,4,4,0,4,0,3,0,2,3,1,2,7,17,0,2,2,69,26
P1.png,Left,6,7,23,22,10,16,45,21,13,16,643,13,21,2,3,3,10,10,5,7,17,8,6,8,78,6,9,1,215,93
P10.png,Right,2,15,5,8,0,11,0,2,4,4,92,0,0,0,1,4,2,3,0,5,0,1,2,2,15,0,0,0,51,20
P11.png,Right,6,37,0,19,6,10,12,17,4,12,310,6,12,8,2,15,0,8,2,5,5,5,2,5,44,3,5,4,149,61
P12.png,Right,0,27,0,8,0,4,26,12,4,10,239,2,18,2,0,14,0,3,0,1,11,6,2,5,37,1,8,1,113,52
P2.png,Left,0,58,12,61,30,32,12,0,0,2,900,0,0,6,0,25,5,22,14,14,5,0,0,1,75,0,0,3,213,89
P3.png,Left,0,8,19,4,11,10,18,2,7,6,179,3,2,4,0,3,9,2,5,4,5,1,3,3,32,1,1,2,94,39
P4.png,Left,0,0,4,0,0,4,8,8,0,12,123,2,4,0,0,0,2,0,0,2,3,4,0,4,16,1,2,0,42,18
P5.png,Left,0,2,7,0,2,3,8,4,0,6,163,4,6,0,0,1,3,0,1,1,4,1,0,2,17,2,3,0,42,18
P6.png,Left,8,4,15,2,4,4,2,6,0,6,173,2,2,2,4,2,6,1,2,2,1,3,0,3,21,1,1,1,57,27
P7.png,Right,4,19,0,6,8,4,13,7,0,6,207,3,14,0,1,9,0,3,4,2,5,3,0,3,27,1,5,0,84,36
P8.png,Right,0,10,21,15,2,12,0,0,0,2,175,0,0,4,0,5,9,5,1,4,0,0,0,1,24,0,0,2,66,27
P9.png,Right,0,16,2,23,0,14,79,47,8,16,539,2,6,8,0,8,1,10,0,6,30,19,4,6,66,1,3,3,221,91
