Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,0,0,0,0,0,0,12,0,0,0,19,2,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,14,3
CC10.png,Right,0,0,0,0,5,0,5,0,0,0,21,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,0,0,10,3
CC11.png,Right,4,0,0,0,0,0,2,0,0,0,14,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,6,2
CC12.png,Right,2,0,0,0,0,0,2,4,3,0,72,0,0,0,1,0,0,0,0,0,1,1,1,0,5,0,0,0,11,4
CC2.png,Left,0,0,0,0,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1
CC3.png,Left,0,0,0,0,0,0,2,0,0,0,32,2,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,4,2
CC4.png,Left,0,0,5,2,0,7,0,2,2,0,27,2,0,0,0,0,2,1,0,2,0,1,1,0,7,1,0,0,20,8
CC5.png,Left,0,0,0,0,0,0,2,2,0,0,23,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,4,2
CC6.png,Left,2,0,0,0,0,0,3,0,0,0,25,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,5,2
CC7.png,Right,6,0,0,0,0,0,0,0,0,0,23,0,4,0,2,0,0,0,0,0,0,0,0,0,4,0,1,0,10,3
CC8.png,Right,0,2,0,0,2,0,7,5,0,0,97,0,4,0,0,1,0,0,1,0,3,1,0,0,8,0,2,0,20,8
CC9.png,Right,0,0,0,0,0,0,5,0,0,0,21,2,0,0,0,0,0,0,0,0,2,0,0,0,4,1,0,0,7,3
P1.png,Left,0,0,5,2,0,0,2,0,0,0,22,0,0,0,0,0,2,1,0,0,1,0,0,0,4,0,0,0,9,4
P10.png,Right,0,0,0,0,0,0,9,10,0,6,29,0,2,0,0,0,0,0,0,0,3,4,0,3,9,0,1,0,27,11
P11.png,Right,0,0,0,0,0,0,0,0,2,6,27,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,8,3
P12.png,Right,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P2.png,Left,0,0,4,0,0,0,0,2,3,0,25,0,0,3,0,0,2,0,0,0,0,1,1,0,4,0,0,1,12,5
P3.png,Left,0,4,0,0,0,2,7,0,0,0,32,0,0,0,0,2,0,0,0,1,2,0,0,0,5,0,0,0,13,5
P4.png,Left,2,16,24,0,8,8,103,10,6,2,638,10,29,0,1,7,12,0,3,4,38,4,3,1,64,5,13,0,218,91
P5.png,Left,0,4,14,0,2,0,2,2,5,3,59,0,0,3,0,2,3,0,1,0,1,1,1,1,9,0,0,1,35,11
P6.png,Left,4,37,6,0,8,4,76,0,2,8,463,0,6,0,2,17,3,0,4,2,33,0,1,4,54,0,2,0,151,68
P7.png,Right,0,0,0,0,0,0,5,6,0,0,32,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,11,3
P8.png,Right,0,4,0,0,0,0,2,0,0,0,36,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,6,2
P9.png,Right,0,0,0,0,0,0,9,3,0,0,18,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,12,2
