Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,3,2,17,0,6,2,10,13,8,6,235,10,4,0,2,1,8,0,3,1,4,5,4,3,29,5,2,0,81,38
IC10.png,Right,7,2,0,0,0,0,22,0,0,0,107,20,12,0,3,1,0,0,0,0,6,0,0,0,16,6,6,0,63,22
IC11.png,Right,6,4,0,0,0,0,4,0,0,0,70,9,11,0,2,1,0,0,0,0,2,0,0,0,13,4,4,0,34,13
IC12.png,Right,2,0,0,0,0,0,24,2,0,0,83,20,4,0,1,0,0,0,0,0,9,1,0,0,16,10,2,0,52,23
IC2.png,Left,0,0,2,0,0,0,18,0,0,0,85,13,8,0,0,0,1,0,0,0,6,0,0,0,13,5,3,0,41,15
IC3.png,Left,5,0,0,0,0,0,25,0,0,0,111,2,4,0,2,0,0,0,0,0,7,0,0,0,11,1,2,0,36,12
IC4.png,Left,2,0,6,0,10,2,22,4,36,10,391,3,2,20,1,0,3,0,4,1,6,2,13,4,37,1,1,5,117,41
IC5.png,Left,4,0,0,3,0,0,23,15,4,6,179,4,2,0,2,0,0,1,0,0,6,6,2,3,21,2,1,0,61,23
IC6.png,Left,2,0,2,0,0,0,23,2,0,6,93,6,4,2,1,0,1,0,0,0,8,1,0,2,17,3,2,1,47,19
IC7.png,Right,5,4,0,0,0,3,38,0,0,2,101,15,6,0,2,2,0,0,0,1,8,0,0,1,20,5,3,0,73,22
IC8.png,Right,2,0,2,0,10,0,21,0,0,0,112,18,4,0,1,0,1,0,2,0,6,0,0,0,14,5,2,0,57,17
IC9.png,Right,9,2,4,4,6,4,12,0,4,4,172,2,2,2,3,1,2,2,2,2,4,0,2,1,18,1,1,1,55,22
P1.png,Left,0,6,29,0,8,14,29,11,18,2,376,2,11,6,0,2,11,0,4,6,9,4,5,1,46,1,5,2,136,50
P10.png,Right,10,36,6,32,16,17,34,32,27,15,686,10,10,6,4,15,3,10,7,7,12,13,10,6,74,4,5,3,251,99
P11.png,Right,6,6,46,3,8,15,26,2,3,2,712,5,10,0,2,3,15,1,2,5,9,1,1,1,40,2,4,0,132,46
P12.png,Right,10,48,38,48,52,58,28,48,26,34,1133,2,14,5,3,20,15,18,16,21,14,17,12,16,134,1,6,2,411,161
P2.png,Left,32,0,18,3,14,6,47,34,6,9,1051,16,21,0,13,0,7,1,7,3,18,12,3,4,73,8,10,0,206,86
P3.png,Left,12,0,32,0,16,10,12,35,2,20,678,17,6,6,5,0,13,0,7,5,6,14,1,7,55,8,3,1,168,70
P4.png,Left,9,6,22,8,27,10,82,29,30,27,1033,15,17,2,4,2,9,2,7,5,28,12,10,12,85,7,8,1,284,107
P5.png,Left,10,8,39,10,55,14,109,33,65,50,1285,10,41,16,5,4,16,4,22,7,26,14,21,22,140,4,14,7,460,166
P6.png,Left,8,0,31,4,16,13,26,30,5,20,699,6,15,14,4,0,11,2,5,5,11,15,2,9,65,3,6,6,188,79
P7.png,Right,4,17,20,20,14,18,36,4,8,20,367,2,8,0,2,7,7,8,4,6,10,2,3,7,50,1,4,0,171,61
P8.png,Right,18,22,43,44,16,29,58,8,6,20,1074,10,22,4,7,10,17,15,7,10,18,3,3,8,89,5,9,2,300,114
P9.png,Right,2,19,33,12,32,18,40,0,0,6,894,0,8,6,1,8,15,6,12,9,11,0,0,2,61,0,4,3,176,71
