Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,0,24,21,34,39,17,61,13,27,21,794,6,0,5,0,10,9,14,17,8,21,5,10,9,86,2,0,2,268,107
IC10.png,Right,2,6,0,4,0,2,22,14,13,7,509,2,2,5,1,3,0,2,0,1,9,7,6,3,32,1,1,2,79,36
IC11.png,Right,0,9,4,7,2,5,14,20,8,11,563,0,0,4,0,4,1,3,1,2,6,9,4,5,27,0,0,2,84,37
IC12.png,Right,0,13,0,14,8,3,16,11,6,11,388,0,0,10,0,5,0,6,4,1,7,5,2,4,37,0,0,5,92,39
IC2.png,Left,20,40,173,97,188,111,73,125,92,128,3082,21,12,56,9,18,74,41,79,45,30,54,38,60,371,10,6,25,1136,489
IC3.png,Left,9,6,40,33,80,41,20,35,14,35,1281,8,13,21,4,3,17,14,38,16,7,14,6,13,108,2,6,8,355,148
IC4.png,Left,14,11,26,22,21,15,12,21,12,16,792,0,0,8,6,5,11,8,8,7,5,10,6,6,58,0,0,4,178,76
IC5.png,Left,14,6,41,0,53,8,18,43,19,27,1008,2,23,0,6,2,18,0,17,4,9,19,9,11,83,1,9,0,254,105
IC6.png,Left,0,31,12,22,10,30,32,12,8,0,545,2,4,8,0,14,5,9,5,13,12,5,4,0,58,1,1,4,171,73
IC7.png,Right,0,6,2,13,10,4,2,8,12,11,464,2,4,0,0,3,1,6,4,2,1,4,5,5,28,1,2,0,74,34
IC8.png,Right,6,24,34,14,23,12,20,24,32,18,1438,16,6,7,3,10,16,7,11,6,9,7,13,8,78,5,3,3,236,101
IC9.png,Right,8,6,17,30,6,8,25,12,18,6,1010,4,6,13,4,3,8,12,3,3,9,5,8,3,60,2,3,5,159,68
P1.png,Left,4,11,20,2,10,4,20,12,0,2,401,3,2,3,2,5,9,1,4,2,6,6,0,1,31,1,1,1,93,39
P10.png,Right,47,47,51,24,10,30,42,6,8,17,1042,12,33,0,17,21,18,11,5,11,13,3,4,5,99,6,12,0,327,126
P11.png,Right,17,49,10,38,6,24,29,15,20,38,650,10,12,0,7,17,5,17,2,11,11,6,8,13,86,5,6,0,268,108
P12.png,Right,21,113,68,57,37,56,57,28,32,20,1392,6,36,7,10,39,27,21,18,20,22,12,11,10,161,3,16,3,538,212
P2.png,Left,5,9,12,19,14,12,30,14,2,2,822,6,7,2,2,4,6,7,6,4,12,5,1,1,45,3,3,1,134,55
P3.png,Left,17,17,30,21,38,17,99,12,9,38,1676,19,16,2,6,7,13,10,17,8,31,6,4,15,97,9,8,1,335,135
P4.png,Left,6,10,27,16,15,28,20,13,4,11,384,2,12,0,3,5,12,8,6,13,6,6,2,5,49,1,5,0,164,72
P5.png,Left,13,0,37,5,20,12,25,18,17,25,526,8,21,2,6,0,17,1,10,4,10,9,6,10,64,4,9,1,203,87
P6.png,Left,10,6,15,8,22,7,18,31,4,20,838,6,8,6,5,2,7,4,11,3,6,14,2,9,62,3,4,3,161,73
P7.png,Right,31,18,41,16,8,18,34,2,4,8,803,4,8,2,13,5,15,6,4,8,8,1,2,2,56,2,4,1,194,71
P8.png,Right,6,56,11,21,8,18,31,21,9,41,462,2,16,0,2,21,4,8,3,8,12,10,4,13,67,1,7,0,240,93
P9.png,Right,16,58,20,54,25,39,25,10,23,38,1117,13,17,8,8,24,10,22,9,17,10,4,9,18,112,6,7,4,346,148
