Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,0,0,0,0,0,0,0,0,0,0,1822,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CC10.png,Right,0,0,0,0,0,0,0,0,0,0,1295,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CC11.png,Right,0,0,0,0,0,0,0,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CC12.png,Right,0,0,0,0,0,0,0,0,0,0,611,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CC2.png,Left,0,0,0,0,0,0,0,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CC3.png,Left,0,0,0,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CC4.png,Left,0,0,0,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CC5.png,Left,0,0,0,0,0,0,0,0,0,0,752,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CC6.png,Left,0,0,0,0,0,0,0,0,0,0,856,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CC7.png,Right,0,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CC8.png,Right,0,0,0,0,0,0,0,0,0,0,1399,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CC9.png,Right,0,0,0,0,0,0,0,0,0,0,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
P1.png,Left,6,4,28,0,8,2,20,30,2,12,497,7,24,2,3,1,13,0,2,1,9,12,1,6,57,4,11,1,145,64
P10.png,Right,10,84,74,52,14,38,32,12,2,24,711,0,30,2,4,37,29,20,5,17,14,5,1,11,114,0,13,1,374,157
P11.png,Right,2,22,30,8,46,12,132,2,4,2,856,40,48,0,1,10,13,3,16,6,35,1,1,1,86,17,20,0,348,124
P12.png,Right,10,32,56,10,82,18,44,2,0,4,866,24,16,0,5,13,19,5,32,8,16,1,0,2,95,11,6,0,298,118
P2.png,Left,4,2,20,8,12,2,63,40,32,26,1012,6,22,10,2,1,9,4,4,1,20,15,15,11,81,3,9,5,247,99
P3.png,Left,12,24,104,28,64,32,42,42,12,30,964,8,14,4,6,10,39,12,24,14,17,19,6,13,132,2,7,2,416,171
P4.png,Left,0,14,56,4,20,26,150,32,18,22,634,6,20,0,0,4,22,1,8,12,27,13,8,11,95,3,7,0,368,116
P5.png,Left,12,0,121,0,14,4,24,36,4,50,800,12,30,0,4,0,42,0,7,2,9,15,2,19,96,5,15,0,307,120
P6.png,Left,2,16,134,6,24,34,138,18,18,30,666,16,47,0,1,8,56,3,11,14,42,8,7,13,148,7,21,0,483,191
P7.png,Right,2,83,2,16,0,4,137,22,22,33,644,30,44,0,1,31,1,8,0,2,46,9,8,15,122,13,14,0,395,148
P8.png,Right,8,38,16,14,6,12,30,14,4,6,529,6,16,0,3,16,7,6,3,6,13,6,2,3,63,3,8,0,170,76
P9.png,Right,10,62,36,24,66,68,106,6,4,8,947,14,40,4,5,25,14,11,23,31,30,3,2,3,134,6,15,2,448,170
