Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,0,10,4,4,0,0,78,2,0,0,933,4,8,0,0,5,2,2,0,0,21,1,0,0,33,2,3,0,110,36
CC10.png,Right,34,8,16,0,12,10,62,42,0,12,1372,12,39,0,9,4,5,0,4,3,18,15,0,2,67,6,12,0,247,78
CC11.png,Right,0,14,0,12,0,6,50,38,4,2,912,0,0,0,0,5,0,5,0,3,14,9,2,1,34,0,0,0,126,39
CC12.png,Right,2,46,6,2,4,4,106,6,0,8,766,0,30,0,1,13,1,1,1,2,24,3,0,2,49,0,10,0,214,58
CC2.png,Left,5,4,12,8,2,2,66,6,0,4,715,13,26,0,2,2,3,3,1,1,17,2,0,2,39,4,7,0,148,44
CC3.png,Left,4,4,52,6,0,0,64,10,2,4,668,8,10,0,1,1,10,1,0,0,11,5,1,2,31,2,4,0,164,38
CC4.png,Left,0,16,2,18,2,2,16,0,0,0,929,2,2,6,0,6,1,6,1,1,6,0,0,0,23,1,1,3,66,26
CC5.png,Left,4,26,12,41,14,16,77,0,2,4,836,2,4,8,1,11,4,11,6,6,19,0,1,1,60,1,1,3,210,65
CC6.png,Left,0,21,2,12,0,0,18,0,0,0,853,0,0,0,0,8,1,5,0,0,6,0,0,0,19,0,0,0,53,20
CC7.png,Right,0,30,6,14,4,2,46,12,16,8,830,0,2,10,0,9,3,3,2,1,11,3,4,3,31,0,1,2,150,42
CC8.png,Right,0,14,0,2,0,0,68,18,18,4,778,4,0,0,0,4,0,1,0,0,15,7,6,2,33,1,0,0,128,36
CC9.png,Right,0,4,0,8,6,4,85,58,12,4,969,0,0,12,0,1,0,3,2,1,20,13,4,2,45,0,0,3,193,49
P1.png,Left,2,2,42,0,6,2,79,4,2,8,805,12,22,2,1,1,14,0,2,1,24,1,1,1,50,4,8,1,183,59
P10.png,Right,97,56,18,14,8,16,167,22,24,8,2013,46,28,0,27,16,7,5,3,6,35,7,7,4,120,12,9,0,504,138
P11.png,Right,14,24,0,2,0,0,111,3,0,0,692,14,16,0,5,2,0,1,0,0,30,1,0,0,40,4,5,0,184,48
P12.png,Right,14,16,12,4,2,6,108,57,8,8,764,20,16,0,6,4,5,2,1,2,27,11,3,4,61,8,5,0,271,78
P2.png,Left,4,6,16,0,0,0,84,24,2,0,759,2,14,0,1,2,4,0,0,0,22,6,1,0,36,1,3,0,152,40
P3.png,Left,0,16,6,18,32,8,106,0,0,6,687,2,0,4,0,6,2,5,5,2,20,0,0,2,40,1,0,2,198,45
P4.png,Left,10,18,20,0,28,2,44,16,4,4,688,10,0,4,3,7,7,0,6,1,12,4,1,2,39,4,0,2,160,49
P5.png,Left,8,18,36,0,0,2,32,14,0,7,647,0,14,0,3,6,10,0,0,1,8,4,0,3,32,0,4,0,131,39
P6.png,Left,6,0,29,0,16,0,32,10,6,12,635,0,8,0,1,0,8,0,2,0,11,3,2,4,31,0,3,0,119,34
P7.png,Right,30,26,10,2,4,8,114,56,26,0,1207,44,4,0,9,7,3,1,1,3,34,16,3,0,77,14,2,0,324,93
P8.png,Right,8,24,38,35,4,45,98,28,16,10,803,24,12,2,4,8,14,9,1,13,24,9,4,4,86,10,5,1,344,106
P9.png,Right,0,6,0,2,0,0,82,40,12,16,729,0,0,4,0,2,0,1,0,0,22,12,5,6,44,0,0,2,162,50
