Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,0,30,10,56,39,26,34,6,14,26,1110,6,6,58,0,12,5,21,13,10,13,2,5,9,99,3,2,21,311,116
CC10.png,Right,2,16,2,30,10,8,38,9,10,18,703,6,4,52,1,7,1,13,4,3,11,4,4,8,66,1,2,16,205,75
CC11.png,Right,2,48,10,16,14,12,28,14,14,26,680,2,10,14,1,15,5,7,6,6,9,6,6,9,65,1,4,6,210,81
CC12.png,Right,8,44,22,54,30,25,144,80,62,37,1585,12,14,53,3,14,6,20,10,10,44,26,18,13,156,5,6,17,585,192
CC2.png,Left,10,14,103,28,156,58,57,52,62,79,3562,24,22,62,3,7,34,10,50,23,17,23,25,31,218,10,10,27,727,270
CC3.png,Left,10,14,72,30,64,70,45,4,26,25,940,0,14,14,2,6,23,14,17,26,11,2,8,9,98,0,5,4,388,127
CC4.png,Left,2,22,18,12,20,14,36,22,6,21,529,14,10,2,1,7,9,6,7,5,11,8,2,8,54,5,3,1,199,73
CC5.png,Left,0,10,4,18,21,10,28,2,6,4,605,6,6,37,0,4,2,7,8,5,9,1,2,2,42,3,2,9,152,54
CC6.png,Left,0,34,20,25,42,16,54,6,2,22,793,2,10,28,0,11,7,9,14,5,18,2,1,6,72,1,3,8,261,85
CC7.png,Right,6,2,4,25,10,12,69,2,18,2,708,8,0,28,3,1,1,10,4,4,16,1,8,1,54,3,0,10,186,62
CC8.png,Right,10,52,4,158,16,40,161,76,86,60,2949,18,32,146,3,19,2,49,8,17,43,26,27,25,237,8,11,48,859,286
CC9.png,Right,0,30,10,70,14,17,190,36,19,38,1618,17,8,56,0,9,4,24,5,7,46,7,7,11,127,6,4,20,505,150
P1.png,Left,2,40,24,14,20,11,66,6,14,8,614,10,12,10,1,12,12,6,7,5,19,1,5,4,68,4,5,5,237,86
P10.png,Right,0,2,8,26,18,8,72,4,22,16,797,10,8,34,0,1,4,8,8,4,17,2,8,4,59,2,4,12,228,74
P11.png,Right,2,26,12,38,10,24,29,6,8,26,685,8,9,18,1,11,4,14,4,8,9,3,4,10,65,4,3,6,216,81
P12.png,Right,2,49,6,80,18,12,52,22,16,38,920,6,4,38,1,17,2,23,5,5,13,8,6,15,93,3,2,14,343,114
P2.png,Left,0,18,46,34,106,44,94,4,30,12,1274,2,0,64,0,7,14,10,33,16,21,1,9,6,122,1,0,19,454,137
P3.png,Left,4,52,46,56,122,52,154,8,20,18,1587,34,28,64,2,18,14,16,31,15,33,3,7,7,160,10,11,19,658,186
P4.png,Left,0,18,20,12,68,30,66,0,2,6,630,4,2,30,0,5,9,5,20,9,18,0,1,2,66,2,1,7,258,79
P5.png,Left,0,16,27,62,30,56,106,0,14,11,1139,6,10,36,0,8,9,15,9,14,25,0,5,4,93,2,3,13,374,107
P6.png,Left,0,54,70,40,93,70,67,0,10,10,1099,6,6,46,0,17,22,13,31,21,18,0,5,4,113,2,3,14,472,150
P7.png,Right,2,56,12,60,14,19,34,20,38,27,945,2,6,21,1,15,5,21,6,8,10,7,11,9,82,1,2,8,311,104
P8.png,Right,2,41,0,54,6,10,62,54,46,60,1373,6,6,26,1,15,0,17,2,3,16,14,13,18,105,3,2,10,373,114
P9.png,Right,0,90,4,147,14,15,181,46,62,76,1835,6,22,70,0,25,2,41,5,5,45,16,18,26,180,2,9,19,733,213
