Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,39,25,109,43,88,30,122,27,6,31,1556,18,46,10,12,6,21,9,21,7,19,6,1,7,99,5,12,2,594,128
IC10.png,Right,61,98,24,43,13,45,216,48,45,39,1746,57,120,0,13,26,3,13,4,10,34,12,9,8,124,15,21,0,809,168
IC11.png,Right,15,89,63,85,74,137,59,36,104,39,2516,11,4,37,4,18,17,20,19,26,12,8,14,10,123,2,1,9,753,160
IC12.png,Right,59,84,57,46,15,36,165,83,20,37,2268,40,23,18,11,22,13,11,4,8,30,16,7,7,116,8,6,3,683,146
IC2.png,Left,202,106,226,36,35,68,532,163,39,107,8729,181,216,25,42,24,48,10,12,16,93,37,11,25,332,39,50,4,1936,411
IC3.png,Left,17,6,35,11,55,51,49,53,35,16,1975,23,6,12,5,2,8,4,11,10,10,9,8,5,65,6,2,4,369,84
IC4.png,Left,95,12,72,19,48,18,262,31,25,8,2555,71,111,14,23,5,16,5,10,5,53,9,6,3,136,18,28,2,786,183
IC5.png,Left,85,51,144,30,27,36,157,78,28,43,2046,39,111,9,14,8,28,5,7,7,26,13,6,11,124,11,26,2,838,164
IC6.png,Left,124,32,45,16,44,3,92,14,11,9,1633,25,43,2,26,8,12,4,8,1,12,5,3,3,83,5,13,1,460,101
IC7.png,Right,62,78,28,33,10,45,78,58,27,51,1500,22,34,0,10,15,8,8,4,11,13,10,5,10,85,7,8,0,526,109
IC8.png,Right,187,259,204,75,48,76,444,99,88,113,5682,69,91,15,38,56,43,18,10,21,68,20,17,23,292,19,26,4,1768,363
IC9.png,Right,58,185,92,96,39,62,200,116,116,61,3520,72,69,30,12,27,15,16,7,15,35,26,21,15,183,17,18,6,1196,230
P1.png,Left,26,18,51,36,33,10,29,63,72,73,2085,7,19,5,7,5,14,9,4,2,5,14,16,13,84,2,6,2,442,99
P10.png,Right,3,17,72,21,25,37,6,0,58,8,1066,0,11,18,1,3,12,3,5,11,1,0,11,2,44,0,3,3,276,55
P11.png,Right,37,169,84,87,33,92,47,71,139,52,2783,20,46,32,8,35,13,16,9,16,9,13,29,14,147,4,11,8,909,185
P12.png,Right,47,44,24,50,81,34,248,48,110,46,3737,48,54,24,15,12,6,12,16,7,44,11,20,13,148,12,12,6,858,186
P2.png,Left,4,23,196,13,74,35,79,130,94,88,2845,5,48,20,2,5,40,3,14,8,15,27,24,15,132,2,10,4,809,169
P3.png,Left,46,14,94,0,25,17,89,66,90,46,2375,66,17,0,11,3,19,0,4,3,21,15,18,13,103,14,5,0,570,126
P4.png,Left,0,39,45,106,54,25,37,4,20,13,1182,21,34,13,0,8,8,19,10,7,7,2,4,2,64,3,6,2,411,78
P5.png,Left,16,8,33,0,28,24,20,71,84,48,1275,3,12,2,6,2,7,0,3,5,7,14,11,7,51,1,4,1,349,68
P6.png,Left,12,11,142,36,106,60,5,164,174,93,1902,0,12,18,2,3,27,7,23,11,1,32,29,23,121,0,3,4,833,165
P7.png,Right,9,177,83,59,105,93,29,55,104,141,2337,5,29,13,3,29,20,16,17,19,8,10,19,23,132,2,7,5,902,178
P8.png,Right,36,36,23,40,73,18,54,5,50,6,1971,8,55,16,8,9,6,10,12,5,10,2,9,2,83,2,11,3,420,89
P9.png,Right,6,136,44,100,89,84,52,81,181,73,3040,11,39,9,1,29,8,16,14,19,11,16,29,17,136,2,9,2,905,173
