Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,14,18,24,4,6,4,45,6,0,16,908,14,12,2,7,9,12,2,3,2,22,3,0,8,64,7,6,1,165,82
CC10.png,Right,2,22,8,7,4,6,45,26,10,10,609,8,14,2,1,11,4,3,2,3,18,12,4,5,61,4,7,1,164,75
CC11.png,Right,4,37,28,17,30,17,49,16,12,6,1029,4,12,6,2,17,14,8,14,8,19,8,6,3,88,2,6,3,238,110
CC12.png,Right,15,25,16,6,10,7,34,10,7,6,674,13,10,2,7,10,8,3,5,3,15,5,3,3,56,6,5,1,161,74
CC2.png,Left,26,28,46,2,14,6,69,13,20,13,1393,18,18,6,12,13,21,1,7,3,34,6,9,5,101,9,8,3,279,131
CC3.png,Left,16,25,24,8,6,18,64,16,12,15,1050,16,20,4,7,11,11,3,3,7,29,8,6,7,93,8,10,2,244,112
CC4.png,Left,6,16,12,2,8,12,66,8,26,6,685,8,4,7,3,7,6,1,4,6,26,4,11,3,66,4,2,3,181,80
CC5.png,Left,2,13,12,6,12,8,47,0,2,7,522,16,11,0,1,6,6,3,6,4,19,0,1,3,48,8,5,0,136,62
CC6.png,Left,6,16,20,12,2,22,40,13,6,4,663,8,13,2,2,7,9,6,1,10,17,6,3,2,63,4,6,1,164,74
CC7.png,Right,6,13,8,22,28,14,65,30,8,11,867,12,13,2,3,6,4,11,12,7,27,14,4,4,82,6,5,1,232,104
CC8.png,Right,12,44,20,34,22,22,72,52,12,21,1459,18,30,10,6,20,10,13,10,9,30,22,6,9,129,9,13,5,369,162
CC9.png,Right,27,34,20,17,16,24,56,37,10,12,1131,14,32,6,12,15,9,8,7,10,25,17,4,5,105,7,15,3,305,137
P1.png,Left,15,22,22,2,18,4,34,24,6,10,643,8,12,4,6,9,11,1,8,2,16,12,3,5,67,4,6,2,181,85
P10.png,Right,19,30,17,12,10,6,57,14,8,4,620,11,12,0,7,13,8,6,4,3,23,7,4,2,68,5,6,0,200,88
P11.png,Right,2,14,29,14,4,4,22,14,4,14,827,5,4,2,1,6,14,7,2,2,10,7,2,7,51,3,2,1,132,64
P12.png,Right,35,96,47,31,14,30,108,36,25,38,1761,20,48,17,15,41,20,15,7,12,43,18,11,17,190,10,21,7,545,237
P2.png,Left,20,35,41,12,8,21,98,21,13,14,1102,16,17,4,8,17,16,6,4,9,39,9,6,6,115,7,8,2,320,137
P3.png,Left,29,18,44,12,22,4,59,41,32,18,1463,16,25,0,14,9,22,6,11,2,26,19,15,9,115,8,12,0,320,153
P4.png,Left,14,26,34,16,22,8,66,22,12,8,984,24,17,14,7,11,16,8,11,3,29,11,6,4,107,10,8,6,283,130
P5.png,Left,68,62,144,35,68,52,273,72,53,57,3975,69,52,19,31,27,65,17,28,23,112,35,25,26,374,32,24,9,1024,454
P6.png,Left,14,8,28,6,14,18,33,26,8,8,812,15,22,8,6,4,13,3,7,6,14,12,4,4,73,5,11,4,208,93
P7.png,Right,8,8,9,6,4,10,53,7,4,6,638,4,6,0,4,4,4,3,2,5,21,3,2,3,46,2,3,0,125,56
P8.png,Right,6,36,56,38,28,24,32,26,20,12,1275,12,22,8,3,18,28,18,14,11,14,13,9,6,123,6,11,4,320,155
P9.png,Right,26,58,33,38,41,22,96,38,22,34,1873,14,43,14,13,28,16,18,18,11,42,18,11,14,169,6,19,7,479,221
