Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
CC1.png,Left,18,30,54,14,22,46,106,2,4,8,1350,40,18,4,7,10,17,5,8,17,32,1,2,4,105,18,8,2,366,131
CC10.png,Right,6,67,16,28,8,28,105,22,37,38,1116,16,12,4,3,23,6,10,4,12,30,10,13,12,106,7,6,1,387,137
CC11.png,Right,3,42,8,60,4,18,141,40,16,23,897,18,24,24,2,16,4,17,2,8,40,16,6,8,110,8,10,10,421,147
CC12.png,Right,4,24,4,32,2,20,99,38,35,36,1008,19,12,4,2,10,2,13,1,6,29,12,10,16,86,7,5,2,329,115
CC2.png,Left,18,20,32,8,18,26,91,10,14,12,1510,14,22,10,6,6,13,4,8,11,25,3,4,6,74,5,9,3,295,103
CC3.png,Left,36,28,82,12,18,22,177,13,2,21,3053,40,52,14,16,11,31,5,7,10,53,5,1,8,158,17,22,5,517,191
CC4.png,Left,22,20,104,28,131,56,115,42,38,52,2511,24,40,38,9,10,40,12,48,20,36,16,16,23,217,12,14,15,710,271
CC5.png,Left,20,11,133,26,64,46,92,26,44,53,1612,26,66,8,7,5,50,11,26,21,34,11,17,21,186,11,23,3,615,240
CC6.png,Left,24,6,38,4,24,10,100,40,4,24,1940,26,30,8,11,3,15,1,9,4,35,12,2,9,109,9,15,3,338,128
CC7.png,Right,6,34,11,12,7,12,103,22,14,4,1955,20,54,26,3,12,5,4,4,6,35,7,5,2,102,9,17,12,325,121
CC8.png,Right,12,83,26,16,22,34,74,22,2,30,1011,20,30,0,5,35,9,7,9,14,31,6,1,13,119,9,14,0,371,153
CC9.png,Right,48,70,30,20,2,10,125,30,12,33,2314,20,44,8,17,27,13,7,1,5,43,11,4,12,138,6,20,3,452,169
P1.png,Left,10,30,75,20,131,62,107,8,168,26,1379,16,26,2,4,9,33,10,34,24,31,4,38,12,177,6,11,1,681,217
P10.png,Right,4,53,44,68,2,42,76,12,61,30,1265,25,26,4,1,24,16,25,1,13,29,5,24,12,134,9,11,2,447,172
P11.png,Right,34,141,83,36,40,50,235,40,114,54,2865,38,48,2,17,42,35,13,13,19,73,15,36,24,263,17,19,1,915,324
P12.png,Right,74,36,26,22,0,16,88,34,8,32,2122,38,61,8,28,17,11,9,0,7,34,16,4,14,136,16,19,4,443,179
P2.png,Left,61,14,290,8,22,39,117,34,16,52,2869,30,140,0,26,7,71,2,9,16,43,12,7,19,229,15,48,0,823,275
P3.png,Left,77,128,162,44,72,71,179,23,6,48,4284,52,48,32,25,42,64,15,22,29,62,8,3,18,264,24,18,12,942,342
P4.png,Left,12,14,32,6,24,6,88,54,28,70,1972,26,22,4,5,5,14,3,10,3,32,21,13,27,125,11,10,2,386,156
P5.png,Left,8,22,104,10,52,50,75,10,22,29,1939,28,38,12,2,11,40,4,23,19,28,5,10,12,140,9,16,5,460,184
P6.png,Left,16,32,128,14,104,56,86,20,30,28,1706,44,54,2,7,16,47,6,30,25,34,8,9,12,176,13,21,1,614,229
P7.png,Right,85,90,60,44,35,28,124,16,8,41,4536,24,40,2,30,32,25,19,14,13,39,7,2,13,195,10,18,1,597,223
P8.png,Right,5,36,20,32,16,10,51,28,30,18,1953,22,20,4,3,16,9,14,6,5,20,13,11,7,94,8,8,1,292,121
P9.png,Right,129,173,40,74,6,89,154,60,68,94,3171,64,36,3,52,62,19,25,3,37,54,22,20,31,308,23,16,2,990,366
