Image,HOO_Position,Total_Hits_Button,Total_Hits_H_D1,Total_Hits_H_D2,Total_Hits_H_N1,Total_Hits_H_N2,Total_Hits_H_O,Total_Hits_Instruction,Total_Hits_L_D1,Total_Hits_L_N1,Total_Hits_L_O,Total_Hits_Outside_of_AOIs,Total_Hits_R_D,Total_Hits_R_N,Total_Hits_Timer,New_Hits_Button,New_Hits_H_D1,New_Hits_H_D2,New_Hits_H_N1,New_Hits_H_N2,New_Hits_H_O,New_Hits_Instruction,New_Hits_L_D1,New_Hits_L_N1,New_Hits_L_O,New_Hits_Outside_of_AOIs,New_Hits_R_D,New_Hits_R_N,New_Hits_Timer,Total_AOI_Hits,Total_New_AOI_Hits
IC1.png,Left,50,0,77,0,8,18,70,188,32,36,1781,14,26,0,18,0,25,0,4,6,17,63,16,15,165,7,12,0,519,183
IC10.png,Right,70,50,54,0,4,20,36,2,0,16,1082,16,20,0,29,14,21,0,2,9,9,1,0,6,96,8,9,0,288,108
IC11.png,Right,46,98,62,34,4,36,18,14,2,12,960,18,20,0,18,34,22,10,2,10,6,5,1,6,105,7,7,0,364,128
IC12.png,Right,35,74,74,0,8,30,12,6,0,18,1057,14,16,2,14,25,28,0,4,9,6,2,0,6,96,5,8,1,289,108
IC2.png,Left,194,36,413,12,128,80,216,304,41,190,5507,102,288,16,75,16,161,6,49,34,73,110,14,72,641,44,116,6,2020,776
IC3.png,Left,16,2,146,18,63,50,46,220,44,98,1610,46,40,2,8,1,54,8,26,19,16,85,19,44,246,17,17,1,791,315
IC4.png,Left,28,2,76,0,12,4,28,78,18,76,947,16,10,0,9,1,27,0,5,2,9,27,8,30,115,7,5,0,348,130
IC5.png,Left,64,0,64,2,28,10,14,70,8,40,1172,22,42,0,25,0,24,1,9,3,5,25,4,19,117,8,15,0,364,138
IC6.png,Left,24,12,152,12,104,40,36,138,18,100,1680,20,28,8,12,5,48,5,41,17,15,43,8,41,216,9,12,4,692,260
IC7.png,Right,36,146,114,150,26,46,14,14,48,174,1932,12,22,12,14,52,36,52,11,18,5,7,20,67,243,5,8,5,814,300
IC8.png,Right,73,238,151,143,110,132,140,72,22,52,3344,72,122,12,32,96,58,48,42,51,46,27,11,25,419,29,50,6,1339,521
IC9.png,Right,42,224,268,60,32,74,128,89,48,130,3064,30,62,2,16,80,89,25,14,34,39,37,21,50,366,13,30,1,1189,449
P1.png,Left,32,14,248,18,68,80,60,98,14,102,1507,37,46,0,12,6,86,8,24,32,22,39,7,40,248,15,21,0,817,312
P10.png,Right,31,104,112,54,26,80,56,38,42,62,1592,12,50,2,12,41,40,22,11,33,18,16,15,24,210,5,20,1,669,258
P11.png,Right,26,346,116,84,12,122,68,58,78,162,2268,20,58,0,12,124,42,37,4,50,25,25,31,54,349,7,23,0,1150,434
P12.png,Right,14,218,220,56,8,114,150,222,84,132,2681,16,80,2,7,87,66,21,4,43,41,74,29,53,379,8,32,1,1316,466
P2.png,Left,70,150,458,97,234,205,390,289,16,204,4592,124,236,8,30,54,164,35,77,79,120,102,7,77,708,48,99,3,2481,895
P3.png,Left,70,66,514,44,84,120,182,250,26,174,3817,68,132,4,28,25,187,17,34,48,61,91,11,73,519,28,59,2,1734,664
P4.png,Left,16,30,148,24,122,88,68,48,14,58,1596,12,26,4,7,11,55,12,38,31,20,15,6,26,184,4,12,2,658,239
P5.png,Left,30,8,122,2,36,20,78,162,72,38,1403,6,50,0,9,4,42,1,17,9,21,45,26,17,177,3,21,0,624,215
P6.png,Left,12,30,198,12,68,46,81,110,46,124,1797,10,46,6,6,11,63,5,27,19,29,42,21,52,241,5,20,2,789,302
P7.png,Right,42,222,100,76,12,86,169,48,12,60,2032,42,96,0,13,73,39,25,6,32,54,16,4,22,284,17,41,0,965,342
P8.png,Right,64,180,228,26,30,100,60,78,4,60,1900,23,64,0,24,60,71,13,11,39,22,25,2,25,250,8,27,0,917,327
P9.png,Right,29,222,168,108,48,156,116,215,362,254,3504,22,70,2,10,95,62,40,19,62,37,78,108,96,523,9,30,1,1772,647
